CONSTRAINTID,version_key,direction,EFFECTIVEDATE,VERSIONNO,ic_factor,LIMITTYPE,DESCRIPTION,applicable_intervals,binding_intervals,near_binding_intervals,near_setting_intervals,leading_intervals,mean_abs_marginal_value,min_ic_slack_mw,median_ic_slack_mw,constraint_sets,invoked_sets
N>>NIL_33_34,N>>NIL_33_34|2024-12-19 00:00:00|1,upper,2024-12-19,1,0.985,Thermal,"Out= Nil, avoid Bayswater to Liddell (33 or 34) O/L on loss of other Bayswater to Liddell (34 or 33), Feedback",98876,1666,1972,65288,61241,1.6172253404030237,-2.0304568707490894e-05,1287.5099137055838,N-NIL,
QN+RAISE_NIL,QN+RAISE_NIL|2025-03-27 00:00:00|1,lower,2025-03-27,1,-1.0,Other,"Out=Nil, limit Qld to NSW on QNI considering Qld Raise FCAS enablement, for loss of a NSW 750 MW unit",82673,1700,2544,52274,48446,223.13769293565883,0.0,942.56279,N-NIL,
N^^Q_NIL_KPP_1,N^^Q_NIL_KPP_1|2025-12-02 00:00:00|1,upper,2025-12-02,1,1.0,Voltage Stability,"Out= Nil, avoid Voltage Collapse on loss of Kogan Creek MW",78433,471,1029,26809,23554,0.2547046416385314,-1.0000000202126103e-05,1138.20697,N-NIL,
N>>NIL_8U_86_S,N>>NIL_8U_86_S|2024-12-19 00:00:00|1,lower,2024-12-19,1,-1.0,Thermal,"Out= NIL, avoid O/L Armidale to Uralla (8U) on trip of Armidale to Tamworth (86) line, Feedback",64573,140,408,21041,17724,0.04424829443694097,-1.0000000202126103e-05,1069.20224,N-NIL,
N>>NIL_86_85_N,N>>NIL_86_85_N|2024-12-19 00:00:00|1,upper,2024-12-19,1,0.999,Thermal,"Out= Nil, avoid O/L Tamworth to Armidale (86) or Tamworth to Uralla (85) using 15 mins rating on trip of Tamworth to Uralla (85) or Tamworth to Armidale (86) line, Feedback",98900,0,0,20558,17147,0.0,80.73342342342343,1581.1242992992993,N-NIL,
N>>NIL_33_34,N>>NIL_33_34|2024-09-02 00:00:00|1,upper,2024-09-02,1,0.985,Thermal,"Out= Nil, avoid Bayswater to Liddell (33 or 34) O/L on loss of other Bayswater to Liddell (34 or 33), Feedback",16669,7,11,16009,15966,0.031898189271492156,0.0,1239.045616751269,N-NIL,
F_Q++NIL_R6,F_Q++NIL_R6|2026-01-08 00:00:00|1,lower,2026-01-08,1,-1.0,FCAS,"Out=Nil, limit Qld to NSW on QNI and Qld Raise 6 sec requirement for loss of a NSW large unit",67808,533,965,23524,15535,0.00048149659887411077,-9.999999974752427e-06,828.24823,"F-I_NIL, N-NIL",
N>>NIL_964_84_S,N>>NIL_964_84_S|2024-09-02 00:00:00|1,lower,2024-09-02,1,-0.746,Thermal,"Out= NIL, avoid O/L Port Macquarie to Herron Creek Tee (964/2) on trip of Tamworth to Liddell (84) line, Feedback",16669,1351,1442,14025,12537,5.982734978135179,-1.3404826008211934e-05,1280.2770174262737,N-NIL,
N>>NIL_33_34,N>>NIL_33_34|2024-10-30 00:00:00|1,upper,2024-10-30,1,0.985,Thermal,"Out= Nil, avoid Bayswater to Liddell (33 or 34) O/L on loss of other Bayswater to Liddell (34 or 33), Feedback",14386,312,432,11253,10616,2.4493503836306307,-1.0152284469163556e-05,1284.9448426395938,N-NIL,
NQ_950_TEST,NQ_950_TEST|2025-10-02 00:00:00|1,upper,2025-10-02,1,1.0,Discretionary,"NSW to Qld on QNI upper transfer limit of 950 MW, limit for testing of QNI minor interconnection upgrade.",96045,54,312,24625,10573,0.00665612258057996,0.0,1246.99379,I-NQ_950_TEST,I-NQ_950_TEST
