direction,constraint,episodes,median_drop_mw,p90_drop_mw,max_drop_mw
lower,N>>NIL_964_84_S,1098,176.40107999999998,253.70408100000012,672.5148899999999
lower,N>>NIL_85_86_S,531,180.5362100000001,268.9040600000001,1057.72928
lower,QN+RAISE_NIL,480,139.068305,210.58060399999997,822.7292299999999
lower,N>>NIL_964_88_S,398,144.00888499999996,224.339889,474.23998
lower,N>>NIL_86_85_S,299,148.67863999999997,219.08338799999999,423.52243
lower,Q:N_760,281,188.92248,268.32876,440.98645
lower,QN_590,245,177.39516,275.931946,373.99952999999994
lower,N>>16_8_39,108,300.34035,741.0095709999998,997.70445
lower,QNI_SOUTH_590_DYN,104,189.30351,266.412781,417.27545
lower,N>>LDTM_964_81_OPEN,102,164.37656999999996,223.98022200000005,338.4786999999999
lower,N>>NIL_8U_86_S,53,176.67633,255.69079800000006,1012.49908
lower,F_Q++NIL_R5,48,176.84499999999997,249.76823800000008,294.29804
lower,N>>81_964_82,44,211.68121500000007,310.69702400000006,402.61584999999997
lower,Q^^NIL_CS,36,418.13992500000006,871.874875,1293.08435
lower,F_Q++NIL_R6,34,138.38992500000006,189.14901800000004,231.06015999999988
lower,N>>LDTM_964_81_CL,28,148.59973000000002,238.34073000000015,318.88537999999994
lower,N>>NIL_39,28,312.88515,481.944136,825.15475
lower,N>>17_39_11,26,286.36844500000007,446.631305,702.7235499999999
lower,N>>81_964_84,24,181.74373499999996,303.14991000000003,526.49815
lower,N>>X-17+76_39_11,19,330.16435,437.629014,564.40149
lower,N>>9W7_9W2_965,16,129.29689999999994,259.7383850000001,287.83913000000007
lower,Q:N_AR330BS1_SVC_OSC,16,192.48467999999997,247.7384,266.07911
lower,F_NVS+85_L5,13,186.40974999999997,274.383864,353.84267
lower,N>>LDTM_964_84_OPEN,13,168.16607000000002,290.96746600000006,339.46247000000005
lower,Q>>BKBM_BKGO_BKBS,11,199.71873000000005,253.25779,290.7884
lower,F_NVS++85_L5,10,149.26668999999998,195.68632699999995,219.88090999999997
lower,N>>16_8_18,10,228.593595,265.43237700000003,296.73237
lower,N>>BYSW_8_16,10,374.84845500000006,719.4053999999998,1245.7846200000001
lower,F_Q++NIL_R60,8,136.18937500000004,217.00489199999993,306.31994999999995
