month,season,direction,threshold_mw,contraction_intervals,contraction_episodes
2024-09,Spring,upper,99.77261899999995,400,100
2024-09,Spring,lower,109.91168500000003,440,155
2024-10,Spring,upper,113.367673,407,144
2024-10,Spring,lower,124.02003800000017,469,205
2024-11,Spring,upper,174.80160900000007,376,134
2024-11,Spring,lower,147.66265,391,122
2024-12,Summer,upper,172.05710000000002,344,133
2024-12,Summer,lower,171.80833199999998,432,166
2025-01,Summer,upper,106.63685800000006,413,127
2025-01,Summer,lower,167.42261000000002,432,138
2025-02,Summer,upper,130.07652499999992,370,108
2025-02,Summer,lower,163.14731,396,130
2025-03,Autumn,upper,123.76981999999998,398,128
2025-03,Autumn,lower,115.34475300000013,434,143
2025-04,Autumn,upper,72.55536400000001,379,101
2025-04,Autumn,lower,112.70486800000006,436,150
2025-05,Autumn,upper,93.31362099999998,426,128
2025-05,Autumn,lower,96.30846400000001,461,198
2025-06,Winter,upper,167.11014699999996,413,147
2025-06,Winter,lower,98.08827300000004,413,245
2025-07,Winter,upper,163.7108200000001,423,152
2025-07,Winter,lower,103.49425600000002,343,155
2025-08,Winter,upper,172.04602100000005,422,110
2025-08,Winter,lower,114.40898600000008,448,185
2025-09,Spring,upper,111.866302,427,135
2025-09,Spring,lower,133.288833,438,236
2025-10,Spring,upper,92.75335600000001,422,133
2025-10,Spring,lower,140.18551000000002,436,215
2025-11,Spring,upper,160.14954200000014,393,123
2025-11,Spring,lower,184.87415300000004,420,154
2025-12,Summer,upper,112.5158500000001,418,126
2025-12,Summer,lower,164.21542,445,169
2026-01,Summer,upper,136.82792799999999,437,124
2026-01,Summer,lower,154.78024000000005,442,156
2026-02,Summer,upper,150.21181400000003,386,122
2026-02,Summer,lower,136.36623399999996,407,169
2026-03,Autumn,upper,91.68987300000003,424,148
2026-03,Autumn,lower,149.46372599999995,434,210
2026-04,Autumn,upper,84.51975999999995,406,144
2026-04,Autumn,lower,156.620922,429,239
2026-05,Autumn,upper,82.433891,434,148
2026-05,Autumn,lower,141.62346999999997,446,224
2026-06,Winter,upper,127.30432000000002,418,131
2026-06,Winter,lower,133.48293200000003,417,222
2026-07,Winter,upper,138.98564999999996,420,141
2026-07,Winter,lower,115.20000000000005,409,149
2026-08,Winter,upper,133.10974799999994,398,135
2026-08,Winter,lower,113.33293699999992,421,165
