half_hour,intervals,flow_mean_mw,flow_median_mw,flow_p05_mw,flow_p95_mw,export_limit_median_mw,export_limit_p05_mw,import_limit_median_mw,import_limit_p05_mw,northward_flow_share,southward_flow_share,flow_reversals,forced_export_intervals,forced_import_intervals,time_of_day
0,4380,-193.60224466438353,-187.0,-896.7978039999999,499.96323,562.316465,-24.904999999999998,1023.070485,163.06284700000003,0.30730593607305934,0.6926940639269407,170,302,25,00:00
1,4380,-204.70221389497715,-203.44812000000002,-903.6532454999999,499.2259825000003,565.81573,-20.20403,1026.08291,178.6479265,0.29954337899543376,0.7004566210045662,138,266,33,00:30
2,4380,-205.71151673287673,-208.90544,-919.6015295,485.381338,564.63148,-14.188597999999994,1026.0384199999999,173.597156,0.3047945205479452,0.6952054794520548,129,250,32,01:00
3,4380,-191.1487626803653,-191.17579999999998,-935.0,496.92900150000037,568.44229,-15.7530675,1025.935375,156.284746,0.3228310502283105,0.6771689497716895,116,252,38,01:30
4,4380,-201.93425711872146,-192.0,-934.2811790000001,483.033451,571.58871,-11.200242,1031.54114,148.49576,0.315296803652968,0.6847031963470319,145,252,40,02:00
5,4380,-199.73060905707763,-187.68452,-903.0166265,471.85635050000013,572.81818,-4.809410499999997,1037.21587,127.877809,0.3171232876712329,0.6828767123287671,142,230,43,02:30
6,4380,-200.22863913013697,-188.03325,-904.0830395,459.0,573.4916049999999,-4.150952499999986,1045.86473,126.8951675,0.317351598173516,0.682648401826484,137,238,57,03:00
7,4380,-198.97015931278537,-178.98537,-886.4113135,456.0195645,571.0647349999999,-6.5467054999999865,1052.64773,111.94377000000006,0.3134703196347032,0.6865296803652968,130,237,45,03:30
8,4380,-202.56306367579907,-176.853465,-880.8274005,432.6751465000001,568.81655,-14.978866499999976,1054.0,131.9403145,0.30228310502283107,0.6977168949771689,154,260,39,04:00
9,4380,-192.67477476484018,-165.363575,-867.0,424.5052305000001,565.0309050000001,-23.988866,1046.20653,140.0042305,0.3089041095890411,0.6910958904109589,157,290,45,04:30
10,4380,-187.2542708675799,-158.737495,-867.0010775,432.31153700000004,561.48267,-36.7281365,1048.31159,119.724543,0.3187214611872146,0.6812785388127854,190,339,56,05:00
11,4380,-182.66305181506848,-167.45283999999998,-854.6286964999999,448.80485450000003,552.2196799999999,-45.02624949999999,1042.0,120.8207555,0.3228310502283105,0.6771689497716895,161,377,52,05:30
