scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
lower,TUMUT3,678,235,605466.6596138239,117263.84328546208,722730.502899286,893.0186719967903,0.30383480825958703,1
lower,NEWENSF2,7260,2895,331004.16256603505,29103.62825470257,360107.7908207376,45.592859857580585,0.759366391184573,2
lower,NEWENSF1,7260,2895,328478.6853641009,27583.239280840524,356061.92464494146,45.24499798403594,0.7578512396694215,3
lower,UPPTUMUT,678,235,180122.94822254148,40840.696450032694,220963.64467257418,265.66806522498746,0.3480825958702065,4
lower,METZSF1,7240,2879,120784.66789317635,32368.634877617384,153153.30277079373,16.682965178615518,0.592403314917127,5
lower,SAPHWF1,7510,2943,62017.212283166555,46125.782478764406,108142.99476193097,8.25795103637371,0.40972037283621837,6
lower,DARLSF1,678,235,58849.00970651567,67135.44633340924,125984.45603992493,86.79794941963964,0.3230088495575221,7
lower,RYEPARK1,678,235,56587.44884302741,72069.04695683291,128656.4957998603,83.46231392776903,0.4557522123893805,8
lower,SNOWYP,678,235,54997.94987417218,3488.0247386759584,58485.974612848135,81.11792016839556,0.084070796460177,9
lower,WRWF1,7240,2879,53792.20031422835,30074.386930844445,83866.58724507279,7.429861921854744,0.3850828729281768,10
lower,GNNDHSF1,5102,1992,52776.50958193907,17914.745645302395,70691.25522724146,10.344278632289116,0.518032144257154,11
lower,AVLSF1,678,235,50210.92250642637,60330.17230249356,110541.09480891992,74.05740782658756,0.308259587020649,12
lower,LIMOSF11,678,235,43022.03682524553,68665.52953366643,111687.56635891196,63.45433160065713,0.3112094395280236,13
lower,MP1,678,235,42644.870446620494,5461.364533346253,48106.23497996674,62.89803900681489,0.42035398230088494,14
lower,CUSF1,276,92,42482.434232219464,29298.68742826358,71781.12166048304,153.92186316021545,0.38405797101449274,15
lower,WELNSF1,969,327,38240.45032874717,47745.31979190306,85985.77012065022,39.46382902863485,0.42518059855521156,16
lower,MP2,678,235,36358.5973211461,4978.141520483529,41336.73884162963,53.62624973620369,0.40412979351032446,17
lower,MOREESF1,7240,2879,34592.588764389424,10493.401313872937,45085.99007826236,4.777981873534451,0.5798342541436464,18
lower,RIVNB2,678,235,33776.84638133689,20936.272060338433,54713.118441675324,49.81835749459718,0.25663716814159293,19
lower,URANQ13,678,235,33467.886482451395,6157.692041491158,39625.57852394255,49.36266442839439,0.18584070796460178,20
lower,COLWF01,678,235,32378.442072656962,54115.73705840454,86494.1791310615,47.755814266455694,0.3967551622418879,21
lower,URANQ12,678,235,32299.92217516422,5764.075492577112,38063.997667741336,47.640003208206814,0.18141592920353983,22
lower,URANQ14,678,235,31249.399126504548,6402.676303628077,37652.07543013263,46.09055918363503,0.19469026548672566,23
lower,WLWLSF2,567,200,30213.397191369655,48906.25429703646,79119.65148840612,53.28641479959375,0.3386243386243386,24
lower,CAPBES1,678,235,28983.00446861663,17328.04261392114,46311.04708253776,42.74779420149945,0.1902654867256637,25
lower,WLWLSF1,567,200,28317.682039479005,47975.72609749454,76293.40813697354,49.94300183329631,0.3298059964726631,26
lower,SUNRSF1,678,235,27986.697930361912,57503.093237987734,85489.79116834963,41.278315531507246,0.33185840707964603,27
lower,BANGOWF1,678,235,26991.44729515389,32033.210758992696,59024.65805414659,39.81039424063995,0.4056047197640118,28
lower,HILLSTN1,678,235,25666.22573838849,33400.10974845547,59066.335486843964,37.85579017461429,0.30383480825958703,29
lower,COLEASF1,678,235,24471.86629491083,34563.182148884116,59035.048443794956,36.09419807508972,0.27876106194690264,30
lower,RESS1,653,227,23276.34215405736,14859.469987961877,38135.81214201924,35.64524066471265,0.2572741194486983,31
lower,SUNTPSF1,969,327,22839.810000982765,22195.823061627503,45035.633062610264,23.570495357051357,0.47058823529411764,32
lower,BW03,1250,422,22410.694222729027,11357.341018549923,33768.03524127895,17.928555378183223,0.3288,33
lower,WOLARSF1,857,299,20800.362507919963,28643.86001888078,49444.222526800746,24.271134781703573,0.2718786464410735,34
lower,STWF1,678,235,20265.50956283479,21579.3480081487,41844.85757098349,29.890132098576387,0.2994100294985251,35
lower,GSTONE3,108,36,19790.94260621404,2533.3790315304955,22324.32163774453,183.24946857605593,0.5,36
lower,GULLRWF1,678,235,19758.31542269919,25662.6082246328,45420.92364733199,29.142058145574026,0.37168141592920356,37
lower,FINLYSF1,678,235,19660.817922605944,31326.178866720868,50986.99678932682,28.998256523017616,0.252212389380531,38
lower,URANQ11,678,235,19535.54229097326,4409.2997462753865,23944.842037248643,28.813484204975307,0.14454277286135694,39
lower,WELLSF1,969,327,19164.813163476003,24847.416558894194,44012.2297223702,19.777928961275546,0.44169246646026833,40
lower,SEBSF1,678,235,19049.979184401836,19323.522226491037,38373.50141089288,28.097314431271144,0.28023598820059,41
lower,GSTONE4,108,36,18801.069814499424,2085.3273772151892,20886.397191714612,174.08397976388355,0.4722222222222222,42
lower,TALWA1,670,231,18559.894040545085,10342.674598481273,28902.568639026358,27.70133438887326,0.1253731343283582,43
lower,WSTWYSF1,678,235,17561.931038407667,27083.357204994023,44645.28824340169,25.90255315399361,0.41297935103244837,44
lower,STUBSF1,704,247,17003.42092747051,22628.184042330377,39631.60496980089,24.15258654470243,0.296875,45
lower,BANGOWF2,678,235,16677.83943011955,18408.161621057363,35086.001051176914,24.598583230264826,0.3392330383480826,46
lower,BOCORWF1,678,235,16385.674272760356,16102.249186216133,32487.92345897649,24.167661169263063,0.4911504424778761,47
lower,GSTONE5,108,36,16119.440575834291,3333.2467212888373,19452.687297123128,149.25407940587306,0.46296296296296297,48
lower,GULLRWF2,678,235,15676.765048445657,18770.317023638083,34447.08207208374,23.1220723428402,0.4144542772861357,49
lower,STUBSF2,704,247,15194.348494615972,21024.60207526115,36218.950569877125,21.582881384397687,0.34375,50
lower,STAN-3,108,36,15104.84752589183,2183.8970195627157,17288.744545454545,139.85969931381325,0.6666666666666666,51
lower,STAN-4,108,36,14809.02842232451,2106.3898561565024,16915.418278481015,137.12063354004178,0.6759259259259259,52
lower,CROOKWF2,678,235,14788.57266753192,17441.561676639245,32230.13434417117,21.812054081905487,0.4026548672566372,53
lower,BW04,1250,422,14287.199260400566,7279.073913067201,21566.27317346777,11.429759408320454,0.2344,54
lower,CRURWF1,969,327,14081.102475081552,9796.02316100945,23877.125636091,14.531581501632148,0.5180598555211559,55
lower,TARALGA1,678,235,13934.647382767978,30027.67142009811,43962.31880286609,20.552577260719733,0.3805309734513274,56
lower,BOMENSF1,678,235,13673.966456484559,28359.38819010494,42033.3546465895,20.16809211870879,0.35398230088495575,57
lower,SHGEN,670,231,13436.385739162935,6529.21268929734,19965.598428460275,20.054307073377515,0.0880597014925373,58
lower,BW01,1388,465,13357.462172240079,9116.229359787296,22473.691532027377,9.62353182438046,0.27953890489913547,59
lower,STAN-1,108,36,13264.149841196779,2884.139972382048,16148.289813578824,122.8162022333035,0.6388888888888888,60
lower,CPP_3,108,36,13068.066450172613,5923.959930724972,18992.026380897583,121.00061527937605,0.4722222222222222,61
lower,WRSF1,7240,2879,12849.871326819211,6677.355464471149,19527.226791290363,1.7748441059142557,0.5008287292817679,62
lower,JEMALNG1,678,235,12836.96393203491,13671.564968983377,26508.528901018286,18.933575120995442,0.3702064896755162,63
lower,MSTUART1,108,36,12780.469344303796,0.0,12780.469344303796,118.33767911392404,0.21296296296296297,64
lower,MSTUART3,108,36,12580.459632911392,1436.736987341772,14017.196620253162,116.48573734177215,0.21296296296296297,65
lower,DPNTB1,678,235,12556.396084551252,8118.808009167441,20675.204093718694,18.519758236801255,0.22271386430678466,66
lower,STAN-2,108,36,11975.166360184121,4190.492388952819,16165.65874913694,110.88117000170483,0.5740740740740741,67
lower,WAGGNSF1,678,235,11332.379238293584,14308.724380298736,25641.10361859232,16.714423655300273,0.3805309734513274,68
lower,FLYCRKWF,964,324,11062.264900635462,6786.775163364038,17849.040063999502,11.475378527630147,0.4242738589211618,69
lower,NEVERSF1,969,327,10972.740613367236,13114.813963390332,24087.55457675757,11.323777722773205,0.4293085655314757,70
lower,MSTUART2,108,36,10835.852411392405,0.0,10835.852411392405,100.3319667721519,0.19444444444444445,71
lower,GOONSF1,678,235,10768.239346993401,9701.405033636995,20469.644380630394,15.882358918869324,0.37315634218289084,72
lower,WYASF1,678,235,10643.11801588939,17041.789334348854,27684.907350238245,15.697814182727713,0.37168141592920356,73
lower,NESBESS1,1481,604,10235.210921264266,1582.5686621979648,11817.77958346223,6.911013451225028,0.08980418636056718,74
lower,TALWB1,670,231,10221.116076374185,6148.076519783039,16369.192596157223,15.255397128916693,0.050746268656716415,75
lower,BW02,1388,465,10002.05420317318,7636.089223664969,17638.14342683815,7.206090924476355,0.19020172910662825,76
lower,YABULU,108,36,9881.267103797469,164.05063291139237,10045.317736708861,91.49321392405064,0.18518518518518517,77
lower,LDBESS1,403,135,9249.857899076274,311.33482713971193,9561.192726215986,22.952500990263708,0.17121588089330025,78
lower,CROOKWF3,678,235,9025.392616515403,16347.459593992833,25372.852210508234,13.311788519934222,0.3554572271386431,79
lower,BHB1,678,235,8707.752861087418,5122.576542931168,13830.329404018585,12.843293305438669,0.20501474926253688,80
lower,CALL_B_2,108,36,8684.412666283086,2843.8312094361336,11528.243875719218,80.41122839151005,0.2222222222222222,81
lower,NYNGAN1,969,327,8446.186710442991,11793.102866294323,20239.289576737312,8.716394954017535,0.3973168214654283,82
lower,JUNEESF1,678,235,8413.955533051248,8912.395480451323,17326.35101350257,12.40996391305494,0.39823008849557523,83
lower,BROKENH1,678,235,8053.351731102586,13648.104040381948,21701.455771484532,11.878099898381395,0.21386430678466076,84
lower,BODWF1,969,327,7912.560955980655,6059.379274382252,13971.940230362909,8.165697580991388,0.44272445820433437,85
lower,PARSF1,678,235,7562.07220570847,8096.942332230169,15659.01453793864,11.15349882847857,0.3480825958702065,86
lower,YABULU2,108,36,7187.46835443038,0.0,7187.46835443038,66.55063291139241,0.3055555555555556,87
lower,WDGPH1,135,47,7090.728049499605,2538.2559599999995,9628.984009499605,52.52391147777485,0.6518518518518519,88
lower,WOODLWN1,675,234,6705.5544718398705,3763.606600668029,10469.1610725079,9.934154773096104,0.48,89
lower,LIMOSF21,678,235,6550.328757026136,9832.508756909565,16382.837513935701,9.66125185402085,0.3274336283185841,90
lower,GUTHEGA,678,235,6252.596278616118,2299.4958591159966,8552.092137732114,9.222118405038522,0.11356932153392331,91
lower,BERYLSF1,969,327,6082.820462924985,11089.71853159472,17172.538994519706,6.277420498374598,0.3302373581011352,92
lower,CRWASF1,678,235,6051.171521242799,10123.829556518162,16175.00107776096,8.925031742246016,0.2920353982300885,93
lower,BBATTERY1,108,36,6049.7422082853855,5104.135115074798,11153.877323360184,56.01613155819801,0.3888888888888889,94
lower,GSTONE1,108,36,6038.901772612197,1862.5735733026472,7901.475345914844,55.91575715381664,0.28703703703703703,95
lower,MANSLR1,969,327,6032.645016840593,4359.434846342395,10392.079863182986,6.225639852260674,0.3281733746130031,96
lower,DAYDSF1,108,36,5910.501831990794,6134.042882853855,12044.54471484465,54.72686881472958,0.32407407407407407,97
lower,SMCSF1,108,36,5892.667272266973,10519.004434982739,16411.671707249712,54.56173400247197,0.3425925925925926,98
lower,GESF1,264,90,5567.449798009393,7292.188254188123,12859.638052197515,21.08882499245982,0.24242424242424243,99
lower,GUNNING1,678,235,5272.097679257818,9307.720144406094,14579.81782366391,7.775955279141324,0.4026548672566372,100
lower,SHPUMP,670,231,5182.29825715745,4075.8776601850004,9258.17591734245,7.734773518145448,0.050746268656716415,101
lower,WHITSF1,108,36,5149.972059378596,2410.964217721519,7560.936277100115,47.68492647572774,0.4351851851851852,102
lower,HAYMSF1,108,36,4906.556447871117,2013.2301426927502,6919.786590563867,45.431078221028855,0.4074074074074074,103
lower,MOLNGSF1,969,327,4903.319602864876,4573.193391008061,9476.512993872939,5.060185348673763,0.37254901960784315,104
lower,LILYSF1,108,36,4888.55303429229,4463.547470655925,9352.100504948217,45.264379947150836,0.5092592592592593,105
