DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_rank,reversal_rank,forced_rank
NEWENSF2,243934,3610166.831443498,15.777645206525834,109.82758620689656,1949682.7487445911,1660484.082698907,13143,9833,11467,4731,1028,24.0,34.0,0.2548183673855972,0.07482174574992362,29540.0,5083,-1.0,1.0,-0.137,0.9959343271992842,1.0141987829614605,1.0141987829614605,1,1,6,6
NEWENSF1,243934,3503826.100499334,15.237589769902545,102.54342715231788,1897101.744679373,1606724.3558199606,13143,9833,11467,4731,1028,24.0,34.0,0.2538614785984804,0.07442492820577891,27655.0,5083,-1.0,1.0,-0.137,0.9959343271992842,1.0141987829614605,1.0141987829614605,2,2,6,6
SAPHWF1,291871,3331644.8705770522,11.419787217405254,64.59789999999997,1606821.4647964207,1724823.4057806316,14625,11710,14744,5135,1384,24.0,56.0,0.24609045830449686,0.06320652461084543,78279.0,10819,-1.0,1.04,0.2337,0.7516487106600271,1.04,1.04,3,3,1,1
WRWF1,287087,2147247.265778903,7.7555746650787825,58.34690990990992,1054020.475799084,1093226.7899798192,13906,11509,13833,4957,1333,24.0,36.0,0.11829401547487699,0.04895833037508664,41353.0,6049,-1.0,1.0,-8.85480572597137,0.8213574738440204,1.3908841582865352,8.85480572597137,4,6,2,2
METZSF1,287087,2139708.111983012,8.319942236272377,98.08557302231237,1131076.6380635141,1008631.4739194978,13906,11509,13833,4957,1333,24.0,36.0,0.14553743672665387,0.012801808369582305,20057.0,6053,-1.0,1.0,-10.224948875255624,0.8727890344568693,1.5116279069767442,10.224948875255624,5,5,2,2
TUMUT3,91210,2040813.8247793072,292.47086366435656,13514.088,1461185.9438999603,579627.8808793469,3716,3628,7198,1163,538,22.0,9.0,0.132945249475285,0.004546586534810534,5280.0,3635,-0.99,0.991,-10.723926380368098,1.3836486594207764,9.792576419213974,10.723926380368098,6,4,73,72
BW01,124012,1269843.4991542096,16.284359561310033,114.59242892682927,693658.6811716501,576184.8179825594,6658,4882,9737,2108,748,24.0,23.0,0.20674346894233347,-0.029537416379630647,8833.0,4269,-0.539,1.0,-0.7977642276422765,0.9374349894939991,1.317241379310345,1.317241379310345,7,7,10,10
GNNDHSF1,211943,1193378.880033345,7.0704236749265705,69.50562202018486,670650.3070554137,522728.57297793136,11265,8350,13506,3918,1263,24.0,29.0,0.07587744240149648,0.00952154815343121,8704.0,5861,-1.0,1.0,-2.2836263987211693,0.8667441384633311,1.9538882375928095,2.2836263987211693,8,8,8,5
BW03,123208,1064965.3067503325,18.03891088885446,154.0958073495935,595578.86835697,469386.4383933624,6520,4848,9731,2065,742,24.0,22.0,0.19205405121703464,-0.029958196257795718,2644.0,4096,-0.517,0.869,-0.6565040650406504,1.0569293497519006,2.5172413793103448,2.5172413793103448,9,9,12,12
BW04,123208,1009648.6972028741,14.20872607372231,169.0583264228571,546153.8625849324,463494.83461794176,6520,4848,9731,2065,742,24.0,22.0,0.1995612102040306,-0.048095242870982886,2862.0,4096,-0.517,0.869,-0.6565040650406504,1.0569293497519006,2.5172413793103448,2.5172413793103448,10,11,12,12
BW02,124012,869568.8535817314,12.786315353041209,112.26769689599999,494404.073719966,375164.7798617654,6658,4882,9737,2108,748,24.0,23.0,0.16626705305295367,-0.016370813909212165,6991.0,4269,-0.539,1.0,-0.7977642276422765,0.9374349894939991,1.317241379310345,1.317241379310345,11,12,10,10
UPPTUMUT,91210,832019.0571409538,133.06460495189674,2821.6628976,557504.5734007979,274514.48374015593,3716,3628,7198,1163,538,22.0,9.0,0.11876121331139895,0.012068559246094181,2710.0,3635,-0.99,0.991,-10.723926380368098,1.3831035897974215,9.792576419213974,10.723926380368098,12,10,73,72
WELNSF1,121062,762860.9274244716,33.00425903266031,701.8553967142858,324002.84214867686,438858.0852757947,6239,4792,9731,1970,742,24.0,21.0,-0.11433755317820596,-0.014923914816363971,1823.0,3920,-0.781,0.928,-0.5611510791366906,1.1834481016422598,4.951724137931035,4.951724137931035,13,23,14,12
MOREESF1,248709,701367.409354921,2.990998944864836,22.831565762004175,387994.19836639543,313373.21098852565,13041,10056,10698,4681,1004,24.0,36.0,0.142016966818526,-0.009626428383820317,2695.0,5642,-1.0,1.0,-4.867075664621677,0.861197457586737,1.5240328253223916,4.867075664621677,14,17,5,8
