event_id,time,direction,receiver,sender,month,hour,season,year,baseline_time,baseline_capacity_mw,trough_time,trough_mw,recovery_time,recovery_censored,baseline_to_trough_mw,drop_mw,threshold_mw,capacity_mw,flow_mw,headroom_mw,reported_setter,peak_price,pre_price,price_jump,peak_spread,mpc_intervals,near_mpc_intervals,price_complete,special_price_regime,pre_demand,pre_wind,pre_solar,pre_available,parent_seq,incident_id,selection_reason,selected,steps,exact_step_share,equation_count,evidence_tier,limitation,observed_tightening_mw,generator_tightening_mw,rhs_tightening_mw,other_lhs_tightening_mw,switch_composite_mw,unresolved_mw,complete_terms_share,reconciliation_error_mw,physical_intervention,mpc_in_preceding_hour
QNI-lower-20240903T1445,2024-09-03 14:45:00,lower,NSW1,QLD1,2024-09,14,Spring,2024,2024-09-03 14:15:00,890.47983,2024-09-03 14:50:00,658.59108,2024-09-03 15:45:00,False,231.88874999999996,191.00851,109.62445500000007,699.47132,-699.47132,0.0,N>>NIL_964_84_S,135.0,-0.08001,135.08001,180.06,0,0,True,False,4924.3150000000005,147.871155,2772.99032,14229.109405,0,lower-0,,False,,,,,,,,,,,,,,False,False
QNI-lower-20240903T2005,2024-09-03 20:05:00,lower,NSW1,QLD1,2024-09,20,Spring,2024,2024-09-03 19:35:00,1073.53242,2024-09-03 20:20:00,928.34567,,True,145.18674999999996,122.44489999999996,109.62445500000007,951.08752,-889.04802,62.03950000000009,Q^^N_DM_SVC_SRAR,123.964,133.983,-10.019000000000005,13.51379,0,0,True,False,9199.0,229.428075,0.0,12001.875339999999,1,lower-1,,False,,,,,,,,,,,,,,False,False
QNI-lower-20240904T0650,2024-09-04 06:50:00,lower,NSW1,QLD1,2024-09,6,Spring,2024,2024-09-04 06:25:00,960.59228,2024-09-04 08:45:00,225.43536,,True,735.1569199999999,517.4025,109.62445500000007,440.6001,-440.6001,0.0,#NSW1-QLD1_RAMP_I_F,132.23809,100.897365,31.340725000000006,151.12809,0,0,True,False,8127.57,790.063305,3.1399999999999997,12055.988105,2,lower-2,,False,,,,,,,,,,,,,,False,False
QNI-lower-20240904T0745,2024-09-04 07:45:00,lower,NSW1,QLD1,2024-09,7,Spring,2024,2024-09-04 07:15:00,496.15921,2024-09-04 09:15:00,189.00613,,True,307.15307999999993,152.65948999999995,109.62445500000007,343.49972,-343.49972,0.0,F_Q++LDMU_L6,56.9993,74.254985,-17.255685000000007,102.10929999999999,0,0,True,False,8494.595000000001,858.7065399999999,645.10348,12578.463755,3,lower-3,,False,,,,,,,,,,,,,,False,False
QNI-lower-20240904T1435,2024-09-04 14:35:00,lower,NSW1,QLD1,2024-09,14,Spring,2024,2024-09-04 14:05:00,356.19721,2024-09-04 16:05:00,109.3525,,True,246.84470999999996,135.91325999999998,109.62445500000007,220.28395,-220.28367,0.0002800000000036107,F_Q++LDMU_L6,75.8,-29.02674,104.82674,120.81,0,0,True,False,4893.215,641.716175,2077.335255,14120.360805,4,lower-4,,False,,,,,,,,,,,,,,False,False
QNI-lower-20240904T1605,2024-09-04 16:05:00,lower,NSW1,QLD1,2024-09,16,Spring,2024,2024-09-04 15:50:00,249.75855,2024-09-04 16:05:00,109.3525,2024-09-04 16:25:00,False,140.40605,130.50822999999997,109.62445500000007,109.3525,197.88592,307.23842,F_Q++LDMU_L6,85.74639,16.733565,69.012825,1.573440000000005,0,0,True,False,6169.23,668.712775,2194.882685,14005.569365,5,lower-5,,False,,,,,,,,,,,,,,False,False
QNI-lower-20240905T0705,2024-09-05 07:05:00,lower,NSW1,QLD1,2024-09,7,Spring,2024,2024-09-05 06:35:00,963.19122,2024-09-05 08:55:00,174.20992,,True,788.9813,463.41097,109.62445500000007,499.78025,-140.27964,359.50061000000005,F_Q++LDMU_L6,69.99,67.49490499999999,2.4950950000000063,60.95985,0,0,True,False,7805.895,1576.4862349999999,24.265065,12225.172305,6,lower-6,,False,,,,,,,,,,,,,,False,False
QNI-lower-20240905T0815,2024-09-05 08:15:00,lower,NSW1,QLD1,2024-09,8,Spring,2024,2024-09-05 08:00:00,429.92025,2024-09-05 08:55:00,174.20992,,True,255.71033,123.33730000000003,109.62445500000007,297.98316,-297.98316,0.0,F_Q++LDMU_L6,57.00033,13.716535,43.283795,96.12932,0,0,True,False,7738.38,1458.81821,984.96255,12921.735294999999,7,lower-7,,False,,,,,,,,,,,,,,False,False
QNI-lower-20240905T0910,2024-09-05 09:10:00,lower,NSW1,QLD1,2024-09,9,Spring,2024,2024-09-05 08:40:00,339.74349,2024-09-05 09:10:00,210.73888,2024-09-05 09:45:00,False,129.00461,129.00461,109.62445500000007,210.73888,-210.73887,1.0000000003174137e-05,F_Q++LDMU_L6,19.01927,33.925275,-14.906005,60.61927,0,0,True,False,7083.7,1484.70515,1383.219185,12952.80163,8,lower-8,,False,,,,,,,,,,,,,,False,False
QNI-lower-20240905T1045,2024-09-05 10:45:00,lower,NSW1,QLD1,2024-09,10,Spring,2024,2024-09-05 10:15:00,392.51827,2024-09-05 11:30:00,173.99508,,True,218.52318999999997,128.79686999999996,109.62445500000007,263.7214,-261.66645,2.0549500000000194,F_Q++LDMU_L6,12.88752,-45.009935,57.897455,57.50466,0,0,True,False,5502.1900000000005,1374.660445,1722.5322150000002,13576.920685000001,9,lower-9,,False,,,,,,,,,,,,,,False,False
