time,REGIONID,coal_target_mw,coal_initial_mw,coal_available_mw,online_units_proxy,not_generating_units_proxy,unknown_units,observed_units,online_registered_mw_proxy,not_generating_registered_mw_proxy,capacity_covered_units,expected_units,missing_units,not_generating_is_not_verified_outage
2024-09-08 15:10:00,NSW1,2634.09907,2495.50332,5780.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 15:10:00,QLD1,2815.375,2784.9827,4534.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 15:15:00,NSW1,2764.1733400000003,2648.21578,5780.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 15:15:00,QLD1,2830.0,2840.3107800000002,4534.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 15:20:00,NSW1,2825.70687,2693.72437,5780.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 15:20:00,QLD1,2854.05777,2827.66841,4534.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 15:25:00,NSW1,2918.51986,2815.4058999999997,5780.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 15:25:00,QLD1,2871.88367,2861.05732,4534.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 15:30:00,NSW1,2989.96415,2901.32036,5760.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 15:30:00,QLD1,2880.0,2878.86078,4534.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 15:35:00,NSW1,3193.65547,3042.14286,5760.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 15:35:00,QLD1,2905.33653,2941.41075,4535.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 15:40:00,NSW1,3283.38637,3120.12278,5760.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 15:40:00,QLD1,2913.37497,2904.02084,4535.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 15:45:00,NSW1,3400.96805,3274.00749,5760.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 15:45:00,QLD1,2932.6875,2942.49535,4535.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 15:50:00,NSW1,3480.8843699999998,3351.03515,5760.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 15:50:00,QLD1,2989.63205,2918.50528,4535.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 15:55:00,NSW1,3584.9571,3518.49401,5760.0,10,2,0,12,6850.0,1420.0,12,12,0,True
2024-09-08 15:55:00,QLD1,3061.75802,3027.6878899999997,4535.0,12,3,0,15,4884.0,1100.0,15,41,26,True
2024-09-08 16:00:00,NSW1,3637.07463,3598.4026,5760.0,10,2,0,12,6850.0,1420.0,12,12,0,True
