event_id,constraint,version_key,equation,description,limit_type,exact_version,Z_note
QNI-lower-20240919T1735,N>>BYSW_16_8,N>>BYSW_16_8|2024-09-02|1,-0.173 * F_VIC_to_NSW +0.718 * P[NAL11C] +0.725 * P[NBA21B] +0.191 * P[NBAY1] +0.191 * P[NBAY2] +0.282 * P[NBAY3] +0.282 * P[NBAY4] +0.724 * P[NBB21B] +0.374 * P[NBES1B] +0.715 * P[NBK11B] +0.715 * P[NBKB3B] +0.715 * P[NBKW1S] +0.716 * P[NBL21L] +0.736 * P[NBLW8] +0.379 * P[NBOD1B] +0.716 * P[NBSF1L] +0.716 * P[NBSF2S] +0.362 * P[NCDS1C] +0.868 * P[NCKW1C] +0.718 * P[NCLS1C] +0.871 * P[NCLW1C] +0.653 * P[NCMA3B] +0.868 * P[NCW31C] +0.386 * P[NCWF2W] +0.718 * P[NDNH1H] +0.718 * P[NDNS1D] -0.378 * P[NDT13T] -0.378 * P[NDTB1T] +0.519 * P[NFBS1J] +0.719 * P[NFNS1F] +0.177 * P[NGNE1G] +0.853 * P[NGUR1G] +0.853 * P[NGUR2G] +0.853 * P[NGUR3G] +0.713 * P[NGUT8] +0.717 * P[NHUM] -0.713 * P[NLTS3] +0.713 * P[NLTS8] +0.41 * P[NMLS1M] +0.391 * P[NMOS1M] +1 * P[NMR22T] +0.174 * P[NMR41M] +0.358 * P[NMTP1] +0.358 * P[NMTP2] +0.171 * P[NMTZ1M] +0.72 * P[NNRN1A] +0.373 * P[NONF1F] +0.472 * P[NPG11P] +0.472 * P[NPG12G] +0.652 * P[NQBB3Q] +0.652 * P[NQBC1C] -0.652 * P[NQBC2C] +0.652 * P[NQBC3C] +0.718 * P[NRB23R] +0.718 * P[NRBB1R] -0.718 * P[NRBB2R] +0.718 * P[NRBB3R] +0.718 * P[NRDP3D] +0.807 * P[NRPK1R] +0.174 * P[NSAP1S] -0.189 * P[NSHL] +0.189 * P[NSHP1] +0.721 * P[NURQ1U] +0.721 * P[NURQ2U] +0.721 * P[NURQ3U] +0.721 * P[NURQ4U] +0.723 * P[NWGG1W] +0.174 * P[NURR1N] +0.174 * P[NURR2N] +0.712 * P[NUTS8] +0.723 * P[NWGJ1J] +0.723 * P[NWGJ2S] +0.723 * P[NWGJ3W] +0.723 * P[NWGJ4W] +0.723 * P[NWGS1B] +0.381 * P[NWL82N] +0.375 * P[NWLN1W] +0.381 * P[NWLS3N] +0.381 * P[NWLS4W] +0.391 * P[NWLW1S] +0.375 * P[NWOW1W] +0.171 * P[NWRK1W] +0.171 * P[NWRK2W] +0.751 * P[NYS12A] -0.168 * F[N-Q-MNSP1] +0.714 * F[VIC1-NSW1] + Z_unrepresented <= RHS(t),"Out = Bannaby-Sydney West (39), avoid O/L Marulan to Avon (16) on trip of Marulan to Dapto (8) line, Feedback",Thermal,True,Z includes unsupported non-energy/region terms if present; not assumed zero
QNI-lower-20240919T1735,N>>BYSW_8_16,N>>BYSW_8_16|2024-09-02|1,-0.175 * F_VIC_to_NSW +0.704 * P[NAL11C] +0.715 * P[NBA21B] +0.192 * P[NBAY1] +0.192 * P[NBAY2] +0.282 * P[NBAY3] +0.282 * P[NBAY4] +0.714 * P[NBB21B] +0.371 * P[NBES1B] +0.702 * P[NBK11B] +0.702 * P[NBKB3B] +0.702 * P[NBKW1S] +0.702 * P[NBL21L] +0.724 * P[NBLW8] +0.376 * P[NBOD1B] +0.702 * P[NBSF1L] +0.702 * P[NBSF2S] +0.36 * P[NCDS1C] +0.864 * P[NCKW1C] +0.704 * P[NCLS1C] +0.865 * P[NCLW1C] +0.635 * P[NCMA3B] +0.864 * P[NCW31C] +0.353 * P[NCWF2W] +0.704 * P[NDNH1H] +0.704 * P[NDNS1D] -0.455 * P[NDT13T] -0.455 * P[NDTB1T] +0.514 * P[NFBS1J] +0.847 * P[NGUR2G] +0.705 * P[NFNS1F] +0.178 * P[NGNE1G] +0.847 * P[NGUR1G] +0.847 * P[NGUR3G] +0.699 * P[NGUT8] +0.703 * P[NHUM] -0.699 * P[NLTS3] +0.699 * P[NLTS8] +0.407 * P[NMLS1M] +0.388 * P[NMOS1M] +1 * P[NMR22T] +0.175 * P[NMR41M] +0.356 * P[NMTP1] +0.356 * P[NMTP2] +0.172 * P[NMTZ1M] +0.706 * P[NNRN1A] +0.37 * P[NONF1F] +0.467 * P[NPG11P] +0.467 * P[NPG12G] +0.634 * P[NQBB3Q] +0.634 * P[NQBC1C] -0.634 * P[NQBC2C] +0.634 * P[NQBC3C] +0.704 * P[NRB23R] +0.704 * P[NRBB1R] -0.704 * P[NRBB2R] +0.704 * P[NRBB3R] +0.704 * P[NRDP3D] +0.799 * P[NRPK1R] +0.175 * P[NSAP1S] -0.256 * P[NSHL] +0.256 * P[NSHP1] +0.707 * P[NURQ1U] +0.707 * P[NURQ2U] +0.707 * P[NURQ3U] +0.707 * P[NURQ4U] +0.175 * P[NURR1N] +0.175 * P[NURR2N] +0.698 * P[NUTS8] +0.709 * P[NWGG1W] +0.709 * P[NWGJ1J] +0.709 * P[NWGJ2S] +0.709 * P[NWGJ3W] +0.709 * P[NWGJ4W] +0.709 * P[NWGS1B] +0.379 * P[NWL82N] +0.373 * P[NWLN1W] +0.379 * P[NWLS3N] +0.379 * P[NWLS4W] +0.389 * P[NWLW1S] +0.374 * P[NWOW1W] +0.172 * P[NWRK1W] +0.172 * P[NWRK2W] +0.741 * P[NYS12A] -0.169 * F[N-Q-MNSP1] +0.7 * F[VIC1-NSW1] + Z_unrepresented <= RHS(t),"Out = Bannaby-Sydney West (39), avoid O/L Marulan to Dapto (8) on trip of Marulan to Avon (16) line, Feedback",Thermal,True,Z includes unsupported non-energy/region terms if present; not assumed zero
QNI-lower-20240919T1735,Q^^N_DM_SVC_SRAR,Q^^N_DM_SVC_SRAR|2022-12-13|1,unknown IC factor * F + Z_unrepresented nan RHS(t),,,False,Z includes unsupported non-energy/region terms if present; not assumed zero
QNI-lower-20241024T0505,F_Q++85_L60,F_Q++85_L60|2023-03-14|1,unknown IC factor * F + Z_unrepresented nan RHS(t),,,False,Z includes unsupported non-energy/region terms if present; not assumed zero
QNI-lower-20241024T0505,F_Q++85_L6,F_Q++85_L6|2023-03-14|1,unknown IC factor * F + Z_unrepresented nan RHS(t),,,False,Z includes unsupported non-energy/region terms if present; not assumed zero
QNI-lower-20241024T0505,#R031091_023_RAMP_F,#R031091_023_RAMP_F|2024-10-23|1,-1 * F_VIC_to_NSW + Z_unrepresented <= RHS(t),"Hard Ramping constraint for constraint Q:N_960, Effective Date: 02/04/2020, Version: 1",Oscillatory Stability,True,Z includes unsupported non-energy/region terms if present; not assumed zero
QNI-lower-20241107T1655,Q^^NIL_CS,Q^^NIL_CS|2024-10-17|1,-0.0869 * F_VIC_to_NSW +0.53 * P[QBCB3B] +0.891 * P[QBCG] -0.0869 * P[QBCK1] -0.0869 * P[QBCK2] +0.892 * P[QBDR1L] +0.891 * P[QBGH1] +0.891 * P[QBGH2] -0.0869 * P[QBRA1] -0.0869 * P[QBRA2] -0.0869 * P[QBRA3] -0.0869 * P[QBRA4K] -0.0869 * P[QBRA5B] -0.0869 * P[QBRA6B] -0.0869 * P[QBRA7B] -0.0869 * P[QBRA8D] -0.0869 * P[QBRS1D] +0.53 * P[QBSW1C] +0.53 * P[QBSW2C] +0.678 * P[QCAB1] +0.678 * P[QCAB2] +0.678 * P[QCAC3] +0.678 * P[QCAC4] -0.0869 * P[QCBF1D] -0.0869 * P[QCBR1C] -0.0869 * P[QCBS1B] +0.892 * P[QCCK1D] +0.892 * P[QCCK2H] +0.892 * P[QCLA1C] -0.0869 * P[QCND1C] +0.892 * P[QCOS1C] -0.0869 * P[QCPG1C] +0.891 * P[QGAR1] -0.0869 * P[QGBB1G] +0.772 * P[QGLD1] +0.772 * P[QGLD2] +0.772 * P[QGLD3] +0.772 * P[QGLD4] +0.772 * P[QGLD5] +0.772 * P[QGLD6] +0.892 * P[QHAR1H] +0.891 * P[QKAH1] +0.891 * P[QKAH2] +0.891 * P[QKAH3] +0.891 * P[QKAH4] +0.892 * P[QLIS1E] +0.892 * P[QLIS2M] +0.892 * P[QLLV3C] +0.892 * P[QMPL1R] +0.678 * P[QMRR1M] -0.0869 * P[QMRY1Y] -0.0869 * P[QMRY2M] -0.0869 * P[QMRY3W] -0.0869 * P[QMRY4W] +0.891 * P[QMSP1] +0.891 * P[QMSP2] +0.891 * P[QMSP3M] -0.0869 * P[QMSW1M] -0.0869 * P[QOKY1] -0.0869 * P[QOKY2] -0.0869 * P[QORS1E] -0.0869 * P[QRMA7] -0.0869 * P[QRMA8] +0.892 * P[QROG1K] +0.892 * P[QROG3R] +0.892 * P[QROW1K] +0.892 * P[QROW2K] +0.892 * P[QSLD1H] +0.892 * P[QSLS1W] +0.53 * P[QSTN1] +0.53 * P[QSTN2] +0.53 * P[QSTN3] +0.53 * P[QSTN4] -0.0869 * P[QSWE] -0.0869 * P[QTBS1C] -0.0869 * P[QTBS2S] -0.0869 * P[QTKS1O] -0.0869 * P[QTKS2O] +0.892 * P[QTMW1K] -0.0869 * P[QTNT] -0.0869 * P[QTRB1T] -0.0869 * P[QTRN1] -0.0869 * P[QTRN2] -0.0869 * P[QTRN3] -0.0869 * P[QTRN4] -0.0869 * P[QTRS1K] +0.891 * P[QTYP] +0.892 * P[QTZS1S] -0.0869 * P[QWDB1C] +0.0869 * P[QWDB2C] -0.0869 * P[QWDB3C] -0.0869 * P[QWDE1W] +0.0869 * P[QWDE2W] -0.0869 * P[QWDE3W] -0.0869 * P[QWDR1W] -0.0869 * P[QWIV1] -0.0869 * P[QWIV2] +0.892 * P[QWKM1M] -0.0869 * P[QWLS1W] -0.0869 * P[QWSB3W] -0.0869 * P[QWSR1W] -0.0869 * P[QWSS1G] -0.0869 * F[N-Q-MNSP1] + Z_unrepresented <= RHS(t),"Out = Nil, CQ-SQ voltage stability limit, 2008/2009 implementation",Voltage Stability,True,Z includes unsupported non-energy/region terms if present; not assumed zero
QNI-lower-20241108T1510,N>>NIL_85_86_S,N>>NIL_85_86_S|2023-10-24|1,unknown IC factor * F + Z_unrepresented nan RHS(t),,,False,Z includes unsupported non-energy/region terms if present; not assumed zero
QNI-lower-20241108T1510,Q^^NIL_CS,Q^^NIL_CS|2024-10-17|1,-0.0869 * F_VIC_to_NSW +0.53 * P[QBCB3B] +0.891 * P[QBCG] -0.0869 * P[QBCK1] -0.0869 * P[QBCK2] +0.892 * P[QBDR1L] +0.891 * P[QBGH1] +0.891 * P[QBGH2] -0.0869 * P[QBRA1] -0.0869 * P[QBRA2] -0.0869 * P[QBRA3] -0.0869 * P[QBRA4K] -0.0869 * P[QBRA5B] -0.0869 * P[QBRA6B] -0.0869 * P[QBRA7B] -0.0869 * P[QBRA8D] -0.0869 * P[QBRS1D] +0.53 * P[QBSW1C] +0.53 * P[QBSW2C] +0.678 * P[QCAB1] +0.678 * P[QCAB2] +0.678 * P[QCAC3] +0.678 * P[QCAC4] -0.0869 * P[QCBF1D] -0.0869 * P[QCBR1C] -0.0869 * P[QCBS1B] +0.892 * P[QCCK1D] +0.892 * P[QCCK2H] +0.892 * P[QCLA1C] -0.0869 * P[QCND1C] +0.892 * P[QCOS1C] -0.0869 * P[QCPG1C] +0.891 * P[QGAR1] -0.0869 * P[QGBB1G] +0.772 * P[QGLD1] +0.772 * P[QGLD2] +0.772 * P[QGLD3] +0.772 * P[QGLD4] +0.772 * P[QGLD5] +0.772 * P[QGLD6] +0.892 * P[QHAR1H] +0.891 * P[QKAH1] +0.891 * P[QKAH2] +0.891 * P[QKAH3] +0.891 * P[QKAH4] +0.892 * P[QLIS1E] +0.892 * P[QLIS2M] +0.892 * P[QLLV3C] +0.892 * P[QMPL1R] +0.678 * P[QMRR1M] -0.0869 * P[QMRY1Y] -0.0869 * P[QMRY2M] -0.0869 * P[QMRY3W] -0.0869 * P[QMRY4W] +0.891 * P[QMSP1] +0.891 * P[QMSP2] +0.891 * P[QMSP3M] -0.0869 * P[QMSW1M] -0.0869 * P[QOKY1] -0.0869 * P[QOKY2] -0.0869 * P[QORS1E] -0.0869 * P[QRMA7] -0.0869 * P[QRMA8] +0.892 * P[QROG1K] +0.892 * P[QROG3R] +0.892 * P[QROW1K] +0.892 * P[QROW2K] +0.892 * P[QSLD1H] +0.892 * P[QSLS1W] +0.53 * P[QSTN1] +0.53 * P[QSTN2] +0.53 * P[QSTN3] +0.53 * P[QSTN4] -0.0869 * P[QSWE] -0.0869 * P[QTBS1C] -0.0869 * P[QTBS2S] -0.0869 * P[QTKS1O] -0.0869 * P[QTKS2O] +0.892 * P[QTMW1K] -0.0869 * P[QTNT] -0.0869 * P[QTRB1T] -0.0869 * P[QTRN1] -0.0869 * P[QTRN2] -0.0869 * P[QTRN3] -0.0869 * P[QTRN4] -0.0869 * P[QTRS1K] +0.891 * P[QTYP] +0.892 * P[QTZS1S] -0.0869 * P[QWDB1C] +0.0869 * P[QWDB2C] -0.0869 * P[QWDB3C] -0.0869 * P[QWDE1W] +0.0869 * P[QWDE2W] -0.0869 * P[QWDE3W] -0.0869 * P[QWDR1W] -0.0869 * P[QWIV1] -0.0869 * P[QWIV2] +0.892 * P[QWKM1M] -0.0869 * P[QWLS1W] -0.0869 * P[QWSB3W] -0.0869 * P[QWSR1W] -0.0869 * P[QWSS1G] -0.0869 * F[N-Q-MNSP1] + Z_unrepresented <= RHS(t),"Out = Nil, CQ-SQ voltage stability limit, 2008/2009 implementation",Voltage Stability,True,Z includes unsupported non-energy/region terms if present; not assumed zero
QNI-lower-20241111T1800,NRM_QLD1_NSW1,NRM_QLD1_NSW1|2020-09-23|1,unknown IC factor * F + Z_unrepresented nan RHS(t),,,False,Z includes unsupported non-energy/region terms if present; not assumed zero
