DUID,net_mw,tightening_mw,relief_mw,events
TUMUT3,9547.14036006805,12233.771671917188,2686.631311849137,14
ALDGASF1,-1154.0261148644502,6426.837020365639,7580.863135230089,17
STAN-2,2432.5504337908333,4679.849148949507,2247.298715158674,27
STAN-1,2840.0442691769927,4044.725642024922,1204.6813728479292,27
RYEPARK1,63.38663613292222,3837.5248973462653,3774.138261213343,14
CLARESF1,387.9322800736049,3823.2080290495405,3435.275748975936,27
LILYSF1,309.29819839119193,3806.8905030879355,3497.592304696743,27
EMERASF1,1109.2898970534472,3797.164263785772,2687.8743667323242,27
BBATTERY1,-1220.6957030355563,3227.4550659430397,4448.150768978596,27
UPPTUMUT,1343.928359295141,3132.4788755644663,1788.5505162693257,14
CLRKCWF1,276.82886780003514,3129.661511788383,2852.8326439883476,20
STAN-4,2265.571881026406,3098.5402665484385,832.9683855220326,27
HAUGHT11,-1357.535591653744,2875.4367881811827,4232.972379834928,27
STAN-3,1667.5847206510084,2728.004616075876,1060.419895424868,27
WLWLSF2,1625.3115161678445,2608.3562928239726,983.0447766561277,11
CPP_3,1916.0243315384355,2596.1836469903637,680.1593154519286,27
MOUSF1,-777.4642202006894,2527.795680990777,3305.2599011914663,27
WLWLSF1,1565.431347773285,2522.4675813257145,957.0362335524294,11
NEWENSF1,1174.0838960098,2468.102318768542,1294.018422758742,34
CLERMSF1,-62.78409638037481,2460.5316400384563,2523.315736418832,27
RRSF1,-1598.801227047413,2419.1914681581143,4017.9926952055275,27
CUSF1,-1110.6486099999997,2412.788595142857,3523.437205142857,5
SMCSF1,-1757.5895316801193,2395.2668364448496,4152.856368124969,27
KSP1,-135.8923638060729,2386.5770618085335,2522.4694256146067,27
NEWENSF2,1339.5004116826972,2381.629830668091,1042.1294189853938,34
RUGBYR1,8.189841118119109,2262.843638527528,2254.6537974094085,27
WHITSF1,-237.4604375800687,2249.194697717175,2486.6551352972438,27
DARLSF1,-685.606521536096,2246.084582877769,2931.691104413865,14
MEWF1,-200.261154222747,2243.5595478142404,2443.8207020369873,27
DAYDSF1,-1387.533944012975,2093.5566248589835,3481.0905688719586,27
WDBESS1,534.6644362078803,2085.3102649158354,1550.6458287079552,23
CPP_4,790.2619984504342,1836.6102012703277,1046.3482028198935,27
WDGPH1,-71.04945118731133,1795.8982736672167,1866.9477248545281,27
GSTONE2,278.83228168799,1597.6430693066623,1318.8107876186723,27
CALL_B_2,525.115689335344,1532.0431336500747,1006.9274443147306,27
GSTONE5,-150.4237205532228,1525.5034201262115,1675.9271406794344,27
WOOLGSF1,330.00086218349264,1513.2535270213039,1183.2526648378112,25
HAMISF1,-198.7172759672813,1490.0279249791065,1688.7452009463877,27
GSTONE1,768.0384890497216,1481.7234487823373,713.6849597326158,27
KABANWF1,-397.8780443472827,1438.0687288022054,1835.9467731494883,27
AVLSF1,-360.99229081015244,1437.1985080437998,1798.1907988539524,14
WDBESS2,376.5547616578226,1350.70929657844,974.154534920617,7
BANGOWF1,313.51591414404226,1179.5461065776897,866.0301924336475,14
MIDDLSF1,-370.6948405657727,1173.372053695358,1544.066894261131,27
SRSF1,737.251010004513,1123.987574265924,386.736564261411,27
CALL_B_1,-224.59812308385824,1068.7365656029142,1293.3346886867726,27
CSPVPS1,-88.17989540251203,1060.6256512689351,1148.805546671447,27
HAYMSF1,-652.5309294489402,1033.4170983044546,1685.948027753395,27
CAPBES1,-530.6170068114286,988.2596729622915,1518.87667977372,14
MSTUART2,955.1785556962024,961.19552278481,6.01696708860769,27
MSTUART3,265.73266853015275,905.4936245855752,639.7609560554225,27
GSTONE4,-865.2923599383174,889.5912615868542,1754.8836215251715,27
