index,mean_standardized_difference,mean_absolute_pair_difference
balance_QLD1_TOTALDEMAND,0.13357670638246133,0.5804377730082092
balance_QLD1_SS_WIND_CLEAREDMW,0.006036457649759782,0.7003634901999838
balance_QLD1_SS_SOLAR_CLEAREDMW,0.08604892864680613,0.527061546638747
balance_QLD1_AVAILABLEGENERATION,0.14430184902958682,0.6927658165819847
balance_QLD1_RRP,0.10783012489397041,0.6149397023925591
balance_flow,-0.05435251723186091,0.6530904001069864
balance_headroom,-0.07792759463209137,0.5454335900636468
balance_NSW1_TOTALDEMAND,-0.04344941918457452,0.6969413360309171
balance_NSW1_SS_WIND_CLEAREDMW,0.05944192560101058,0.7309563099557872
balance_NSW1_SS_SOLAR_CLEAREDMW,0.043673015089485206,0.5591514574599054
balance_NSW1_AVAILABLEGENERATION,0.006230001464942831,0.7354276425240686
balance_NSW1_RRP,-0.12506738644266738,0.6632940578416112
