season_year,season,direction,events,median_drop_mw,near_mpc_events,mpc_events,valid_hours,events_per_1000h,season_label
2024,Spring,lower,483,167.62034,2,0,2184.0,221.15384615384616,2024 Spring
2024,Spring,upper,379,175.39018,2,1,2184.0,173.53479853479854,2024 Spring
2025,Autumn,lower,491,137.73708,1,0,2208.0,222.3731884057971,2025 Autumn
2025,Autumn,upper,355,124.57243999999992,0,0,2208.0,160.77898550724638,2025 Autumn
2025,Spring,lower,606,181.85561499999997,1,1,2184.0,277.4725274725275,2025 Spring
2025,Spring,upper,391,162.99640999999997,0,0,2184.0,179.02930402930403,2025 Spring
2025,Summer,lower,435,210.17273,2,2,2160.0,201.38888888888889,2025 Summer
2025,Summer,upper,368,187.96134999999995,3,0,2160.0,170.37037037037038,2025 Summer
2025,Winter,lower,586,130.55698,6,0,2208.0,265.3985507246377,2025 Winter
2025,Winter,upper,410,218.408215,1,0,2208.0,185.68840579710144,2025 Winter
2026,Autumn,lower,674,184.55657999999997,0,0,2208.0,305.2536231884058,2026 Autumn
2026,Autumn,upper,441,110.47766000000001,0,0,2208.0,199.72826086956522,2026 Autumn
2026,Summer,lower,494,192.89925000000002,2,1,2160.0,228.7037037037037,2026 Summer
2026,Summer,upper,373,167.94138999999996,0,0,2160.0,172.6851851851852,2026 Summer
2026,Winter,lower,536,156.22258000000005,0,0,2208.0,242.7536231884058,2026 Winter
2026,Winter,upper,408,167.446575,0,0,2208.0,184.7826086956522,2026 Winter
