month,direction,threshold_mw,positive_falls
2024-08,upper,,18
2024-09,upper,99.76809599999996,3999
2024-10,upper,113.33415800000004,4073
2024-11,upper,174.64492800000022,3753
2024-12,upper,172.04658800000004,3435
2025-01,upper,106.63685800000006,4125
2025-02,upper,129.98236999999995,3706
2025-03,upper,123.68657000000002,3976
2025-04,upper,72.55536400000001,3784
2025-05,upper,93.72816399999996,4265
2025-06,upper,167.06844,4133
2025-07,upper,163.7108200000001,4223
2025-08,upper,171.998707,4220
2025-09,upper,111.866302,4268
2025-10,upper,92.753048,4220
2025-11,upper,160.02586,3933
2025-12,upper,112.31685000000007,4178
2026-01,upper,136.73212,4371
2026-02,upper,150.21181400000003,3859
2026-03,upper,91.62002400000004,4244
2026-04,upper,84.44169999999998,4059
2026-05,upper,82.41685300000002,4334
2026-06,upper,127.18569100000002,4182
2026-07,upper,138.95162,4192
2026-08,upper,133.10974799999994,3975
2026-09,upper,,0
2024-08,lower,,12
2024-09,lower,109.62445500000008,4402
2024-10,lower,123.99002600000006,4688
2024-11,lower,147.63750199999998,3912
2024-12,lower,171.77951999999993,4321
2025-01,lower,167.4171,4321
2025-02,lower,163.09637000000004,3959
2025-03,lower,115.21173099999994,4340
2025-04,lower,112.68676700000007,4354
2025-05,lower,96.2704320000002,4612
2025-06,lower,98.144844,4128
2025-07,lower,103.49425600000002,3430
2025-08,lower,114.087748,4485
2025-09,lower,133.27759600000002,4373
2025-10,lower,140.17253400000004,4353
2025-11,lower,184.71390700000015,4202
2025-12,lower,164.18894000000006,4443
2026-01,lower,154.78024000000005,4411
2026-02,lower,136.32807099999997,4070
2026-03,lower,149.39883000000003,4343
2026-04,lower,156.620922,4285
2026-05,lower,141.607309,4452
2026-06,lower,133.48121500000002,4166
2026-07,lower,115.20000000000005,4081
2026-08,lower,113.33293699999992,4204
2026-09,lower,,1
