time,region,rrp,contraction_events,linked_events
2024-09-08 18:05:00,NSW1,16611.90331,QNI-upper-20240908T1710,1
2024-09-29 18:20:00,NSW1,17307.22843,,0
2024-11-07 17:45:00,NSW1,16095.0,QNI-lower-20241107T1655;QNI-upper-20241107T1645,2
2024-11-07 17:55:00,NSW1,16100.0,QNI-lower-20241107T1655,1
2024-11-07 18:35:00,NSW1,16095.0,QNI-upper-20241107T1920,1
2024-11-11 18:00:00,NSW1,17499.96,QNI-lower-20241111T1800;QNI-lower-20241111T1850,2
2024-11-11 18:10:00,NSW1,17499.96,QNI-lower-20241111T1800;QNI-lower-20241111T1850,2
2024-11-22 18:20:00,NSW1,17500.0,,0
2024-11-26 17:35:00,NSW1,17500.0,QNI-upper-20241126T1735,1
2024-11-27 14:30:00,NSW1,17499.89,QNI-upper-20241127T1515,1
2024-11-29 06:55:00,NSW1,17499.88972,,0
2024-11-29 07:05:00,NSW1,17499.89,,0
2024-12-02 18:20:00,NSW1,15799.25801,QNI-upper-20241202T1755,1
2024-12-03 11:45:00,NSW1,17499.89,,0
2024-12-06 14:30:00,NSW1,17480.00037,QNI-lower-20241206T1525,1
2024-12-06 14:45:00,NSW1,15766.42534,QNI-lower-20241206T1525,1
2025-01-15 14:00:00,NSW1,17500.0,QNI-lower-20250115T1350;QNI-lower-20250115T1435;QNI-upper-20250115T1345;QNI-upper-20250115T1420;QNI-upper-20250115T1450,5
2025-02-05 17:25:00,NSW1,17500.0,QNI-lower-20250205T1710;QNI-upper-20250205T1705,2
2025-02-08 14:40:00,NSW1,17500.0,QNI-lower-20250208T1500;QNI-lower-20250208T1540,2
2025-03-15 17:35:00,NSW1,17480.00045,QNI-upper-20250315T1655,1
2025-03-15 18:05:00,NSW1,17480.00045,,0
2025-03-15 18:20:00,NSW1,17480.00045,,0
2025-03-15 19:05:00,NSW1,17480.00045,,0
2025-04-09 17:25:00,NSW1,17498.96,,0
2025-05-13 16:45:00,NSW1,17479.97025,QNI-lower-20250513T1715,1
2025-05-13 17:30:00,NSW1,17479.99,QNI-lower-20250513T1715,1
2025-05-28 16:50:00,NSW1,17460.00005,QNI-lower-20250528T1715;QNI-lower-20250528T1750;QNI-upper-20250528T1635;QNI-upper-20250528T1645;QNI-upper-20250528T1740,5
2025-06-12 19:25:00,NSW1,16441.38611,QNI-lower-20250612T1910;QNI-lower-20250612T1925;QNI-lower-20250612T1950;QNI-upper-20250612T1935,4
2025-06-12 19:55:00,NSW1,17026.17931,QNI-lower-20250612T1910;QNI-lower-20250612T1925;QNI-lower-20250612T1950;QNI-upper-20250612T1935,4
2025-06-26 20:45:00,NSW1,16069.27874,QNI-lower-20250626T1950;QNI-lower-20250626T2005;QNI-lower-20250626T2030,3
2025-10-10 17:55:00,NSW1,20300.0,QNI-lower-20251010T1700;QNI-lower-20251010T1810;QNI-upper-20251010T1700,3
2025-11-25 12:20:00,NSW1,20300.0,,0
2025-11-26 11:00:00,NSW1,20300.0,QNI-lower-20251126T1125;QNI-upper-20251126T1025,2
2026-02-05 14:30:00,NSW1,20300.0,QNI-lower-20260205T1420;QNI-upper-20260205T1450;QNI-upper-20260205T1505;QNI-upper-20260205T1525,4
2026-02-06 14:05:00,NSW1,19036.53,QNI-lower-20260206T1305;QNI-lower-20260206T1430;QNI-lower-20260206T1440;QNI-upper-20260206T1500,4
2024-09-08 18:05:00,QLD1,17500.0,QNI-upper-20240908T1710,1
2024-09-29 18:20:00,QLD1,17401.73,,0
2024-11-07 17:45:00,QLD1,16405.40163,QNI-lower-20241107T1655;QNI-upper-20241107T1645,2
2024-11-07 17:55:00,QLD1,16505.0,QNI-lower-20241107T1655,1
2024-11-07 18:35:00,QLD1,16893.60455,QNI-upper-20241107T1920,1
2024-12-08 18:00:00,QLD1,16220.18,QNI-upper-20241208T1710;QNI-upper-20241208T1725,2
2025-01-01 22:10:00,QLD1,16220.18,,0
2025-01-22 16:50:00,QLD1,17304.0,QNI-lower-20250122T1730;QNI-upper-20250122T1635,2
2025-06-12 19:55:00,QLD1,16567.63287,QNI-lower-20250612T1910;QNI-lower-20250612T1925;QNI-lower-20250612T1950;QNI-upper-20250612T1935,4
2026-01-15 18:55:00,QLD1,19727.85,,0
