CONSTRAINTID,version_key,direction,EFFECTIVEDATE,VERSIONNO,ic_factor,LIMITTYPE,DESCRIPTION,applicable_intervals,binding_intervals,near_binding_intervals,near_setting_intervals,leading_intervals,mean_abs_marginal_value,min_ic_slack_mw,median_ic_slack_mw,constraint_sets,invoked_sets
N^^V_NIL_1,N^^V_NIL_1|2025-12-02 00:00:00|1,lower,2025-12-02,1,-1.0,Voltage Stability,"Out = Nil, avoid voltage collapse at Southern NSW for loss of the largest Vic generating unit or Basslink",78468,3325,3937,40582,36897,1.4683679014986204,-1.0000000088439265e-05,823.53015,V-NIL,
N^^V_NIL_1,N^^V_NIL_1|2025-02-07 00:00:00|1,lower,2025-02-07,1,-1.0,Voltage Stability,"Out = Nil, avoid voltage collapse at Southern NSW for loss of the largest Vic generating unit or Basslink",76273,3947,4859,28793,23203,3.8063646650223606,-1.0000000088439265e-05,765.00774,V-NIL,
N^^V_NIL_ARWBBA,N^^V_NIL_ARWBBA|2025-12-02 00:00:00|1,lower,2025-12-02,1,-1.0,Voltage Stability,"Out = Nil, avoid voltage collapse in southern NSW for loss of Ballarat to Waubra to Ararat 220kV lines (this also trips Waubra, Ararat and Crowlands, Bulgana and Murra Warra WFs)",78468,662,857,22812,18698,0.4754204311177145,-1.0000000088439265e-05,979.85335,V-NIL,
N^^V_NIL_ARWBBA,N^^V_NIL_ARWBBA|2025-02-07 00:00:00|1,lower,2025-02-07,1,-1.0,Voltage Stability,"Out = Nil, avoid voltage collapse in southern NSW for loss of Ballarat to Waubra to Ararat 220kV lines (this also trips Waubra, Ararat and Crowlands, Bulgana and Murra Warra WFs)",80562,1066,1516,22949,18312,0.6291383039308364,-1.0000000088439265e-05,855.75968,V-NIL,
V^^N_NIL_1,V^^N_NIL_1|2024-10-31 00:00:00|1,upper,2024-10-31,1,1.0,Voltage Stability,"Out = Nil, avoid voltage collapse around Murray for loss of all APD potlines",176084,11838,12997,23875,17987,7.630469501290977,-153.4524600000002,729.3817700000001,V-NIL,
N^^V_NIL_ARWBBA,N^^V_NIL_ARWBBA|2024-09-05 00:00:00|1,lower,2024-09-05,1,-1.0,Voltage Stability,"Out = Nil, avoid voltage collapse in southern NSW for loss of Ballarat to Waubra to Ararat 220kV lines (this also trips Waubra, Ararat and Crowlands, Bulgana and Murra Warra WFs)",44673,440,660,14322,12101,0.23913038755940674,-1.0000000088439265e-05,1048.25585,V-NIL,
V::N_NIL_V1,V::N_NIL_V1|2024-10-31 00:00:00|1,upper,2024-10-31,1,1.0,Transient Stability,"Out = NIL, prevent transient instability for fault and trip of a HWTS-SMTS 500 kV line, VIC accelerates. Yallourn W G1 on 220kV.",107154,424,1168,17875,11727,0.13572963673537086,-1.0000000031595846e-05,1244.85153,V-NIL,
N^^V_NIL_1,N^^V_NIL_1|2024-09-05 00:00:00|1,lower,2024-09-05,1,-1.0,Voltage Stability,"Out = Nil, avoid voltage collapse at Southern NSW for loss of the largest Vic generating unit or Basslink",44673,786,1009,12798,11350,12.699553931624541,-221.41763000000003,973.29555,V-NIL,
N^^V_CTMN_1,N^^V_CTMN_1|2024-09-05 00:00:00|1,lower,2024-09-05,1,-1.0,Voltage Stability,"Out = Collector - Marulan (4) or Collector - Yass (3L) or Marulan - Yass (5), avoid voltage collapse at Southern NSW for loss of the largest Vic generating unit or Basslink",17433,1086,1266,11669,9673,97.58254282000433,-281.41763000000003,857.56186,"N-4+1_WG_CLOSE, N-CTMN_4_WG_CLOSE, N-CTMN_4_WG_OPEN, N-CTYS_3L_WG_CLOSE, N-CTYS_3L_WG_OPEN, N-MNYS_5_WG_CLOSE","N-4+1_WG_CLOSE, N-CTMN_4_WG_CLOSE, N-CTYS_3L_WG_CLOSE, N-MNYS_5_WG_CLOSE"
V::N_NIL_V2,V::N_NIL_V2|2025-12-09 00:00:00|1,upper,2025-12-09,1,1.0,Transient Stability,"Out = NIL, prevent transient instability for fault and trip of a HWTS-SMTS 500 kV line, VIC accelerates. Yallourn W G1 on 500kV.",59697,1426,2709,13560,9513,1.4947664805595247,-1.9999999949504854e-05,997.2057325000001,V-NIL,
