direction,constraint,episodes,median_drop_mw,p90_drop_mw,max_drop_mw
lower,I_6F_NS_150,715,509.44058,992.4186040000002,1679.42202
lower,N^^V_NIL_1,675,229.83272,449.92865600000005,1583.7912
lower,N^^V_NIL_ARWBBA,469,231.57076000000004,369.9739259999999,1184.90612
lower,V>>NIL_MLGT_MLGT,233,333.832,726.5040759999999,1480.7419799999998
lower,N^^V_CTMN_1,150,397.409305,791.4417599999998,1209.0845900000002
lower,N>>NIL_BU_PST_ML_W,121,437.5539,711.3673200000001,1383.20291
lower,V>>NIL_MLGT_MLGT_R2,113,353.11347,745.9701659999998,1293.9063800000001
lower,N^^V_MLNK_1,85,217.09864000000002,274.30383600000016,616.98286
lower,V>>BDBU_ELML_BAML2,80,566.75104,1055.44235,1952.63115
lower,V>>NIL_MLGT_MLGT_R5,71,426.93969000000004,782.1733899999999,1232.31112
lower,N^^V_CNCW_1,67,205.97889000000004,391.88872000000003,928.47305
lower,NRM_NSW1_VIC1,60,747.41354,1041.759734,1196.9148300000002
lower,V>>MLSY_GTKT_MLSY,48,636.8634900000001,1347.0474760000002,1522.49359
lower,V>>NIL_ELML_BAML2,44,427.30598,1051.43456,1242.7699400000001
lower,N>>NIL_996_62,43,375.80851000000007,677.485354,1221.26861
lower,N^^V_BADP_1,43,204.93646999999999,265.334824,384.72057
lower,N>>NIL_060_051,37,431.53364,564.111724,740.56077
lower,,29,340.11409000000003,960.3851999999999,1218.28396
lower,N^^V_LTUT_1,26,234.303775,284.36452500000007,330.19616
lower,N^^V_DTSS_1,23,474.44870000000003,784.1725980000002,1139.11679
lower,N^^V_JNWG_63_X5_1,23,246.32408,308.43410400000005,340.31749
lower,N^^V_MLNK_ARWBBA,18,212.16029500000002,266.44959,279.86715
lower,N^^V_MSDD2,18,255.84133500000002,596.5471470000001,626.40496
lower,N>>BDBU_996_6Y,15,513.4920599999999,1069.8193840000001,1406.3460799999998
lower,V>>BAML1_ELML_BAML2,15,525.63412,920.69967,1181.17509
lower,N^^V_03+4_1,13,325.8805,498.7966840000001,790.0171799999999
lower,N>>BU_TX_TX78_ML_LV,12,464.83727500000003,705.0533160000001,1152.73092
lower,N^^V_4+07_1,10,316.73969,546.6928780000001,694.6693300000001
lower,N^^V_CNLT_1,10,271.315595,474.94797500000004,561.52946
lower,N^^V_LTWG_1,9,236.28410000000002,304.57685,312.63928999999996
lower,N^^V_CRML_1,7,225.28265,275.8461300000001,291.41154000000006
lower,V>>6Y+X5+63_67_68_S,7,255.66073,315.32967199999996,329.60416999999995
lower,N>>NIL_X3_060,6,296.39070499999997,414.74352999999996,489.1012099999999
lower,N^^V_2+3L_1,6,277.33004,322.03330500000004,328.21566000000007
lower,N^^V_3L+11_1,6,437.8523600000001,504.15993000000003,504.91206
lower,N^^V_BURC_1,6,174.781795,209.271065,224.5479
lower,V>>NIL_BEBA_ARWBBA,6,319.80778999999995,384.975255,394.1249
lower,I_6F_NS_050,5,559.9198299999999,831.049196,838.5904200000001
lower,N^^V_RC_BUS2_1,5,253.32976000000002,262.80127200000004,268.27268000000004
lower,V>>MLSY_GTDPT_MLSY,5,731.06254,1056.709752,1070.96774
lower,CA_BRIS_58730C07_1,4,328.29287,441.76394300000004,485.38853
lower,N^^V_2+5_1,4,557.4743050000001,692.908109,748.87844
lower,N^^V_LTYS_1,4,280.188255,381.05782300000004,422.99185
lower,N^^V_LTYS_MNYS_1,4,298.06346999999994,519.318086,600.84857
lower,#R030750_005_RAMP_V,3,277.45844,283.619232,285.15943
lower,#R035169_010_RAMP_F,3,207.45504999999997,232.13745799999998,238.30805999999998
lower,N>>NIL_996_6Y,3,766.8267199999999,910.0582,945.86607
lower,N>>V_NIL_66_65,3,726.27935,855.5089899999999,887.8163999999999
lower,N^^V_CNYS_1,3,219.47706000000005,267.44686800000005,279.43932000000007
lower,N^^V_MSUT_1,3,275.47362999999996,278.106358,278.76454
lower,V>>ROTT_RTBT_NIL_R5,3,354.65487,389.74471000000005,398.5171700000001
lower,#R033454_001_RAMP_F,2,263.59164,310.33130400000005,322.01622000000003
lower,#R033584_002_RAMP_V,2,200.89753999999996,210.18923599999994,212.51215999999994
lower,#R033738_008_RAMP_V,2,222.21511500000003,227.86628700000003,229.27908000000002
lower,#R033748_008_RAMP_V,2,187.99141500000002,188.711099,188.89102
lower,#R034039_012_RAMP_F,2,331.83763999999996,338.778856,340.51416
lower,#R035429_012_RAMP_F,2,158.71443,173.30366199999997,176.95096999999998
lower,#R035779_014_RAMP_F,2,189.748095,191.33935499999998,191.73717
lower,CA_BRIS_5964121F_2,2,349.64254,407.441868,421.8917
lower,CA_SYDS_583B9CD4_1,2,284.3343299999999,294.4083059999999,296.92679999999996
lower,I_6F_NS_000,2,941.79181,1327.787394,1424.28629
lower,N>>V_BDBU_65_66,2,877.94769,931.8698899999999,945.3504399999999
lower,N>>V_NIL_65_66,2,613.7853050000001,738.3749650000001,769.5223800000001
lower,N^^V_5+07_1,2,395.78082,459.717956,475.70224
lower,N^^V_DDSM1,2,410.663525,499.342441,521.51217
lower,N^^V_MSDD1,2,243.97937000000002,272.29805,279.37772
lower,V>>DBT_DDTX3_DDTX,2,414.28740000000005,418.049184,418.98963000000003
lower,V>>V-JNWG_RADIAL_1A,2,367.22456500000004,420.12983299999996,433.35614999999996
lower,#R030701_002_RAMP_V,1,359.79377,359.79377,359.79377
lower,#R030750_005_RAMP_F,1,287.74291,287.74291,287.74291
lower,#R030810_012_RAMP_F,1,271.79215,271.79215,271.79215
lower,#R030825_012_RAMP_F,1,239.06187,239.06187,239.06187
lower,#R031069_001_RAMP_F,1,576.93627,576.93627,576.93627
lower,#R031185_070_RAMP_F,1,1027.76869,1027.76869,1027.76869
lower,#R032076_008_RAMP_F,1,365.65657999999996,365.65657999999996,365.65657999999996
lower,#R032912_015_RAMP_F,1,321.06539000000004,321.06539000000004,321.06539000000004
lower,#R032975_006_RAMP_V,1,245.68507999999997,245.68507999999997,245.68507999999997
lower,#R033220_001_RAMP_F,1,274.17545,274.17545,274.17545
lower,#R033225_018_RAMP_F,1,243.97768000000002,243.97768000000002,243.97768000000002
lower,#R033530_006_RAMP_V,1,191.80037,191.80037,191.80037
lower,#R033536_006_RAMP_F,1,277.67034,277.67034,277.67034
lower,#R033539_001_RAMP_F,1,216.61374000000006,216.61374000000006,216.61374000000006
lower,#R033539_006_RAMP_V,1,257.02022,257.02022,257.02022
lower,#R033580_014_RAMP_V,1,228.16685000000007,228.16685000000007,228.16685000000007
lower,#R033604_001_RAMP_F,1,329.08266,329.08266,329.08266
lower,#R033606_001_RAMP_F,1,201.79552,201.79552,201.79552
lower,#R033766_008_RAMP_V,1,238.4051,238.4051,238.4051
lower,#R033817_015_RAMP_V,1,246.08383,246.08383,246.08383
lower,#R033926_025_RAMP_F,1,299.35725999999994,299.35725999999994,299.35725999999994
lower,#R035377_012_RAMP_F,1,187.7292,187.7292,187.7292
lower,#R035392_012_RAMP_F,1,250.16373000000002,250.16373000000002,250.16373000000002
lower,#R035407_012_RAMP_F,1,182.40168,182.40168,182.40168
lower,#R035434_008_RAMP_F,1,252.86061999999998,252.86061999999998,252.86061999999998
lower,#R035527_001_RAMP_V,1,267.04389000000003,267.04389000000003,267.04389000000003
lower,#R035582_001_RAMP_F,1,1560.94283,1560.94283,1560.94283
lower,#R035586_001_RAMP_V,1,1262.03817,1262.03817,1262.03817
lower,#R035794_008_RAMP_F,1,181.20526,181.20526,181.20526
lower,#R035919_001_RAMP_F,1,407.36269999999996,407.36269999999996,407.36269999999996
lower,#R036061_020_RAMP_V,1,438.24794,438.24794,438.24794
lower,#R036068_006_RAMP_V,1,784.4117200000001,784.4117200000001,784.4117200000001
lower,#R036094_004_RAMP_V,1,252.14267999999998,252.14267999999998,252.14267999999998
lower,#R036094_005_RAMP_V,1,269.90445,269.90445,269.90445
lower,#R036128_011_RAMP_F,1,275.39942,275.39942,275.39942
