month,season,direction,threshold_mw,contraction_intervals,contraction_episodes
2024-09,Spring,upper,252.60178500000004,437,160
2024-09,Spring,lower,196.50288400000002,435,154
2024-10,Spring,upper,478.9617,457,161
2024-10,Spring,lower,470.507696,432,125
2024-11,Spring,upper,462.9815680000001,436,122
2024-11,Spring,lower,435.19328900000005,412,89
2024-12,Summer,upper,452.44102,448,140
2024-12,Summer,lower,387.2012300000001,428,89
2025-01,Summer,upper,382.569325,443,142
2025-01,Summer,lower,288.50842599999993,420,97
2025-02,Summer,upper,357.97382800000014,410,143
2025-02,Summer,lower,328.244485,386,120
2025-03,Autumn,upper,257.6735039999999,451,157
2025-03,Autumn,lower,253.11524999999992,439,162
2025-04,Autumn,upper,240.33428800000002,450,168
2025-04,Autumn,lower,240.89875999999995,426,158
2025-05,Autumn,upper,263.47629200000006,454,146
2025-05,Autumn,lower,229.92642999999998,437,139
2025-06,Winter,upper,261.05528200000003,428,166
2025-06,Winter,lower,230.278186,440,159
2025-07,Winter,upper,258.47580700000003,448,185
2025-07,Winter,lower,218.87210999999996,451,142
2025-08,Winter,upper,248.29092199999997,446,164
2025-08,Winter,lower,180.062735,444,178
2025-09,Spring,upper,246.36363999999998,431,189
2025-09,Spring,lower,186.51165199999997,415,176
2025-10,Spring,upper,298.12336000000005,442,146
2025-10,Spring,lower,288.438016,450,163
2025-11,Spring,upper,388.4670000000002,440,179
2025-11,Spring,lower,268.46550800000034,432,163
2025-12,Summer,upper,295.9150360000001,451,185
2025-12,Summer,lower,342.23393200000066,441,148
2026-01,Summer,upper,235.204239,443,212
2026-01,Summer,lower,179.4105699999999,439,165
2026-02,Summer,upper,252.08386000000002,403,170
2026-02,Summer,lower,169.30647500000003,397,138
2026-03,Autumn,upper,230.34055,464,166
2026-03,Autumn,lower,160.5294140000001,420,113
2026-04,Autumn,upper,240.92953,430,182
2026-04,Autumn,lower,137.1408,420,133
2026-05,Autumn,upper,219.665286,455,181
2026-05,Autumn,lower,145.23368300000004,444,171
2026-06,Winter,upper,221.568412,438,194
2026-06,Winter,lower,188.97869,423,154
2026-07,Winter,upper,260.92415,444,196
2026-07,Winter,lower,216.20071000000002,442,160
2026-08,Winter,upper,264.0920860000001,459,175
2026-08,Winter,lower,163.25246,450,159
