half_hour,intervals,flow_mean_mw,flow_median_mw,flow_p05_mw,flow_p95_mw,export_limit_median_mw,export_limit_p05_mw,import_limit_median_mw,import_limit_p05_mw,northward_flow_share,southward_flow_share,flow_reversals,forced_export_intervals,forced_import_intervals,time_of_day
0,4380,472.099204086758,524.210895,-335.74612,1148.033183,914.249895,513.1380690000001,343.490475,-3.8282879999999957,0.7931506849315069,0.20684931506849316,109,1,227,00:00
1,4380,467.99793828995433,530.20128,-338.3715265,1140.500286,890.743605,511.846165,339.99957,3.1822945000000016,0.7863013698630137,0.2136986301369863,111,0,209,00:30
2,4380,467.54367967808224,530.05943,-371.125538,1138.3618665000001,869.861245,511.68213000000003,347.877345,30.20559450000002,0.7922374429223744,0.20776255707762556,106,0,180,01:00
3,4380,489.54871162100454,572.81257,-362.47691699999996,1128.1119190000002,862.7244000000001,506.85308449999997,353.08972,44.1536955,0.8052511415525114,0.19474885844748857,68,0,162,01:30
4,4380,506.2401733424657,598.294245,-333.827141,1125.945979,863.64746,506.23926950000003,353.950865,31.275987500000003,0.8070776255707762,0.19292237442922375,79,0,186,02:00
5,4380,528.224190086758,615.00143,-309.6295165,1124.7002945000002,867.6960750000001,520.5592829999999,354.56998999999996,40.9258415,0.821917808219178,0.1780821917808219,78,0,160,02:30
6,4380,535.9138861415526,617.994765,-295.4675765,1123.0054475,870.12294,526.8050975,359.09229,56.79604650000001,0.828310502283105,0.17168949771689498,75,0,119,03:00
7,4380,542.1316731278539,626.99032,-291.4836365,1124.6516655,878.464855,538.9972675,361.89274,60.2265585,0.8337899543378996,0.16621004566210046,99,2,118,03:30
8,4380,546.2342965182648,632.417775,-255.40194849999997,1126.8154075,890.3806400000001,534.0710369999999,366.70533,60.823102,0.8385844748858448,0.16141552511415524,119,2,127,04:00
9,4380,553.9369462442922,640.7962600000001,-237.2237055,1131.555395,902.32205,530.540862,359.32252,41.52712150000001,0.8463470319634703,0.15365296803652967,111,11,165,04:30
10,4380,552.5371394497716,625.75793,-248.97699899999998,1128.5990925,917.44012,541.435079,354.45957999999996,24.360219000000008,0.8518264840182649,0.14817351598173517,91,12,193,05:00
11,4380,510.8063572534247,578.3066,-288.2961565,1112.239683,908.815,479.24838550000004,362.70822499999997,4.05067100000002,0.8363013698630137,0.1636986301369863,127,14,215,05:30
12,4380,418.94821452054794,475.89195,-420.0020735,1099.1658465,860.411935,332.14038700000003,383.919615,-27.851805499999998,0.778310502283105,0.22168949771689497,192,65,265,06:00
13,4380,279.53624271917806,285.0,-541.291703,1060.2798345,774.3337300000001,-19.040716999999983,421.49227,-60.490179999999995,0.6801369863013699,0.3198630136986301,227,240,296,06:30
14,4380,144.4260335114155,112.98959500000001,-610.3273825,976.679728,670.420625,-307.81789749999996,454.45352,-77.156104,0.5824200913242009,0.41735159817351597,327,559,334,07:00
15,4380,20.61922484703197,-38.042045,-672.048272,866.3091405,545.858855,-438.69620999999995,479.63588500000003,-140.29335749999998,0.46164383561643835,0.5374429223744293,327,840,344,07:30
16,4380,-51.58246217123287,-119.37867,-713.5904515,789.3745315000001,431.32633,-493.41239499999995,509.097775,-106.80338299999995,0.39429223744292236,0.6029680365296803,286,1044,312,08:00
17,4380,-83.3919513515982,-149.90456,-690.293999,740.4355320000002,340.004855,-474.62801699999994,552.934095,-40.09819449999999,0.35684931506849316,0.639269406392694,291,1196,245,08:30
18,4380,-81.84040216894977,-144.21667000000002,-679.1132085,739.7509910000001,307.186865,-440.880786,570.048125,-0.0,0.3481735159817352,0.6408675799086758,305,1276,195,09:00
19,4380,-67.08201298858448,-125.747915,-678.833491,751.921005,308.83037,-454.92558299999996,599.4579799999999,-0.0,0.3618721461187215,0.6223744292237443,322,1312,176,09:30
20,4380,-57.573510739726025,-120.30208999999999,-702.7190205,743.4236735000001,319.783765,-451.2612165,612.039865,-0.0,0.3728310502283105,0.6098173515981735,265,1376,141,10:00
21,4380,-49.63461689497717,-105.41569,-710.4821425,766.8552190000001,299.666525,-408.7024925,627.767965,-0.0,0.38493150684931504,0.5933789954337899,251,1344,125,10:30
22,4380,-42.987057785388124,-95.439445,-685.068365,801.2457175000001,308.68608500000005,-433.459691,619.980135,10.312206000000014,0.3789954337899543,0.6031963470319635,320,1326,130,11:00
23,4380,-24.795716764840186,-73.598805,-682.7017050000001,802.1354950000003,310.805555,-418.3782955,633.081975,-0.0,0.4063926940639269,0.5682648401826484,260,1302,146,11:30
24,4380,-9.141880682648404,-58.112335,-678.81933,826.0448610000001,326.58876,-412.45743,622.2102199999999,-0.0,0.41963470319634705,0.5600456621004566,285,1289,144,12:00
25,4380,-7.422285445205489,-42.380525000000006,-693.1589469999999,819.6166735000002,306.5981,-402.238549,639.03331,-0.0,0.43424657534246575,0.541324200913242,332,1243,165,12:30
26,4380,-1.5753629885844789,-42.250475,-714.0030724999999,813.4279415000001,321.700225,-432.76498599999996,649.9385,-0.0,0.43401826484018263,0.5440639269406393,300,1256,152,13:00
27,4380,3.115555191780818,-35.140585,-709.0246579999999,815.0982735000001,313.39329499999997,-474.9227555,653.85781,-0.0,0.4506849315068493,0.5308219178082192,294,1271,147,13:30
28,4380,24.234924641552517,-24.171315,-679.0757275000001,829.2351450000001,315.73515,-448.854395,648.771215,-0.0,0.45273972602739726,0.526255707762557,335,1317,142,14:00
