scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
lower,MURRAY,9460,3232,525454.7849732633,30231.04823958154,555685.8332128448,55.54490327412931,0.386892177589852,1
lower,MUWAWF1,5365,2059,443339.0455209039,131150.38390713822,574489.4294280421,82.63542320986093,0.431314072693383,2
lower,KIAMSF1,4048,1588,393936.4698081261,149432.40608000336,543368.8758881295,97.31632159291652,0.3801877470355731,3
lower,LIMOSF11,9413,3252,344636.4543445532,132590.8883603401,477227.3427048932,36.61281784176704,0.36141506427281417,4
lower,TUMUT3,5606,1709,309383.80832347524,36000.372078680004,345384.1804021552,55.18797865206479,0.35676061362825545,5
lower,VBB1,1400,476,284598.57496341877,73466.21313643656,358064.7880998553,203.28469640244197,0.4142857142857143,6
lower,SUNRSF1,9413,3252,273441.8649732351,103980.67085776839,377422.53583100357,29.04938542156965,0.3951981302454053,7
lower,UPPTUMUT,5694,1740,270506.60293672746,22944.426053135776,293451.02898986323,47.507306451831305,0.47084650509308046,8
lower,MOORAWF1,1820,624,258238.209107418,111150.06958197856,369388.27868939657,141.8891258831967,0.5708791208791208,9
lower,MUWAWF2,5345,2054,250247.20728469116,110018.24668804408,360265.45397273527,46.8189349456859,0.4634237605238541,10
lower,MERCER01,1823,626,219192.1245339624,138039.1327458973,357231.2572798597,120.23704033678683,0.4964344487109161,11
lower,KARSF1,4048,1588,194300.11631313094,73318.35428773168,267618.4706008626,47.999040591188475,0.36363636363636365,12
lower,YATSF1,4048,1588,171195.24510329118,65015.08296461943,236210.32806791062,42.29131548994347,0.37104743083003955,13
lower,YENDWF1,3661,1482,170065.50896953192,46269.02843048514,216334.53740001706,46.45329390044576,0.45042338158972955,14
lower,ARWF1,5056,1965,163951.84381002368,150776.48615076861,314728.32996079227,32.42718429786861,0.49742879746835444,15
lower,STWF1,9791,3357,163051.1789770828,163664.29266946123,326715.471646544,16.653169132579187,0.40373812685118987,16
lower,WEMENSF1,4048,1588,152195.32344669494,77603.66771099949,229798.99115769443,37.59765895422306,0.37203557312252966,17
lower,KESSB1,3418,1373,151136.25658357787,65444.91735886202,216581.1739424399,44.217746221058476,0.15359859566998244,18
lower,BANN1,4048,1588,142230.50357134908,60355.924324413674,202586.42789576275,35.13599396525422,0.3621541501976285,19
lower,ELAINWF1,1820,624,134400.46574207346,33121.33701318188,167521.8027552553,73.846409748392,0.5170329670329671,20
lower,BULGANA1,5140,2007,122989.99902628279,82739.91741522393,205729.9164415067,23.928015374763188,0.4544747081712062,21
lower,BRYB1WF1,1823,626,120431.52512911947,74291.06173935378,194722.58686847327,66.06227379545774,0.5309928688974218,22
lower,BRYB2WF2,1823,626,112677.08576128277,73566.29476810418,186243.38052938695,61.808604367132624,0.4706527701590784,23
lower,GPWFEST2,1420,484,100669.483100397,38752.96778962837,139422.45089002536,70.89400218337818,0.44929577464788734,24
lower,STOCKYD1,3261,1342,97198.39343077151,72973.41709864674,170171.81052941823,29.806315066167283,0.49678012879484823,25
lower,DARLSF1,7876,2685,92777.0862829586,39217.33281876087,131994.41910171945,11.779721468125775,0.40083798882681565,26
lower,MRTLSWF1,1817,625,92555.3749524585,56926.591837113214,149481.9667895717,50.93856629194194,0.47385800770500824,27
lower,MACARTH1,3261,1342,92411.86884391174,75318.55588484017,167730.4247287519,28.338506238550057,0.3940509046304814,28
lower,GPWFEST1,1420,484,89969.37835810785,31962.264725867255,121931.64308397511,63.35871715359708,0.4232394366197183,29
lower,BROKENH1,9791,3357,89663.17228677681,52234.65823384746,141897.8305206243,9.157713439564581,0.3534878970483097,30
lower,RYANCWF1,2567,1002,72931.7966543663,54262.694152572585,127194.49080693888,28.411295930801053,0.4098169068952084,31
