DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,contraction_abs_impact_mw_observations,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_positive_rows,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_positive_share,contraction_mean_positive_tightening_mw,contraction_rank,reversal_rank,forced_rank
MURRAY,368317,9396144.581158787,25.996664226668823,208.29000000000002,5109020.958062831,4287123.623095957,15871,17893,24636,5995,3416,959873.078654477,900971.259041307,58901.81961316996,5775,24.0,103.0,0.3412918977217814,0.1479892065865115,96602.0,9031,-1.0,1.0,-1.685897435897436,0.6848680527668582,1.1764705882352942,1.685897435897436,1,0.36387121164387876,56.768398906263435,4,7,27
LIMOSF11,356202,6353231.583614596,19.17113880501617,359.1674634532216,3826195.2309145536,2527036.3527000425,18240,17915,37123,6599,4862,1645254.103127347,1435835.5396763415,209418.56345100558,8631,24.0,93.0,0.23616080719936922,0.1837342984474289,16057.0,18011,-1.0,1.0,-13.227513227513228,-0.7549986594743561,8.82280049566295,13.227513227513228,2,0.4731907894736842,78.71905371032574,2,4,4
TUMUT3,231534,5290266.656007792,43.90880701062194,1132.969444243397,3113576.3314838265,2176690.3245239654,9166,11883,14043,2793,1787,1547220.834064549,1491382.3698112688,55838.4642532804,3407,24.0,40.0,0.22985254015210918,0.13095591418296673,22326.0,10759,-1.0,1.0,-2.0876826722338206,-0.8776965090660838,6.410256410256411,6.410256410256411,3,0.3716997599825442,162.70809184063592,1,21,37
SUNRSF1,356202,4826412.729269343,14.42863635532334,216.32744986429012,2803859.9195156577,2022552.8097536855,18240,17915,37123,6599,4862,1131954.3218716045,949764.8613248665,182189.460546738,8974,24.0,93.0,0.21647844295130822,0.16792752051896986,7747.0,18011,-1.0,1.0,-13.227513227513228,-0.7549988994813834,8.82280049566295,13.227513227513228,4,0.49199561403508774,52.07044195860014,3,4,4
UPPTUMUT,238274,4699536.949529581,23.37977676769836,324.92526944781173,2491376.1453737696,2208160.804155811,9294,12257,14207,2838,1807,567804.3319654124,514433.5932205354,53370.73874487697,3992,24.0,49.0,0.2509749330638432,0.09227839030689822,38173.0,10850,-1.0,1.0,-4.006410256410256,-0.89624459729649,1.3869625520110958,4.006410256410256,5,0.42952442435980204,55.351150550950656,6,20,36
DARLSF1,349584,4239369.505929202,13.493542263716078,205.3766479705775,2266125.9089369425,1973243.5969922591,16649,17800,32833,6010,4426,688259.4475959417,530758.6264864295,157500.82110951224,7858,24.0,90.0,0.1929111039686373,0.14881331695160688,14724.0,15423,-1.0,1.0,-13.404825737265416,-0.7219127496416053,5.874895046179681,13.404825737265416,6,0.4719802991170641,31.87930965742264,5,9,8
STWF1,360466,3415561.259867487,9.436330404968736,76.8810154215669,1655682.5695252153,1759878.6903422715,18622,18193,37474,6707,4891,509988.38320216327,268842.4028293176,241145.98037284563,7164,24.0,101.0,0.03504842028433247,0.016361036514621147,24918.0,18275,-1.0,1.0,-11.337868480725623,-0.8949910715754588,12.391573729863694,12.391573729863694,7,0.38470626141123404,14.436816820390806,14,1,2
MUWAWF1,156120,3080831.2382223085,22.50620162699154,373.0991622641509,1727269.6045967427,1353561.6336255656,9303,6317,11006,3724,1918,662631.4238006631,480883.0548235197,181748.36897714334,3650,24.0,70.0,0.13185960215641873,0.09129467029750404,11906.0,5423,-0.912,0.9159,-10.34013605442177,0.11473889596591548,10.898064516129033,10.898064516129033,8,0.3923465548747716,51.691180782921606,8,32,41
AVLSF1,85717,2965465.833239256,30.21712431294801,430.9722577857143,1597200.8321422744,1368265.0010969818,9084,6223,27068,3462,3462,579568.263527877,456062.63209287036,123505.63143500667,4790,24.0,62.0,0.21570065219941364,0.1476428306161878,5961.0,12454,-1.0,1.0,-10.398740818467996,-0.8255663657934161,5.929471032745592,10.398740818467996,9,0.5273007485689124,50.20504536469291,9,35,19
COLEASF1,349962,2462982.661066684,7.901828126902176,126.34956047212764,1275130.5324324574,1187852.1286342263,16648,17828,32834,6011,4427,397195.9729665601,289508.5168799779,107687.45608658218,7682,24.0,89.0,0.1688271358448025,0.12947805303571516,3591.0,15352,-1.0,1.0,-12.828418230563003,-0.7257990668563141,5.913518052057095,12.828418230563003,10,0.4614368092263335,17.389987799133703,11,8,7
