season,direction,DUID,contribution_rows,total_abs_impact,mean_abs_impact,p95_abs_impact,total_tightening,total_relief,contraction_rows,reversal_rows,forced_rows,contraction_onsets,forced_onsets
Autumn,lower,ARWF1,15175,239758.35429469004,15.74390476185502,59.121155573376605,121543.56313252504,118214.791162165,1086,410,963,448,239
Autumn,lower,AVLSF1,1738,38900.361557986405,21.294144053899256,127.3894403780069,24078.05058981524,14822.310968171161,573,133,428,280,155
Autumn,lower,BALB1,1491,2298.1944331623376,0.8401002564148371,20.6603636363636,1068.0512593181818,1230.1431738441559,577,116,502,287,176
Autumn,lower,BALDHWF1,41,347.2013875,5.865075971283784,25.853601249999976,96.38177499999999,250.8196125,17,0,7,9,4
Autumn,lower,BANGOWF1,373,2768.1342753925587,5.544705922971036,59.144646057142836,1373.9533627765625,1394.1809126159967,79,13,0,22,0
Autumn,lower,BANGOWF2,373,2635.7467832283196,5.186576662681349,68.38893714285712,1590.6380345950668,1045.1087486332528,79,13,0,22,0
Autumn,lower,BANN1,1896,105379.66307456644,40.243996593589685,287.1543597727272,75377.12635773905,30002.536716827388,664,134,515,312,177
Autumn,lower,BDL01,41,0.0,0.0,0.0,0.0,0.0,17,0,7,9,4
Autumn,lower,BDL02,41,0.0,0.0,0.0,0.0,0.0,17,0,7,9,4
Autumn,lower,BHB1,52780,147031.62882055138,2.7877311380410994,21.45,71905.26060998054,75126.36821057086,2485,2765,1641,860,327
Autumn,lower,BLOWERNG,431,55.88571428571428,0.05791265729089563,0.0,27.94285714285714,27.94285714285714,81,17,0,24,0
Autumn,lower,BOCORWF1,12,4.874391775700932,0.34934576040781606,0.9155140186915887,3.4403730841121485,1.4340186915887838,0,0,0,0,0
Autumn,lower,BOMENSF1,436,3815.543586392143,10.146867740435317,62.31751481786942,924.9299961114086,2890.613590280734,81,17,0,24,0
Autumn,lower,BROKENH1,52780,186081.82722740198,3.522285584264074,24.021327272727273,106802.67438313065,79279.15284427133,2485,2765,1641,860,327
Autumn,lower,BRYB1WF1,177,11224.338040368168,42.21185260453939,273.80195125786156,7146.321040171628,4078.01700019654,85,0,74,31,21
Autumn,lower,BRYB2WF2,177,7820.042155849373,45.473335114611615,211.86996668749921,5036.00475698349,2784.037398865882,85,0,74,31,21
Autumn,lower,BULBES1,1640,18402.828607154952,31.112363844340923,205.0314465408805,7907.320459611614,10495.50814754334,602,122,502,300,176
Autumn,lower,BULGANA1,15326,149559.14472076143,9.766398589164373,38.203405635,75367.11177896714,74192.03294179428,1111,416,963,461,239
Autumn,lower,CAPBES1,24575,33025.873424051824,1.3460781636007197,10.03,16492.55094396856,16533.32248008326,704,1143,677,167,83
Autumn,lower,COHUNSF1,1839,8664.122318165118,8.210064057253158,59.96529196428572,4377.164151270398,4286.958166894721,663,132,516,310,178
Autumn,lower,COLEASF1,52362,143909.67442470754,2.746246552191053,18.805108950909098,77706.05004314032,66203.62438156724,2384,2761,1548,826,303
Autumn,lower,COLWF01,12,8.187065420560748,1.4866677994902295,2.45196261682243,0.5657570093457943,7.621308411214953,0,0,0,0,0
Autumn,lower,CROOKWF2,24575,14119.175487144486,0.575280120546501,1.9319254999999997,7049.6568715849535,7069.518615559533,704,1143,677,167,83
Autumn,lower,CROWLWF1,15175,101098.7232096024,6.676438346085505,30.198107657999987,50332.67496958736,50766.048240015036,1086,410,963,448,239
Autumn,lower,CRWARP1,141,4422.249895120212,58.875528644415375,199.55730877987423,1743.1080136175774,2679.1418815026345,68,0,67,22,17
Autumn,lower,CRWASF1,487,3669.462404804196,6.19756010206596,64.13197041888775,2609.2700176171406,1060.1923871870556,83,17,0,26,0
Autumn,lower,CUSF1,38,902.5880591905308,15.239019686304433,105.58697297938144,772.5887458915618,129.99931329896907,0,1,0,0,0
Autumn,lower,DARLSF1,52362,249442.4763801129,4.750792516199376,38.26539362642855,136715.06281148005,112727.41356863285,2384,2761,1548,826,303
Autumn,lower,DARTM1,70,407.13749999999993,2.4825457317073165,135.71249999999998,407.13749999999993,0.0,26,4,21,10,6
Autumn,lower,DPNTB1,52350,74657.68122662517,1.4209396363108295,9.5,39072.26360819509,35585.417618430074,2384,2761,1548,826,303
Autumn,lower,DUNDWF1,1489,16534.432759471023,16.769374041415066,201.81132075471697,8752.75188581087,7781.680873660153,577,116,502,287,176
Autumn,lower,DUNDWF2,1489,6340.065675173569,4.790497877670507,54.53398364779873,2942.2630889244874,3397.802586249081,577,116,502,287,176
Autumn,lower,DUNDWF3,1489,11813.373380063893,11.317392397052762,140.59401886792452,5610.45236584583,6202.921014218064,577,116,502,287,176
Autumn,lower,EILDON1,27,0.0,0.0,0.0,0.0,0.0,9,4,14,1,2
Autumn,lower,EILDON2,27,0.0,0.0,0.0,0.0,0.0,9,4,14,1,2
Autumn,lower,ELAINWF1,177,6312.727143095914,29.817096229487486,153.8790249999984,3753.2292980525613,2559.497845043352,85,0,74,31,21
Autumn,lower,FINLYSF1,51041,80068.20837628121,1.5808360416499054,14.505934749999998,41807.67309570803,38260.53528057319,1892,2645,1120,570,148
Autumn,lower,GANNB1,1839,20402.21313887106,13.243868372537731,90.88050314465409,7429.7165276442975,12972.496611226763,663,132,516,310,178
Autumn,lower,GANNSF1,1839,31539.55766648645,17.86546506599021,84.74763589285713,23053.460943565402,8486.096722921046,663,132,516,310,178
Autumn,lower,GESF1,38,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
Autumn,lower,GIRGSF,204,1252.9534747219418,11.001256119890432,122.31503201829612,577.4000613816231,675.5534133403189,94,4,88,32,23
Autumn,lower,GLENSF1,204,988.3666158191473,7.248095142492767,37.80359245283018,396.3745755202475,591.9920402988998,94,4,88,32,23
Autumn,lower,GLRWNSF1,1518,21346.76525910024,10.536711390452204,86.51577187727273,12780.672352523496,8566.092906576747,586,120,516,288,178
Autumn,lower,GOESF1,148,1008.5105269556349,9.107606124861489,55.77598490566038,555.5404830188679,452.97004393676696,71,2,68,22,18
Autumn,lower,GPWFEST1,175,20764.224273396227,100.90924202671587,573.5849056603773,9686.200818600628,11078.023454795597,85,0,74,31,21
Autumn,lower,GPWFEST2,175,23726.174256297956,110.72322357565736,597.4842767295597,11539.48829474135,12186.685961556603,85,0,74,31,21
Autumn,lower,GPWFEST3,175,7873.249969811321,30.53257477090987,184.0072327044025,3823.9888742138364,4049.261095597484,85,0,74,31,21
Autumn,lower,GPWFWST1,134,7297.42657735849,30.96209136192239,243.77358490566036,4341.030114465409,2956.3964628930817,68,0,67,22,17
Autumn,lower,GPWFWST2,134,0.0,0.0,0.0,0.0,0.0,68,0,67,22,17
Autumn,lower,GULLRSF1,24575,1702.71903959057,0.06940070090526303,0.3778949999999999,861.9017901205607,840.8172494700093,704,1143,677,167,83
Autumn,lower,GULLRWF1,24575,17254.191231860616,0.7029016724571949,2.2689653599999997,8525.313062704448,8728.878169156167,704,1143,677,167,83
Autumn,lower,GULLRWF2,5982,3864.187098428776,0.6514306602663759,2.197455612449996,1933.3660765217755,1930.821021907,150,131,220,37,32
Autumn,lower,GUNNING1,24936,8549.742069494878,0.3436239870380533,1.204301332999999,4289.980588875171,4259.761480619707,783,1156,677,189,83
Autumn,lower,GUTHEGA,387,686.0768066730204,1.0286556325072522,14.832214765100673,155.43908193416866,530.6377247388518,81,16,0,24,0
Autumn,lower,HBESS1,41,94.6875,1.2795608108108107,0.0,0.0,94.6875,17,0,7,9,4
Autumn,lower,HD1WF1,180,7046.567146369103,42.99692506533034,214.94339622641508,3877.9373386297166,3168.6298077393867,85,0,74,31,21
Autumn,lower,HILLSTN1,1745,47205.53535923324,15.402295339660986,231.9,33009.528014926436,14196.007344306801,573,133,428,280,155
Autumn,lower,HUMENSW,487,331.1164867704415,0.33684937776122076,0.8567714776632301,54.026020237183126,277.0904665332584,83,17,0,26,0
Autumn,lower,HUMEV,2035,0.0,0.0,0.0,0.0,0.0,672,137,521,312,179
Autumn,lower,JEMALNG1,151,845.2640278571428,5.597775018921475,23.4306275,279.9950300714285,565.2689977857142,25,6,0,13,0
Autumn,lower,JLA01,41,0.0,0.0,0.0,0.0,0.0,17,0,7,9,4
