event_id,steps,exact_step_share,equation_count,evidence_tier,limitation,observed_tightening_mw,generator_tightening_mw,rhs_tightening_mw,other_lhs_tightening_mw,switch_composite_mw,unresolved_mw,complete_terms_share,reconciliation_error_mw
VNI-lower-20240904T2110,11,1.0,2,C-partial,Other LHS terms are an aggregate residual; switch composite is not causal attribution.,1429.6635199999998,605.263325408805,376.6237735849073,1.7924526846718297e-05,447.7764130817609,-1.0000000159493538e-05,0.0,-2.2737367544323206e-13
VNI-lower-20241019T0945,12,0.3333333333333333,2,C-partial,Other LHS terms are an aggregate residual; switch composite is not causal attribution.,1084.07482,55.48662188,9.734699999999975,0.8260081200000666,0.0,1018.02749,0.3333333333333333,0.0
VNI-lower-20241028T1535,6,0.8333333333333334,3,C-partial,Other LHS terms are an aggregate residual; switch composite is not causal attribution.,1583.7912,595.08178518,20.80580000000009,-0.9069651800001282,29.44211999999993,939.3684599999999,0.6666666666666666,2.2737367544323206e-13
VNI-lower-20241106T1655,7,1.0,2,C-partial,Other LHS terms are an aggregate residual; switch composite is not causal attribution.,1961.2542,3.460392145584949,19.707457421383594,95.72484464686805,1842.3614300000002,7.578616327919008e-05,0.7142857142857143,0.0
VNI-lower-20241201T1420,6,1.0,2,C-partial,Other LHS terms are an aggregate residual; switch composite is not causal attribution.,1428.09798,132.90261794,56.06824000000006,-0.06300794000002963,1239.19014,-1.0000000088439265e-05,0.8333333333333334,0.0
VNI-lower-20241220T0910,7,0.0,1,C-partial,Other LHS terms are an aggregate residual; switch composite is not causal attribution.,422.73041,0.0,0.0,0.0,0.0,422.73041,0.0,0.0
VNI-lower-20250115T1955,10,1.0,4,C-partial,Other LHS terms are an aggregate residual; switch composite is not causal attribution.,1902.7362600000001,191.60100048352035,-57.903790907975136,60.546275029351634,1708.4926789717326,9.64233704507933e-05,0.4,2.2737367544323206e-13
VNI-lower-20250212T1935,30,0.9666666666666667,4,C-partial,Other LHS terms are an aggregate residual; switch composite is not causal attribution.,617.69088,109.27591243133335,360.1182333333333,87.77954423533319,-43.588669999999865,104.10585999999995,0.8666666666666667,1.1368683772161603e-13
VNI-lower-20250215T0750,6,1.0,2,C-partial,Other LHS terms are an aggregate residual; switch composite is not causal attribution.,1264.74478,1925.7118825446428,-1276.5261607142872,365.5860745982157,249.97295428571488,2.9285714248317163e-05,0.8333333333333334,-2.2737367544323206e-13
VNI-lower-20250301T1405,6,1.0,2,C-partial,Other LHS terms are an aggregate residual; switch composite is not causal attribution.,1760.1940499999998,-290.7458317585715,147.2456521428572,1753.4599089014291,150.23437071428543,-4.999999998744897e-05,0.8333333333333334,-2.2737367544323206e-13
