DUID,net_mw,tightening_mw,relief_mw,events
TUMUT3,31956.305198703398,35037.50431360843,3081.1991149050273,61
UPPTUMUT,7708.28385510354,9712.726544087729,2004.442688984189,61
LIMOSF11,3600.548111885894,9211.007591311298,5610.4594794254035,85
VBB1,2747.298761006289,6757.803377358491,4010.504616352201,11
SUNRSF1,2235.0791225490066,6427.701620586277,4192.622498037272,85
MUWAWF1,1176.4550219999905,5392.062160945739,4215.607138945748,39
KIAMSF1,1511.2998399379092,5314.681840716305,3803.3820007783956,38
DARLSF1,622.9535172872243,4599.4612441022255,3976.5077268150008,78
MERCER01,1409.6730181025027,4002.148586886792,2592.47556878429,14
AVLSF1,-490.2997520887992,3637.681088370882,4127.9808404596815,58
ARWF1,194.69794196574324,3591.7040381912257,3397.0060962254825,37
GPWFEST2,2125.8592525157233,3496.339505345912,1370.4802528301886,6
CUSF1,-679.8615629910707,3439.8881470945507,4119.749710085622,13
STWF1,683.9374864490176,3140.385437701242,2456.447951252225,85
MURRAY,1906.7743686784643,3077.9683516281098,1171.1939829496453,58
GPWFEST1,1896.8705583333333,3067.6718860062892,1170.8013276729557,6
NEWENSF1,682.5004515805035,2799.5905259828382,2117.0900744023347,14
NEWENSF2,732.4705863764964,2778.5692657028394,2046.0986793263435,14
KARSF1,-214.25934451838623,2764.8458683091567,2979.1052128275433,45
BANN1,559.65602795801,2688.204926381143,2128.5488984231333,38
COLEASF1,-152.8895548666309,2453.069340444654,2605.9588953112852,78
RYEPARK1,-206.2656643028611,2414.570585846132,2620.836250148993,40
RIVNB2,781.6122192987372,2389.295205297449,1607.682985998712,70
WEMENSF1,-218.53371088182033,2295.798098814488,2514.3318096963085,38
URANQ14,1834.5191729595285,2275.4767185183086,440.9575455587802,70
MOORAWF1,178.8684475625854,2229.4889935937185,2050.6205460311335,14
YATSF1,-189.75460930824275,2003.714228962001,2193.468838270244,45
URANQ13,1436.1280619282163,1846.3782975620406,410.25023563382433,70
BROKENH1,-144.52573738982056,1838.9561275867231,1983.4818649765439,85
KESSB1,1034.4727861635222,1830.2626076367928,795.7898214732704,24
WSTWYSF1,166.53447682296115,1802.2622333856843,1635.7277565627232,50
FINLYSF1,131.69586914724775,1763.8148942922198,1632.119025144972,70
YENDWF1,629.8645360802997,1760.2957751808553,1130.4312391005556,25
URANQ11,1431.4804278746667,1717.7711866558202,286.2907587811536,70
GPWFEST3,-213.4455220125786,1709.4670440251573,1922.9125660377356,6
CROWLWF1,648.1769667691325,1680.2242028882697,1032.0472361191376,37
WELNSF1,439.08731218943507,1668.5257005971148,1229.4383884076794,16
WLWLSF1,-446.9079827993678,1619.8859177389545,2066.7939005383223,52
BOMENSF1,-105.5968235688139,1547.4867828977128,1653.0836064665268,49
HILLSTN1,-153.9960223581638,1519.3215256993512,1673.3175480575155,58
LIMOSF21,608.5105690873769,1518.9740838883708,910.4635148009938,85
BRYB1WF1,-197.4516684018467,1485.0183046886789,1682.4699730905254,14
SEBSF1,120.7465721916295,1484.3219185433315,1363.5753463517021,50
WLWLSF2,-433.26434156307766,1471.6892645276703,1904.9536060907478,52
URANQ12,1131.7582267335595,1405.8451303850168,274.08690365145753,70
RESS1,451.36959948172534,1405.7757750809124,954.4061755991869,71
CRWARP1,2.705672452830271,1287.3796598742135,1284.6739874213838,4
WOLARSF1,438.1096483296413,1278.5944688841105,840.4848205544694,11
RYANCWF1,46.023848115566025,1253.4075444068399,1207.3836962912737,17
ELAINWF1,502.4001743715855,1241.2557644671206,738.8555900955348,14
HD1WF1,348.88508177358483,1147.8775456603773,798.9924638867925,17
MRTLSWF1,425.2911502994969,1142.4065391450317,717.1153888455344,14
LIMBESS1,502.5863107185869,1108.2135688478522,605.6272581292653,17
COLWF01,-127.28049330680092,1106.7847848728234,1234.0652781796246,40
BULBES1,-51.957326828413485,1088.748214623845,1140.7055414522583,33
WYASF1,-29.33771139733473,1061.6049155292385,1090.9426269265732,50
BHB1,82.05033390237499,1056.4645363151753,974.4142024128003,85
GOESF1,75.94073962264149,1023.0937509433962,947.1530113207547,4
CAPBES1,381.2571211113468,986.6528062840842,605.3956851727376,46
DPNTB1,211.25904072263444,978.2543408091149,766.9953000864805,70
MUWAWF2,-1498.967172942214,924.1479131018506,2423.1150860440644,39
MACARTH1,-147.87690819652036,905.22486070816,1053.1017689046803,22
BANGOWF1,253.76368086440476,839.6303283429849,585.86664747858,49
GESF1,24.045035155015185,791.1401985592704,767.0951634042553,13
GPWFWST1,-81.66618238993715,785.2521232704403,866.9183056603774,4
BRYB2WF2,-146.76813443396244,762.4746990628929,909.2428334968555,14
WAGGNSF1,19.805718243912644,758.6503066139654,738.8445883700529,49
BULGANA1,-456.3874611088928,723.6966257093693,1180.0840868182622,37
GANNB1,-192.51511731835603,708.2143223231132,900.7294396414693,37
GANNSF1,-70.0411868555009,698.1877306379572,768.2289174934581,37
METZSF1,401.07513208000836,696.2133892274536,295.1382571474452,14
GNNDHSF1,164.10681276050042,664.7813909870903,500.6745782265898,14
KIATAWF1,-140.97733833747205,658.3823569234669,799.3596952609389,34
GIRGSF,47.10737797899372,657.1102919748428,610.0029139958491,20
WELLSF1,326.0811434950142,621.1226480928071,295.04150459779305,16
SNOWYP,597.9217419327522,612.177741932752,14.256,62
CRWASF1,110.24836069190279,612.1508212086504,501.9024605167476,51
SALTCRK1,385.7455113492573,607.0658586176099,221.3203472683528,14
JUNEESF1,36.33014362164599,553.9627265185431,517.6325828968972,50
GPWFWST2,223.61095220125785,548.5345886792452,324.9236364779874,4
GULLRWF1,-194.58610820345874,510.4168830631125,705.0029912665713,51
GULLRWF2,-8.093689327678769,509.5201224666532,517.613811794332,45
BANGOWF2,-5.861851607620056,479.7297834287711,485.5916350363912,49
BOCORWF1,-19.15206843306893,467.5715644937029,486.7236329267718,40
JEMALNG1,-40.36991867283149,458.84510503944614,499.2150237122776,43
BALB1,-41.14246259327942,446.60430543216535,487.7467680254447,25
SUNTPSF1,17.225374680642258,438.27733101774555,421.0519563371033,39
CROOKWF2,-75.35308126393346,402.72635082086856,478.07943208480197,51
CRURWF1,342.2754499570415,399.4838770873431,57.20842713030166,16
MOREESF1,-80.56807454621149,392.6600634095634,473.22813795577486,14
STOCKYD1,-960.5764032924528,388.2753581257015,1348.8517614181542,17
KERNGSP1,158.5213392274856,380.67546135956104,222.15412213207549,31
MCKAY1,310.94,322.70000000000005,11.76,27
MP1,226.14857119946217,300.76283933453794,74.61426813507576,14
STUBSF1,9.658466682329674,298.5284135428572,288.86994686052753,10
SAPHWF1,237.4170181163233,293.6085756192337,56.191557502910364,14
NUMURSF1,70.10779977579027,281.3912460283427,211.28344625255247,25
CROOKWF3,-189.7555546205124,274.26664363418,464.0221982546925,40
RANGEB1,85.7,270.65272825,184.95272825,5
GUNNING1,32.641961484064694,270.4265983113958,237.78463682733116,60
TARALGA1,-235.8352523590123,256.62532930743265,492.4605816664449,25
MREHA2,193.9937106918239,256.3836477987421,62.38993710691824,5
GLRWNSF1,-183.3467629580168,229.30394901168012,412.650711969697,25
FLYCRKWF,54.47776588418462,228.7081715741292,174.2304056899446,16
MP2,147.4779534287752,226.60184659598636,79.12389316721116,14
GUTHEGA,156.18966443948028,221.3569888425767,65.16732440309639,45
GLENSF1,-232.88533290383646,208.0272197908805,440.91255269471696,20
GOONSF1,-102.95035767402791,205.55363345973836,308.50399113376625,41
BW02,-113.96892016431683,199.35361951387,313.32253967818684,14
DUNDWF3,77.72482790788621,198.84827366301147,121.12344575512529,17
MREHA3,-1.4210854715202004e-14,195.68020817610062,195.68020817610062,4
OAKLAND1,-34.74201770122444,194.94531969339621,229.68733739462067,14
STUBSF2,7.144341430049334,176.06291631375117,168.91857488370184,10
MREHA1,114.05660377358491,172.54716981132077,58.490566037735846,5
WOODLWN1,6.043366212369413,167.12453200719193,161.08116579482248,32
DUNDWF1,39.265540509066405,160.296063877726,121.03052336865959,17
MOKOSF1,10.800591378011928,149.18799044625501,138.3873990682431,23
BW03,-163.15981244464393,145.90510628091005,309.0649187255539,14
NEVERSF1,-32.64787467356443,144.07014927052165,176.71802394408613,16
WUNUSF1,-14.717443779874216,139.37534245283018,154.09278623270444,18
BODWF1,73.03752377915586,128.9517062722422,55.91418249308635,16
WINTSF1,-99.99002556536864,122.46649581827913,222.45652138364778,20
BW01,-264.38850250650205,113.33456150834914,377.7230640148512,14
MANSLR1,18.754036852716744,108.21742154951615,89.46338469679942,39
MOLNGSF1,5.4238745112194895,105.69691779217692,100.27304328095742,39
DARTM1,101.53,101.53,-0.0,13
ER02,7.454574636174701,98.06111611226603,90.60654147609134,7
NYNGAN1,-73.34778054098605,94.8427920262859,168.190572567272,16
PARSF1,-68.80632029653306,94.27924704022524,163.0855673367583,41
ER01,2.59024998590981,87.73358314599287,85.14333316008306,7
HEZ1,0.0,83.36798336798338,83.36798336798338,7
TALWA1,36.60889787664307,82.10889787664308,45.5,11
QBYNB1,21.334578346506987,80.22047258687562,58.88589424036863,47
MTGELWF1,-270.52845275663526,78.08094878647807,348.60940154311334,14
ER03,73.30614334782392,76.90349823284808,3.5973548850241617,8
HBESS1,-36.16,73.95,110.11000000000001,7
DUNDWF2,12.160718636363624,69.99165907385851,57.83094043749489,17
BALDHWF1,22.850753999999988,69.130862,46.28010799999999,7
GULLRSF1,-20.50109388453494,58.368040757828034,78.86913464236298,51
BW04,-201.5485185838445,52.738971158775094,254.2874897426196,14
VP5,-212.47203267383273,48.73324799144804,261.2052806652808,7
RESS1G,-32.62241369191879,47.80448065173116,80.42689434364995,2
LYA1,47.093623500000014,47.09362350000002,-0.0,2
LYA3,44.568623500000015,44.568623500000015,-0.0,2
LYA4,42.925,42.925000000000004,-0.0,2
LYA2,36.2941164375,41.662499999999994,5.3683835624999965,2
WRWF1,-773.0380845457796,20.75423528214408,793.7923198279236,14
BERYLSF1,-21.700916268124985,20.341277226257404,42.04219349438238,16
TALWB1,20.3059935,20.3059935,-0.0,11
COHUNSF1,-33.79053237196765,19.831197237196765,53.62172960916442,37
LOYYB2,-32.825,19.253125,52.078125,2
LOYYB1,-32.825,19.253125,52.078125,2
HUMENSW,-4.4234361256860595,13.827055290727316,18.250491416413375,51
CHYTWF1,-0.868789999999999,12.83621,13.704999999999998,5
WKIEWA2,-18.21792452830189,10.649999999999999,28.867924528301888,12
BLOWERNG,10.342857142857142,10.342857142857142,-0.0,49
LANCSF1,-10.607361006289308,10.13593245283019,20.7432934591195,5
WKIEWA1,8.96,8.96,-0.0,13
WRSF1,0.5806228571428571,8.115697142857144,7.535074285714285,14
PIBESS1,2.7242500000000005,7.85225,5.128,7
ER04,-81.7703532673992,6.783037152479561,88.55339041987875,8
CG3,4.674518201284796,4.674518201284796,-0.0,7
WTAHB1,3.2489556531049244,3.2489556531049244,-0.0,7
EILDON2,0.0,0.0,-0.0,3
CG1,0.0,0.0,-0.0,7
CG2,0.0,0.0,-0.0,7
EILDON1,0.0,0.0,-0.0,3
BULBESG1,0.0,0.0,-0.0,2
BULBESL1,0.0,0.0,-0.0,2
CAPBES1L,0.0,0.0,-0.0,2
CG4,0.0,0.0,-0.0,7
AGLSOM,0.0,0.0,-0.0,1
BDL02,0.0,0.0,-0.0,2
BDL01,0.0,0.0,-0.0,2
CAPBES1G,0.0,0.0,-0.0,2
JLA01,0.0,0.0,-0.0,2
JLA03,0.0,0.0,-0.0,2
JLA02,0.0,0.0,-0.0,2
ORABESS1,0.0,0.0,-0.0,4
NPS,0.0,0.0,-0.0,7
MULWASF1,0.0,0.0,-0.0,2
MRNBESS1,0.0,0.0,-0.0,1
MORTLK12,0.0,0.0,-0.0,17
MLB01,-720.7547169811321,0.0,720.7547169811321,4
MORTLK11,0.0,0.0,-0.0,17
JLA04,0.0,0.0,-0.0,2
JLB02,0.0,0.0,-0.0,2
JLB01,0.0,0.0,-0.0,2
JLB03,0.0,0.0,-0.0,2
HUMEV,0.0,0.0,-0.0,28
LNGS2,0.0,0.0,-0.0,7
LNGS1,0.0,0.0,-0.0,7
LDBESS1,0.0,0.0,-0.0,5
LVES1,0.0,0.0,-0.0,2
TRGBESS1,0.0,0.0,-0.0,5
PLBESS1,0.0,0.0,-0.0,1
SHGEN,-1.045518523761375,0.0,1.045518523761375,13
SHPUMP,-38.249446400000004,0.0,38.249446400000004,13
RESS1L,0.0,0.0,-0.0,2
VPGS2,0.0,0.0,-0.0,2
VPGS4,0.0,0.0,-0.0,2
VPGS5,0.0,0.0,-0.0,2
VPGS6,0.0,0.0,-0.0,2
VPGS3,0.0,0.0,-0.0,2
VP6,-263.89862494802503,0.0,263.8986249480251,7
VPGS1,0.0,0.0,-0.0,2
YWPS1,0.0,0.0,-0.0,2
YWPS2,0.0,0.0,-0.0,5
YWPS3,-7.199999999999999,0.0,7.199999999999999,5
YWPS4,0.0,0.0,-0.0,5
