season_year,season,direction,events,median_drop_mw,near_mpc_events,mpc_events,valid_hours,events_per_1000h,season_label
2024,Spring,lower,368,531.119775,0,0,2184.0,168.4981684981685,2024 Spring
2024,Spring,upper,444,533.6746499999999,7,3,2184.0,203.2967032967033,2024 Spring
2025,Autumn,lower,459,352.31484,0,0,2208.0,207.8804347826087,2025 Autumn
2025,Autumn,upper,471,310.4122699999999,4,0,2208.0,213.31521739130434,2025 Autumn
2025,Spring,lower,502,385.207925,0,0,2184.0,229.85347985347985,2025 Spring
2025,Spring,upper,514,422.661895,2,2,2184.0,235.34798534798534,2025 Spring
2025,Summer,lower,307,462.24474,0,0,2160.0,142.12962962962962,2025 Summer
2025,Summer,upper,425,511.31524,8,6,2160.0,196.75925925925927,2025 Summer
2025,Winter,lower,479,275.47274,0,0,2208.0,216.93840579710144,2025 Winter
2025,Winter,upper,515,323.64136999999994,1,0,2208.0,233.2427536231884,2025 Winter
2026,Autumn,lower,417,176.15998000000002,0,0,2208.0,188.8586956521739,2026 Autumn
2026,Autumn,upper,529,278.05186999999995,0,0,2208.0,239.58333333333334,2026 Autumn
2026,Summer,lower,451,323.29665,0,0,2160.0,208.7962962962963,2026 Summer
2026,Summer,upper,567,330.56458,2,2,2160.0,262.5,2026 Summer
2026,Winter,lower,473,244.77462999999997,0,0,2208.0,214.22101449275362,2026 Winter
2026,Winter,upper,565,300.47195,0,0,2208.0,255.88768115942028,2026 Winter
