month,direction,threshold_mw,positive_falls
2024-08,upper,,17
2024-09,upper,252.56590000000008,4371
2024-10,upper,478.9617,4561
2024-11,upper,462.60505000000006,4363
2024-12,upper,451.5678580000002,4477
2025-01,upper,382.564795,4430
2025-02,upper,357.97382800000014,4099
2025-03,upper,257.534109,4510
2025-04,upper,240.334288,4494
2025-05,upper,263.41763600000013,4534
2025-06,upper,260.927476,4285
2025-07,upper,258.470768,4479
2025-08,upper,247.943187,4460
2025-09,upper,246.28170100000008,4312
2025-10,upper,298.0030520000001,4422
2025-11,upper,387.3707000000002,4397
2025-12,upper,295.81359800000007,4512
2026-01,upper,235.120491,4428
2026-02,upper,252.049252,4024
2026-03,upper,230.2787500000001,4635
2026-04,upper,240.903955,4294
2026-05,upper,219.548778,4550
2026-06,upper,221.566206,4380
2026-07,upper,260.90669,4433
2026-08,upper,263.9048810000001,4590
2026-09,upper,,0
2024-08,lower,,11
2024-09,lower,196.502884,4347
2024-10,lower,470.497658,4320
2024-11,lower,435.174965,4116
2024-12,lower,386.8799120000003,4284
2025-01,lower,288.508426,4200
2025-02,lower,328.134649,3860
2025-03,lower,253.11524999999992,4385
2025-04,lower,240.76896000000008,4257
2025-05,lower,229.87810000000005,4364
2025-06,lower,230.278186,4395
2025-07,lower,218.81442,4507
2025-08,lower,180.049864,4437
2025-09,lower,186.49978,4151
2025-10,lower,288.438016,4499
2025-11,lower,267.58218199999993,4325
2025-12,lower,341.87941300000097,4404
2026-01,lower,179.14832800000016,4384
2026-02,lower,169.07825000000005,3971
2026-03,lower,160.37154200000003,4197
2026-04,lower,137.13800700000002,4192
2026-05,lower,145.23368300000004,4438
2026-06,lower,188.79527999999996,4231
2026-07,lower,216.1098020000001,4422
2026-08,lower,163.24558100000002,4494
2026-09,lower,,1
