time,region,rrp,contraction_events,linked_events
2025-06-12 19:25:00,VIC1,17499.91,,0
2025-06-12 19:55:00,VIC1,17500.0,,0
2025-06-26 20:45:00,VIC1,15909.60546,VNI-upper-20250626T2005,1
2024-09-08 18:05:00,NSW1,16611.90331,VNI-lower-20240908T1735;VNI-lower-20240908T1750;VNI-lower-20240908T1840;VNI-upper-20240908T1800,4
2024-09-29 18:20:00,NSW1,17307.22843,VNI-lower-20240929T1825;VNI-upper-20240929T1720,2
2024-11-07 17:45:00,NSW1,16095.0,,0
2024-11-07 17:55:00,NSW1,16100.0,,0
2024-11-07 18:35:00,NSW1,16095.0,,0
2024-11-11 18:00:00,NSW1,17499.96,VNI-lower-20241111T1815;VNI-upper-20241111T1735,2
2024-11-11 18:10:00,NSW1,17499.96,VNI-lower-20241111T1815;VNI-upper-20241111T1735,2
2024-11-22 18:20:00,NSW1,17500.0,VNI-lower-20241122T1840;VNI-upper-20241122T1800;VNI-upper-20241122T1915,3
2024-11-26 17:35:00,NSW1,17500.0,,0
2024-11-27 14:30:00,NSW1,17499.89,VNI-lower-20241127T1335;VNI-lower-20241127T1455;VNI-lower-20241127T1510;VNI-upper-20241127T1450;VNI-upper-20241127T1500,5
2024-11-29 06:55:00,NSW1,17499.88972,VNI-lower-20241129T0710;VNI-upper-20241129T0615,2
2024-11-29 07:05:00,NSW1,17499.89,VNI-lower-20241129T0710;VNI-upper-20241129T0615,2
2024-12-02 18:20:00,NSW1,15799.25801,,0
2024-12-03 11:45:00,NSW1,17499.89,VNI-lower-20241203T1205;VNI-upper-20241203T1135,2
2024-12-06 14:30:00,NSW1,17480.00037,VNI-lower-20241206T1455;VNI-upper-20241206T1425,2
2024-12-06 14:45:00,NSW1,15766.42534,VNI-lower-20241206T1455;VNI-upper-20241206T1425,2
2025-01-15 14:00:00,NSW1,17500.0,VNI-lower-20250115T1315;VNI-lower-20250115T1430;VNI-upper-20250115T1345;VNI-upper-20250115T1400;VNI-upper-20250115T1420,5
2025-02-05 17:25:00,NSW1,17500.0,VNI-lower-20250205T1800;VNI-upper-20250205T1630;VNI-upper-20250205T1645;VNI-upper-20250205T1655;VNI-upper-20250205T1735,5
2025-02-08 14:40:00,NSW1,17500.0,VNI-lower-20250208T1450;VNI-upper-20250208T1435,2
2025-03-15 17:35:00,NSW1,17480.00045,VNI-lower-20250315T1650,1
2025-03-15 18:05:00,NSW1,17480.00045,,0
2025-03-15 18:20:00,NSW1,17480.00045,,0
2025-03-15 19:05:00,NSW1,17480.00045,,0
2025-04-09 17:25:00,NSW1,17498.96,VNI-lower-20250409T1725;VNI-upper-20250409T1635;VNI-upper-20250409T1650,3
2025-05-13 16:45:00,NSW1,17479.97025,VNI-lower-20250513T1655;VNI-upper-20250513T1615,2
2025-05-13 17:30:00,NSW1,17479.99,VNI-lower-20250513T1655,1
2025-05-28 16:50:00,NSW1,17460.00005,VNI-lower-20250528T1550;VNI-lower-20250528T1700;VNI-upper-20250528T1630,3
2025-06-12 19:25:00,NSW1,16441.38611,,0
2025-06-12 19:55:00,NSW1,17026.17931,,0
2025-06-26 20:45:00,NSW1,16069.27874,VNI-upper-20250626T2005,1
2025-10-10 17:55:00,NSW1,20300.0,VNI-lower-20251010T1810;VNI-upper-20251010T1735,2
2025-11-25 12:20:00,NSW1,20300.0,VNI-lower-20251125T1220,1
2025-11-26 11:00:00,NSW1,20300.0,VNI-lower-20251126T1105;VNI-upper-20251126T1040,2
2026-02-05 14:30:00,NSW1,20300.0,VNI-lower-20260205T1440;VNI-upper-20260205T1340;VNI-upper-20260205T1415,3
2026-02-06 14:05:00,NSW1,19036.53,VNI-lower-20260206T1330,1
