CONSTRAINTID,version_key,direction,EFFECTIVEDATE,VERSIONNO,ic_factor,LIMITTYPE,DESCRIPTION,applicable_intervals,binding_intervals,near_binding_intervals,near_setting_intervals,leading_intervals,mean_abs_marginal_value,min_ic_slack_mw,median_ic_slack_mw,constraint_sets,invoked_sets
V_S_HEYWOOD_UFLS,V_S_HEYWOOD_UFLS|2024-10-08 00:00:00|1,upper,2024-10-08,1,1.0,Other,"Out= Nil, Limit Heywood flows when SA under frequency load shedding (UFLS) is insufficient (i.e. when UFLS blocks in SA <1000 MW) to manage for double-circuit loss of Heywood IC. Note: Constraint is swamped if UFLS blocks >= 1000 MW.",199389,5062,6902,33525,28235,2.5766698969671857,0.0,9636.0238,S-NIL,
V_S_NIL_ROCOF,V_S_NIL_ROCOF|2024-09-03 00:00:00|1,upper,2024-09-03,1,1.0,ROC Frequency,"Out = NIL, limit VIC to SA Heywood interconnection flow to prevent Rate of Change of Frequency exceeding 2 Hz/sec in SA immediately following loss of Heywood interconnector. Heywood limit increased by 24 MW when Dalrymple BESS is charging.",209510,2590,4926,37627,27046,1.3267225685022161,0.0,628.75188,S-NIL,
I_6F_SN_150,I_6F_SN_150|2026-02-27 00:00:00|1,lower,2026-02-27,1,-1.0,Discretionary,Discretionary limit of 150 MW on Bundey to Buronga (6F) 330 kV Line (SA to NSW),53363,1541,2396,26830,25299,138.19058796332567,-1.0000000088439265e-05,542.19067,"I-6F_SN_150, N-NIL",
I_6F_SN_150,I_6F_SN_150|2025-05-22 00:00:00|1,lower,2025-05-22,1,-1.0,Discretionary,Discretionary limit of 150 MW on Bundey to Buronga (6F) 330 kV Line (SA to NSW),67661,1238,1835,24983,22813,3.3235455884549383,-1.0000000088439265e-05,612.73046,"I-6F_SN_150, N-NIL",
I_6F_SN_150,I_6F_SN_150|2025-02-14 00:00:00|1,lower,2025-02-14,1,-1.0,Discretionary,Discretionary limit of 150 MW on Bundey to Buronga (6F) 330 kV Line (SA to NSW),27936,248,418,17312,16609,0.4290648426045088,-1.0000000088439265e-05,630.288795,"I-6F_SN_150, N-NIL",
I_6F_NS_150,I_6F_NS_150|2025-05-30 00:00:00|2,upper,2025-05-30,2,0.979,Other,Discretionary limit of 150 MW on Buronga to Bundey (6F) 330 kV Line (NSW to SA),70291,1318,1816,16298,13525,1.2304212443385134,-2.042900925760132e-05,605.5905822267621,"I-6F_NS_150, N-NIL",
S_V_HEYWOOD_OFGS,S_V_HEYWOOD_OFGS|2025-12-15 00:00:00|1,lower,2025-12-15,1,-1.0,Other,"Out= Nil, Limit SA to VIC total flow when SA Over Frequency Generator Shedding (OFGS) may be insufficient to contain SA frequency for double-circuit loss of Heywood IC and subsequent inter-trip of PEC-1.",74699,693,1157,15038,11231,10.07874552242729,-0.007060000000024047,704.0683,S-NIL,
SV_550_TEST,SV_550_TEST|2025-05-22 00:00:00|1,lower,2025-05-22,1,-1.0,Other,"Out = Nil, SA to Vic on Heywood limit of 550 MW, limit for testing of Heywood interconnection upgrade",55823,1340,2736,12009,8323,0.5748422650240995,-1.0000000088439265e-05,670.0412249999999,S-NIL,
I_6F_NS_150,I_6F_NS_150|2025-02-14 00:00:00|1,upper,2025-02-14,1,1.0,Discretionary,Discretionary limit of 150 MW on Buronga to Bundey (6F) 330 kV Line (NSW to SA),30191,440,703,8666,7092,0.6726103912708766,-1.9999999949504854e-05,594.25061,"I-6F_NS_150, N-NIL",
F_S++TBTU_R5,F_S++TBTU_R5|2024-12-03 00:00:00|1,lower,2024-12-03,1,-1.0,FCAS,"Out = Tailem Bend to Tungkillo 275 kV line, SA Islanded for loss of parallel line, SA Raise 5 min Requirement for risk of islanding",9408,3125,2704,8844,6898,0.4239210684325694,-637.51562,-59.26825,"S-TBTU, S-TBTU_BC-2CP, S-X_BDBU+TBTU_BC-2CP, S-X_TBTU+BDBU","S-TBTU, S-TBTU_BC-2CP, S-X_TBTU+BDBU"
