direction,constraint,episodes,median_drop_mw,p90_drop_mw,max_drop_mw
lower,V^^V_NIL_KGTS,1647,301.89932999999996,465.731854,1107.12734
lower,I_6F_SN_150,831,198.83364999999998,302.06883999999997,596.5428400000001
lower,V^^V_NIL_SWVIC,215,190.08722999999998,307.76672,667.0344
lower,V>>NIL_MLGT_MLGT,137,260.23877999999996,507.1868340000001,825.9789
lower,V>>NIL_ELML_BAML2,117,281.55821000000003,518.6207660000001,910.7749699999999
lower,F_S++TBTU_R5,113,169.04271,241.400148,546.81984
lower,V^^V_NIL_KGTS_2,106,337.38957500000004,468.41053,579.12993
lower,V>>NIL_WBBA_RCWEKG,95,292.22019,467.853488,586.19939
lower,V>>NIL_WBBA_KGBE,83,275.99997,422.262968,634.70542
lower,F_S++SETB_R5,56,152.270375,210.19178499999998,305.54749000000004
lower,F_S++HYSE_R5,36,156.40220499999998,299.086055,326.53718000000003
lower,V>>NIL_SMTX_SMTX_R5,32,230.83406999999994,385.707203,441.25406
lower,V>>NIL_MLGT_MLGT_R5,26,297.88928999999996,486.51694,759.99996
lower,V>>SMF2_SMF1_NIL_R5,25,193.67422000000002,285.66980800000005,389.56175
lower,V^^V_BDBU_SWVIC,24,156.27534500000002,184.025072,268.66404
lower,V>>NIL_SMTX_SMTX_R2,21,220.17282,392.79832999999996,456.20519
lower,S_V_NIL_ROCOF,19,172.87306999999998,279.20707799999997,409.75423
lower,V>>NIL_MLGT_MLGT_R2,18,212.01092,347.27399,497.36490000000003
lower,V>>NIL_WEKG_HOMRKM,18,346.71101,546.586216,632.25721
lower,V>>MLSY_GTKT_MLSY,15,323.10802,447.804884,500.95428
lower,V>>NIL_WBBA_BESH,12,289.061035,534.089862,800.25589
lower,F_QNV+CRML_L5,11,282.68463,471.32718,481.57921
lower,F_QNV+CRML_L6,9,235.41202,270.605972,302.87858
lower,F_S++TBTU_R6,9,153.25543,177.731712,184.48888
lower,F_S++TBTU_R60,9,160.86156999999997,214.32653400000004,273.46791
lower,,9,173.95937,205.849838,301.91215
lower,SV_550_TEST,8,196.871025,233.000938,251.07484
lower,V>>BDBU_SMTX_SMTX_R5,7,151.09968,219.16578400000003,229.75477
lower,V>>BAML1_ELML_BAML2,6,246.77755499999998,325.77797999999996,338.65641999999997
lower,V>>MLSY_GTDPT_MLSY,6,260.739765,331.96387,338.23960999999997
lower,F_S++SETB_R6,5,165.01936,263.97760400000004,324.85422
lower,S>>V_CGTI_TIPA_PGPA,5,209.82521000000003,232.37907800000002,238.58227000000002
lower,CA_BRIS_5964121F_2,4,244.31030000000004,363.622983,396.13667999999996
lower,CA_SYDS_597A8B26_2,4,322.31374500000004,697.2213960000001,840.44469
lower,S:V_PA_SVC_470,4,143.549665,161.691426,168.70977
lower,V>>SMF2_SMF1_NIL_R2,4,231.94574,400.76096600000005,468.11807
lower,F_QNV++CRML_L6,3,131.69415999999998,174.586592,185.3097
lower,F_QNV+HYMO_L5,3,251.37741,389.468098,423.99077
lower,I_6F_SN_050,3,330.57719,335.785174,337.08717
lower,S:VS_BLKRG_700,3,172.20433000000003,200.45002599999998,207.51144999999997
lower,S>>NIL_TUTB_TUTB_1,3,195.50067000000007,208.61291,211.89096999999998
lower,S>V_NIL_SEHY,3,159.87944000000005,196.50224,205.65794
lower,#R030900_002_RAMP_V,2,153.85641,158.771282,160.0
lower,#R031840_002_RAMP_F,2,260.22394,269.52218,271.84674
lower,#R033543_005_RAMP_F,2,164.33785,173.44117,175.71699999999998
lower,#R035568_004_RAMP_F,2,203.99488,231.63848000000002,238.54938
lower,#R035726_022_RAMP_F,2,193.16246999999998,224.27166999999997,232.04896999999997
lower,F_QNV+HGMO_L5,2,212.684185,246.618101,255.10157999999998
lower,S:V_BDBU_650,2,150.66592,152.92636800000002,153.49148000000002
lower,S>>BDBU_TUTB_TUTB_1,2,322.27071,385.03070199999996,400.72069999999997
lower,V>>NIL_BEBA_ARWBBA,2,353.562,424.71335200000004,442.50119
lower,V>>NIL_RCWE_HOMRKM,2,299.796295,332.17548300000004,340.27028
lower,#R030733_001_RAMP_F,1,175.2772,175.2772,175.2772
lower,#R030809_002_RAMP_V,1,402.09875,402.09875,402.09875
lower,#R030877_002_RAMP_V,1,192.6182,192.6182,192.6182
