month,season,direction,threshold_mw,contraction_intervals,contraction_episodes
2024-09,Spring,upper,131.39364700000007,316,101
2024-09,Spring,lower,145.761205,243,82
2024-10,Spring,upper,122.97242999999999,383,147
2024-10,Spring,lower,229.51866599999997,299,118
2024-11,Spring,upper,155.6241,330,142
2024-11,Spring,lower,241.8782780000003,270,121
2024-12,Summer,upper,213.80179800000028,332,129
2024-12,Summer,lower,256.22276200000005,308,131
2025-01,Summer,upper,200.1500219999999,329,129
2025-01,Summer,lower,248.30226800000005,331,145
2025-02,Summer,upper,222.31537499999996,335,119
2025-02,Summer,lower,325.25487,366,135
2025-03,Autumn,upper,202.58805200000012,322,117
2025-03,Autumn,lower,258.15212,371,146
2025-04,Autumn,upper,123.84775199999999,379,132
2025-04,Autumn,lower,165.22558700000002,409,140
2025-05,Autumn,upper,159.18325000000004,442,192
2025-05,Autumn,lower,168.17972000000006,446,145
2025-06,Winter,upper,281.8568380000002,435,348
2025-06,Winter,lower,129.47128899999996,434,171
2025-07,Winter,upper,127.49046700000002,437,208
2025-07,Winter,lower,125.86712600000011,434,172
2025-08,Winter,upper,169.55417200000008,451,167
2025-08,Winter,lower,149.4459340000001,457,173
2025-09,Spring,upper,196.36709400000007,420,182
2025-09,Spring,lower,169.00970999999993,445,193
2025-10,Spring,upper,184.53307900000004,417,152
2025-10,Spring,lower,211.38589500000003,442,214
2025-11,Spring,upper,265.29214,392,179
2025-11,Spring,lower,211.837666,424,203
2025-12,Summer,upper,196.434848,436,157
2025-12,Summer,lower,256.44960199999997,438,180
2026-01,Summer,upper,161.983094,442,156
2026-01,Summer,lower,202.844419,439,166
2026-02,Summer,upper,213.86388999999997,405,134
2026-02,Summer,lower,251.86107900000002,397,142
2026-03,Autumn,upper,167.08526499999996,409,125
2026-03,Autumn,lower,224.27632400000002,445,181
2026-04,Autumn,upper,127.51320800000005,397,144
2026-04,Autumn,lower,156.885819,440,208
2026-05,Autumn,upper,156.747496,377,166
2026-05,Autumn,lower,123.27070199999999,437,185
2026-06,Winter,upper,187.56767799999997,404,162
2026-06,Winter,lower,126.71018000000007,441,186
2026-07,Winter,upper,135.255242,447,194
2026-07,Winter,lower,185.05662999999998,444,158
2026-08,Winter,upper,159.999264,442,177
2026-08,Winter,lower,160.33113600000007,421,172
