half_hour,intervals,flow_mean_mw,flow_median_mw,flow_p05_mw,flow_p95_mw,export_limit_median_mw,export_limit_p05_mw,import_limit_median_mw,import_limit_p05_mw,northward_flow_share,southward_flow_share,flow_reversals,forced_export_intervals,forced_import_intervals,time_of_day
0,4380,169.86022821917808,182.171435,-342.619458,584.9821645000002,498.56,-102.1604555,346.550135,-141.8573315,0.695662100456621,0.3034246575342466,166,381,577,00:00
1,4380,197.7423211392694,222.11220500000002,-308.4996535,599.972849,498.56,-75.55038350000001,345.54469500000005,-150.597401,0.7267123287671233,0.2726027397260274,133,317,607,00:30
2,4380,201.23000583105022,229.20712500000002,-321.91254399999997,600.0,498.56,-61.27672999999995,348.410265,-166.70539399999998,0.7296803652968037,0.2691780821917808,102,310,602,01:00
3,4380,198.19811359817353,221.0,-330.283376,599.625805,495.71685,-48.6734695,354.01676499999996,-170.095469,0.7273972602739726,0.2726027397260274,133,298,630,01:30
4,4380,196.60536247488585,230.464905,-356.539516,600.0,492.96957499999996,-62.319355999999964,362.918655,-181.23660299999997,0.7248858447488584,0.27465753424657535,105,313,634,02:00
5,4380,191.89317425799086,231.46510999999998,-343.920145,600.0,492.86924999999997,-80.18263899999998,360.15934000000004,-179.592942,0.7148401826484019,0.28470319634703195,111,339,611,02:30
6,4380,188.45969288127853,225.73292,-357.02582,600.0,495.57309499999997,-81.038145,365.33632,-178.5974365,0.7121004566210045,0.2867579908675799,112,332,594,03:00
7,4380,184.58114138356163,216.93131499999998,-359.201635,600.0,498.56,-91.82167549999988,367.469285,-157.0997635,0.7100456621004566,0.28858447488584477,120,359,581,03:30
8,4380,174.934991586758,198.53963499999998,-386.590117,600.0,498.56,-95.3843375,375.68552999999997,-141.4078285,0.6995433789954338,0.3,147,352,552,04:00
9,4380,163.03764994520552,177.46420999999998,-411.106318,595.2197205000001,493.89461,-102.21950899999999,373.45804999999996,-133.94658599999997,0.6865296803652968,0.3125570776255708,176,376,550,04:30
10,4380,141.83510452511413,157.75464499999998,-423.01793899999996,590.0099495000001,498.56,-129.999991,378.022695,-122.85792049999999,0.6529680365296804,0.34634703196347033,174,418,508,05:00
11,4380,130.21928329680367,145.50936000000002,-425.9468195,579.2074950000001,494.130385,-119.70107949999996,367.7288,-106.84945049999999,0.6591324200913242,0.33972602739726027,169,379,470,05:30
12,4380,117.57737443150684,139.75339,-431.7220855,580.495748,489.67999,-151.4169995,369.35754499999996,-89.04732749999998,0.6506849315068494,0.3490867579908676,187,406,405,06:00
13,4380,102.73916883105022,110.61304,-421.797746,572.5938365,476.234865,-157.9029675,354.81132,-96.9232555,0.6285388127853881,0.3710045662100457,229,398,438,06:30
14,4380,98.35080895205479,95.64146500000001,-430.6958404999999,579.8106535,460.0,-123.237772,357.304405,-137.65818699999997,0.6164383561643836,0.38310502283105025,248,428,518,07:00
15,4380,87.14223385844748,84.49255,-449.33745350000004,583.638558,435.596405,-128.03750949999997,346.3216,-212.3538975,0.6070776255707763,0.39246575342465756,292,409,612,07:30
16,4380,79.36294107534248,94.75374,-460.005,583.3794720000001,398.80219999999997,-125.07082799999999,360.63787,-316.9116465,0.6125570776255708,0.3867579908675799,237,430,716,08:00
17,4380,59.548135203196345,69.69006999999999,-501.5030355,568.64801,356.350675,-131.922,352.352505,-340.9936645,0.5881278538812785,0.41118721461187213,260,429,725,08:30
18,4380,25.44332676712329,25.390340000000002,-517.8139705,553.166624,316.07214,-109.87234849999999,358.2172,-349.340695,0.5349315068493151,0.46278538812785386,258,431,762,09:00
19,4380,1.3951503812785444,5.91355,-524.7044875,529.8226170000002,281.612555,-137.5570325,365.33768999999995,-349.786839,0.5052511415525114,0.4940639269406393,229,486,745,09:30
20,4380,-8.8916251347032,-1.842075,-538.3957195,522.56,265.59419,-137.54995399999999,368.806615,-346.83798049999996,0.4968036529680365,0.5025114155251141,267,489,731,10:00
21,4380,-15.182213417808219,7.03478,-548.6523945,522.56,251.37839,-139.667702,369.70238,-304.2153255,0.5075342465753425,0.4922374429223744,230,505,756,10:30
22,4380,-26.75822589269406,-9.867835,-547.2445365,497.55751250000003,238.63822,-130.547696,365.06365,-287.12779199999994,0.48926940639269406,0.5102739726027398,288,529,724,11:00
23,4380,-44.25125089954337,-33.351395,-550.0,483.0843560000001,224.020205,-132.809439,381.01248499999997,-255.42999949999998,0.4689497716894977,0.5305936073059361,256,514,678,11:30
24,4380,-50.534256262557086,-51.08616,-550.0,469.2670575000001,219.242165,-138.692449,383.12065,-241.5817815,0.4461187214611872,0.5538812785388127,261,552,657,12:00
25,4380,-55.68365344292238,-69.608425,-542.7442,470.6859630000002,220.850365,-141.299745,394.26846,-246.674204,0.42990867579908676,0.5698630136986301,233,572,636,12:30
26,4380,-58.384194815068504,-61.40517,-543.821241,462.35982300000006,218.35304,-127.6955095,392.22417,-242.81000399999996,0.43858447488584473,0.5607305936073059,253,529,645,13:00
27,4380,-64.10465531050228,-70.30212,-542.3042895,450.1057005000001,217.426725,-124.12757549999999,386.27675,-239.291926,0.43858447488584473,0.5611872146118722,230,533,657,13:30
28,4380,-71.96098079680367,-78.22592499999999,-547.0276225,448.4851785000002,222.807275,-131.440476,391.80493,-225.5020135,0.42511415525114155,0.5748858447488584,247,513,599,14:00
29,4380,-78.44226377397258,-97.69203999999999,-550.0,465.86345400000005,225.26616,-134.213362,397.450715,-220.45846199999997,0.408675799086758,0.5910958904109589,239,507,629,14:30
30,4380,-64.63715644063927,-67.63105999999999,-550.0,483.81572250000005,243.655475,-125.661951,392.90243499999997,-242.6485545,0.4280821917808219,0.5716894977168949,248,492,668,15:00
31,4380,-49.34896680593608,-43.606105,-550.0,493.09303400000005,259.45727999999997,-125.54188099999999,392.98069499999997,-267.491404,0.46141552511415523,0.5374429223744293,276,477,698,15:30
32,4380,-38.18759978082191,-19.810415,-550.0,496.19075200000015,292.279675,-149.896925,381.545865,-252.71407749999997,0.4812785388127854,0.5184931506849315,258,483,660,16:00
33,4380,-17.24748030365297,-5.33805,-530.3340685,519.8701625,341.53039,-166.691382,329.48515499999996,-267.7462455,0.4931506849315068,0.5054794520547945,251,501,753,16:30
34,4380,8.542361609589042,20.0,-524.3807135,529.8072635000001,411.80778499999997,-152.02753249999998,308.335465,-254.267962,0.5187214611872146,0.4805936073059361,287,470,765,17:00
35,4380,37.835291570776256,34.38346,-476.4933575,551.317699,471.930205,-116.42159399999998,302.335155,-231.86029499999998,0.5385844748858447,0.46095890410958906,290,374,739,17:30
36,4380,68.4453906392694,71.30870999999999,-443.6569455,550.0,499.77194,-122.23548899999997,275.32407,-238.618789,0.5888127853881279,0.41050228310502285,314,376,805,18:00
37,4380,88.85211713242009,93.10322500000001,-406.6168055,541.3504395000001,509.962015,-119.952852,274.69654,-226.53851949999998,0.6251141552511416,0.3732876712328767,271,378,761,18:30
38,4380,113.26599496803654,112.822395,-352.101238,543.0741,513.91077,-89.20000049999999,270.0,-241.10164799999998,0.6468036529680365,0.3515981735159817,256,341,738,19:00
39,4380,127.66618352283103,121.10079999999999,-318.4767815,553.0955880000002,518.96143,-56.97890649999999,279.11788,-233.1601705,0.6607305936073059,0.33812785388127853,289,321,740,19:30
40,4380,130.6200039543379,119.03394,-318.9039215,559.726362,522.56,-63.15925799999997,296.49626,-210.64892549999996,0.6662100456621004,0.3319634703196347,235,316,674,20:00
41,4380,137.8958498150685,136.10537499999998,-316.195809,567.088323,521.2635250000001,-71.81932649999995,303.737855,-191.524925,0.6771689497716895,0.32054794520547947,223,322,642,20:30
42,4380,141.14186265296803,138.72066999999998,-314.1549195,565.6202925000001,513.67999,-66.94398649999997,317.20673999999997,-171.830142,0.6707762557077626,0.32831050228310504,220,338,612,21:00
43,4380,140.06965193150685,138.67654499999998,-311.692058,570.9963825,506.17757,-91.12516299999999,325.753755,-156.97462299999998,0.669634703196347,0.32831050228310504,193,379,595,21:30
