scope,DUID,contraction_contribution_rows,contraction_onsets,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_abs_impact_mw_observations,contraction_mean_positive_tightening_mw,contraction_positive_share,contraction_rank
lower,LIMOSF11,6351,2608,359618.69567209185,69455.7124908417,429074.4081629336,56.62394830295888,0.4884270193670288,1
lower,KIAMSF1,6364,2612,336008.5288896001,96106.09950864394,432114.62839824404,52.79832320703961,0.5168133249528598,2
lower,MUWAWF1,6270,2576,242763.35210747656,68848.0797837804,311611.43189125694,38.71823797567409,0.31036682615629985,3
lower,WEMENSF1,6026,2462,242278.71415822633,82844.1378049551,325122.85196318146,40.20556159280225,0.5255559243279124,4
lower,SUNRSF1,6351,2608,237943.53188559547,60896.91584883823,298840.4477344337,37.46552226194229,0.5063769485120454,5
lower,BANN1,6026,2462,227717.17238948363,76619.01489847852,304336.1872879622,37.78910925812871,0.5267175572519084,6
lower,KARSF1,6300,2587,199761.38835213287,51787.20340087093,251548.5917530038,31.708156881290932,0.503015873015873,7
lower,KESSB1,4624,1898,183919.82170462338,65895.96506898821,249815.7867736116,39.775047946501594,0.17019896193771628,8
lower,YATSF1,6300,2587,176414.55632985674,48733.62355904382,225148.17988890057,28.00231052854869,0.5211111111111111,9
lower,MUWAWF2,6289,2581,124896.78302654612,75364.94443480393,200261.72746135003,19.8595616197402,0.3278740658292256,10
lower,MOORAWF1,1248,430,87572.8242403235,55365.619736075685,142938.4439763992,70.17053224384897,0.5681089743589743,11
lower,ARWF1,3987,1646,85077.36070615391,100139.43565079145,185216.79635694536,21.33869092203509,0.44971156257837974,12
lower,STWF1,6361,2612,77666.73189109868,77657.79395666411,155324.5258477628,12.209830512670756,0.3501021851910077,13
lower,BROKENH1,6361,2612,66087.76024782239,29508.76382825058,95596.52407607296,10.389523698761575,0.42131740292406855,14
lower,CRWARP1,2654,1101,63617.52646262261,23605.927290269115,87223.45375289173,23.97043197536647,0.3443858327053504,15
lower,MERCER01,1258,434,62810.17560000517,92248.37707687312,155058.5526768783,49.92859745628392,0.4546899841017488,16
lower,MACARTH1,1729,589,60447.13537214314,20915.55198418766,81362.68735633079,34.9607492030903,0.5407750144592249,17
lower,ELAINWF1,1248,430,56283.48222196347,13694.885099508243,69978.36732147171,45.09894408811176,0.5208333333333334,18
lower,STOCKYD1,1694,577,54286.63977814959,21932.519885188827,76219.15966333842,32.04642253727839,0.601534828807556,19
lower,YENDWF1,1274,439,52878.98306137811,16515.615580145037,69394.59864152315,41.50626613922928,0.5306122448979592,20
lower,BULGANA1,4553,1836,52609.942902693365,37100.79077661862,89710.73367931199,11.555006128419365,0.39512409400395343,21
lower,LIMOSF21,6351,2608,50848.383871203245,12696.33183951099,63544.715710714234,8.006358663392103,0.49866162809006453,22
lower,GANNSF1,5985,2446,49649.821408175354,78833.29079876681,128483.11220694217,8.29570950846706,0.34319131161236427,23
lower,VBB1,915,307,49498.16565150454,15679.959148043828,65178.12479954837,54.09635590328365,0.35628415300546445,24
lower,BRYB2WF2,1274,439,46026.21455601065,26521.195116360235,72547.40967237088,36.12732696704133,0.4748822605965463,25
lower,BRYB1WF1,1274,439,45280.2413437893,35433.617817382634,80713.85916117193,35.541790693712166,0.5266875981161695,26
lower,RYANCWF1,1729,589,41841.627280245666,17545.291585963616,59386.91886620928,24.199900104248506,0.5320994794679005,27
lower,DUNDWF1,1699,579,37432.3750247877,5263.773610603126,42696.148635390826,22.032004134660212,0.4743967039434962,28
lower,CROWLWF1,4051,1664,35923.92653745528,27746.51889787386,63670.44543532914,8.867915709073136,0.4238459639595162,29
lower,GPWFEST2,994,337,35547.154104685964,9509.269514981524,45056.42361966749,35.76172445139433,0.4507042253521127,30
lower,GPWFEST1,994,337,32177.358042967513,7268.996966396148,39446.35500936366,32.37158756837778,0.3993963782696177,31
lower,MRTLSWF1,1273,438,31245.9906036982,24026.833770754776,55272.824374452975,24.54516151115334,0.5137470542026709,32
lower,DARLSF1,2531,1099,28695.821268415373,11350.612174022315,40046.43344243769,11.337740524857912,0.5507704464638483,33
lower,GANNB1,5985,2446,28103.195009331477,13825.724316045911,41928.919325377385,4.695604847006095,0.1846282372598162,34
lower,HD1WF1,1729,589,27935.00392488278,11254.23949309406,39189.243417976846,16.15674026887379,0.4551764025448236,35
lower,KERNGSP1,5431,2212,27053.38338746995,35239.53147350458,62292.91486097453,4.981289520800948,0.24912539127232552,36
lower,BHB1,6361,2612,25254.462547536583,19665.199418671033,44919.66196620762,3.9702031987952497,0.1366137399779909,37
lower,KIATAWF1,6298,2583,24973.89568920083,12992.309131904562,37966.20482110539,3.9653692742459237,0.30231819625277867,38
lower,SALTCRK1,1273,438,24130.673133703087,5505.472213989365,29636.145347692454,18.95575265805427,0.5357423409269442,39
lower,COHUNSF1,5985,2446,22628.316153301515,23043.182746514412,45671.49889981593,3.7808381208523834,0.19047619047619047,40
lower,MURRAY,920,311,22361.738360831365,6254.84496213354,28616.5833229649,24.306237348729745,0.17173913043478262,41
lower,LIMBESS1,2793,1167,21127.27516405088,11550.02540047551,32677.30056452639,7.56436633156136,0.10096670247046187,42
lower,GPWFWST1,599,204,19840.51528325597,6040.815394865762,25881.330678121736,33.12273002213016,0.4023372287145242,43
lower,LKBONNY2,2855,1131,19262.261399088966,5208.213345182037,24470.474744271003,6.74685162840244,0.5278458844133099,44
lower,BULBES1,4553,1836,16991.353282087697,15953.006728906541,32944.360010994234,3.73190276347193,0.18207775093345047,45
lower,NUMURSF1,3601,1473,15694.633789735512,20784.42257294607,36479.056362681586,4.358409827752156,0.30463760066648155,46
lower,DUNDWF3,1699,579,13526.42659365887,4938.958477895695,18465.385071554567,7.961404704919877,0.429664508534432,47
lower,COLEASF1,2531,1099,13504.039482006121,6702.850593358725,20206.890075364845,5.335456136707278,0.5080995653891742,48
lower,GPWFEST3,994,337,12624.767624646222,11990.332778826842,24615.100403473065,12.700973465438855,0.32796780684104626,49
lower,HILLSTN1,2531,1099,11781.845412854733,6275.311018879858,18057.15643173459,4.655015967149242,0.4168312919794548,50
lower,LYA1,408,143,11694.768363831687,1766.5324402928404,13461.300804124527,28.66364795056786,0.37745098039215685,51
lower,GIRGSF,3601,1473,11284.903892534176,13704.173674146561,24989.077566680735,3.1338250187542838,0.2815884476534296,52
lower,MLB01,639,224,11022.234553856812,3292.7294780831407,14314.964031939953,17.249193355018484,0.09859154929577464,53
lower,LYA3,408,143,10964.8121267225,1742.173885546954,12706.986012269454,26.874539526280635,0.3799019607843137,54
lower,GLRWNSF1,3571,1457,10681.691209001123,14382.611510924206,25064.302719925327,2.9912324864186846,0.3057966956034724,55
lower,GPWFWST2,599,204,10126.90887850319,2558.087688073903,12684.996566577094,16.90635872871985,0.2604340567612688,56
