DUID,contribution_rows,total_abs_impact_mw_observations,mean_abs_bound_impact_mw,p95_abs_bound_impact_mw,total_tightening_mw_observations,total_relief_mw_observations,contraction_contribution_rows,reversal_contribution_rows,forced_contribution_rows,contraction_onsets,forced_onsets,contraction_abs_impact_mw_observations,contraction_tightening_mw_observations,contraction_relief_mw_observations,contraction_positive_rows,active_months,active_constraint_versions,limit_move_spearman,flow_move_spearman,top_contributor_intervals,equation_versions,factor_min,factor_max,sensitivity_min,sensitivity_mean,sensitivity_max,sensitivity_abs_max,overall_rank,contraction_positive_share,contraction_mean_positive_tightening_mw,contraction_rank,reversal_rank,forced_rank
KIAMSF1,142191,2715546.208908672,21.90755526012908,346.5892193829793,1585549.230549103,1129996.9783595689,11975,7211,24857,4860,3227,531626.4115664408,415723.7223355656,115902.68923087524,5153,24.0,49.0,0.1432140638169558,-0.0033434073029983673,9883.0,5251,-1.0,0.9159,-1.8518518518518516,1.3725750333561022,8.356545961002785,8.356545961002785,1,0.43031315240083506,34.71596846226018,1,9,1
LIMOSF11,130301,2627481.0708887256,20.666570590497667,410.92332423255795,1535496.0180793745,1091985.052809351,10302,6860,22399,4145,2924,495603.1083263564,412099.7196032339,83503.38872312248,4388,24.0,39.0,0.16973228507640026,0.028280155207942907,8813.0,3446,-0.997,1.0,-7.173620457604307,0.13492890493809934,13.426183844011142,13.426183844011142,2,0.42593671131819066,40.00191415290564,2,23,22
WEMENSF1,140077,2164056.720819476,18.713184903640542,317.6044186046511,1217382.7376246075,946673.9831948684,11637,7120,24288,4710,3149,370396.5177349086,277160.42493656045,93236.09279834814,4978,24.0,49.0,0.11794404377855013,0.0036523143155121926,3762.0,5298,-1.0,1.0,-5.0761421319796955,1.3022037335244352,11.518105849582172,11.518105849582172,3,0.42777348113775027,23.81717151641836,5,12,7
BANN1,140077,2068283.5208464349,17.78242804233162,290.6694488372092,1163193.7928435141,905089.7280029209,11637,7120,24288,4710,3149,340238.3689361198,255240.963219789,84997.40571633074,5054,24.0,49.0,0.12478370445041025,-0.0017541612745178815,3461.0,5298,-1.0,1.0,-5.0761421319796955,1.3022037335244352,11.518105849582172,11.518105849582172,4,0.434304373979548,21.933570784548337,6,12,7
KESSB1,111788,2011362.619718274,25.215831341965842,655.5555555555554,1094166.8412486142,917195.77846966,9524,5813,20299,3900,2561,311116.9740391322,222237.9093333789,88879.06470575332,1286,20.0,48.0,0.056489504903277594,0.011070670191499144,10950.0,4385,-1.0,1.0,-4.10126582278481,1.5210065317214694,7.43076923076923,7.43076923076923,5,0.13502729945401093,23.334513789728987,8,29,27
MUWAWF1,139821,1982768.3015687156,17.52381072803151,442.4464578982025,1108132.6092403855,874635.69232833,11767,7040,24294,4778,3156,404167.3974667611,285821.7898033967,118345.60766336444,3777,24.0,48.0,0.03559562800348425,0.03798580738425416,12342.0,4877,-1.0,0.9159,-1.8518518518518516,1.2176984618808213,8.63961813842482,8.63961813842482,6,0.3209824084303561,24.29011556075437,3,18,6
SUNRSF1,130301,1867527.589457618,14.8267625828719,231.65168557781737,1118866.7590327954,748660.8304248225,10302,6860,22399,4145,2924,357015.30683080776,283596.13453358295,73419.17229722482,4596,24.0,39.0,0.1472816401085481,0.016218894395783254,3335.0,3446,-0.997,1.0,-7.173620457604307,0.13492890493809934,13.426183844011142,13.426183844011142,7,0.44612696563774024,27.52826000131848,4,23,22
KARSF1,141959,1590420.5885728884,12.707488107124968,233.06981663255803,935759.1004265548,654661.4881463336,11911,7189,24758,4835,3213,298545.28617255064,237850.5297944803,60694.75637807033,5030,24.0,49.0,0.14063073156260597,0.0010677473574276456,2486.0,5362,-1.0,1.0,-1.076923076923077,1.4658406658477048,10.64066852367688,10.64066852367688,8,0.4222987154730921,19.96898075681977,7,10,2
MUWAWF2,139910,1573508.6111318802,13.312897867257877,230.02129847869062,817575.6853505537,755932.9257813266,11786,7044,24365,4783,3159,277925.91731415415,160823.590089907,117102.32722424719,4085,24.0,48.0,0.022430555467252335,0.02211693040309095,8941.0,4881,-1.0,0.9159,-1.8518518518518516,1.220080525379815,8.63961813842482,8.63961813842482,9,0.3465976582385882,13.645307151697523,11,17,5
STWF1,130343,1540438.9950527733,12.398288997505963,171.39415374080053,678658.6650817438,861780.3299710293,10312,6871,22401,4151,2930,189479.84638056502,96702.13539299245,92777.71098757257,3924,24.0,39.0,0.03781769567451997,0.022362025962190456,14062.0,3711,-0.997,1.0,-9.385749385749385,0.3663745034248451,13.426183844011142,13.426183844011142,10,0.3805275407292475,9.377631438420524,18,21,20
