event_id,time,direction,receiver,sender,month,hour,season,year,baseline_time,baseline_capacity_mw,trough_time,trough_mw,recovery_time,recovery_censored,baseline_to_trough_mw,drop_mw,threshold_mw,capacity_mw,flow_mw,headroom_mw,reported_setter,peak_price,pre_price,price_jump,peak_spread,mpc_intervals,near_mpc_intervals,price_complete,special_price_regime,pre_demand,pre_wind,pre_solar,pre_available,parent_seq,incident_id,selection_reason,selected,steps,exact_step_share,equation_count,evidence_tier,limitation,observed_tightening_mw,generator_tightening_mw,rhs_tightening_mw,other_lhs_tightening_mw,switch_composite_mw,unresolved_mw,complete_terms_share,reconciliation_error_mw,physical_intervention,mpc_in_preceding_hour
VSA-lower-20240901T1630,2024-09-01 16:30:00,lower,VIC1,SA1,2024-09,16,Spring,2024,2024-09-01 16:05:00,550.0,2024-09-01 17:50:00,134.13092,,True,415.86908,181.83425999999997,145.761205,368.16574,-368.16574,0.0,V^^V_NIL_SWVIC,-20.8,-49.03,28.23,45.870000000000005,0,0,True,False,3764.985,1687.63985,217.95022,11763.562795000002,0,lower-0,,False,,,,,,,,,,,,,,False,False
VSA-lower-20240901T1705,2024-09-01 17:05:00,lower,VIC1,SA1,2024-09,17,Spring,2024,2024-09-01 16:50:00,381.09891,2024-09-01 17:50:00,134.13092,,True,246.96799,152.91751,145.761205,211.88232,-211.88232,0.0,V^^V_NIL_SWVIC,-5.08832,-43.89,38.80168,45.870000000000005,0,0,True,False,4205.355,2177.23312,250.09672,11706.339525,1,lower-1,,False,,,,,,,,,,,,,,False,False
VSA-lower-20240902T0610,2024-09-02 06:10:00,lower,VIC1,SA1,2024-09,6,Spring,2024,2024-09-02 05:45:00,472.76731,2024-09-02 06:10:00,257.4061,2024-09-02 06:15:00,False,215.36121000000003,176.90997000000004,145.761205,257.4061,-79.31144,178.09465999999998,V>>MLSY_N-2_GTKT,4.5,-39.66,44.16,45.29822,0,0,True,False,4113.62,2118.506055,0.0,11009.365389999999,2,lower-2,,False,,,,,,,,,,,,,,False,False
VSA-lower-20240902T0645,2024-09-02 06:45:00,lower,VIC1,SA1,2024-09,6,Spring,2024,2024-09-02 06:20:00,550.0,2024-09-02 07:30:00,53.69613,,True,496.30387,301.91215,145.761205,248.08785,-242.355,5.732850000000013,V>>MLSY_N-2_GTKT,4.94832,-0.87768,5.826,50.05727,0,0,True,False,4587.37,2346.774215,0.0,11188.022515,3,lower-3,,False,,,,,,,,,,,,,,False,False
VSA-lower-20240902T0725,2024-09-02 07:25:00,lower,VIC1,SA1,2024-09,7,Spring,2024,2024-09-02 06:55:00,238.58761,2024-09-02 07:30:00,53.69613,2024-09-02 08:30:00,False,184.89148,173.95937,145.761205,64.62824,-64.62824,0.0,V>>MLSY_N-2_GTKT,-4.73405,0.14555,-4.8796,40.275949999999995,0,0,True,False,5206.355,2816.86029,6.135085,11652.753475,4,lower-4,,False,,,,,,,,,,,,,,False,False
VSA-lower-20240902T1525,2024-09-02 15:25:00,lower,VIC1,SA1,2024-09,15,Spring,2024,2024-09-02 15:10:00,550.0,2024-09-02 16:50:00,149.15436,,True,400.84564,159.24978,145.761205,378.09232,-174.20036,203.89195999999998,V^^V_NIL_SWVIC,-19.89992,-50.03,30.13008,20.98966,0,0,True,False,4505.485000000001,1639.300155,189.934005,12032.915685,5,lower-5,,False,,,,,,,,,,,,,,False,False
VSA-lower-20240902T1535,2024-09-02 15:35:00,lower,VIC1,SA1,2024-09,15,Spring,2024,2024-09-02 15:10:00,550.0,2024-09-02 16:50:00,149.15436,,True,400.84564,180.46003000000002,145.761205,369.53997,-369.53997,0.0,V^^V_NIL_SWVIC,2.04189,-50.03,52.07189,38.031890000000004,0,0,True,False,4534.375,1675.99552,203.001485,12004.192205,5,lower-5,,False,,,,,,,,,,,,,,False,False
VSA-lower-20240902T1635,2024-09-02 16:35:00,lower,VIC1,SA1,2024-09,16,Spring,2024,2024-09-02 16:20:00,392.36994,2024-09-02 17:55:00,62.14715,,True,330.22279,162.98081999999997,145.761205,225.22148,-225.22148,0.0,V^^V_NIL_SWVIC,83.44689,-38.98957,122.43646,57.260000000000005,0,0,True,False,5151.5,2460.825285,290.42978,12130.928125,6,lower-6,,False,,,,,,,,,,,,,,False,False
VSA-lower-20240902T1750,2024-09-02 17:50:00,lower,VIC1,SA1,2024-09,17,Spring,2024,2024-09-02 17:20:00,282.99631,2024-09-02 17:55:00,62.14715,2024-09-02 19:30:00,False,220.84915999999998,158.75094,145.761205,124.24537,464.92505,589.17042,V^^V_NIL_SWVIC,74.0,43.257075,30.742925,-6.612920000000003,0,0,True,False,6254.93,2946.0709150000002,241.254165,11710.150105,7,lower-7,,False,,,,,,,,,,,,,,False,False
VSA-lower-20240903T2345,2024-09-03 23:45:00,lower,VIC1,SA1,2024-09,23,Spring,2024,2024-09-03 23:15:00,542.49975,2024-09-04 01:25:00,238.8687,,True,303.63104999999996,152.54457999999994,145.761205,389.95517,-345.63839,44.316779999999994,V^^V_NIL_SWVIC,0.15449,0.02,0.13449,46.80449,0,0,True,False,5137.255,2262.35916,0.0,10304.85916,8,lower-8,,False,,,,,,,,,,,,,,False,False
