time,REGIONID,coal_target_mw,coal_initial_mw,coal_available_mw,online_units_proxy,not_generating_units_proxy,unknown_units,observed_units,online_registered_mw_proxy,not_generating_registered_mw_proxy,capacity_covered_units,expected_units,missing_units,not_generating_is_not_verified_outage
2024-09-04 15:15:00,VIC1,2435.25,2458.72817,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 15:20:00,VIC1,2436.375,2435.89685,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 15:25:00,VIC1,2436.0,2458.66298,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 15:30:00,VIC1,2484.8125,2419.8927400000002,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 15:35:00,VIC1,2449.63141,2472.66171,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 15:40:00,VIC1,2485.0,2431.7063399999997,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 15:45:00,VIC1,2542.85658,2520.86615,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 15:50:00,VIC1,2635.40625,2550.71044,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 15:55:00,VIC1,2672.85505,2612.27786,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:00:00,VIC1,2725.0,2649.6117,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:05:00,VIC1,2805.0,2703.02344,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:10:00,VIC1,2855.0,2757.78386,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:15:00,VIC1,2916.0,2846.24018,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:20:00,VIC1,2945.0,2887.06139,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:25:00,VIC1,2975.0,2969.87281,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:30:00,VIC1,3080.34375,2995.819,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:35:00,VIC1,3218.0265,3061.46993,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:40:00,VIC1,3311.43544,3227.37975,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:45:00,VIC1,3331.05696,3252.77025,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:50:00,VIC1,3389.44431,3296.12784,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 16:55:00,VIC1,3442.6898,3363.84272,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:00:00,VIC1,3477.57842,3402.73009,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:05:00,VIC1,3599.31383,3488.21993,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:10:00,VIC1,3677.82888,3566.92184,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:15:00,VIC1,3837.15189,3645.45917,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:20:00,VIC1,3932.16077,3813.2142400000002,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:25:00,VIC1,3885.71832,3907.5588399999997,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:30:00,VIC1,3851.26939,3865.83606,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:35:00,VIC1,3856.06565,3860.31486,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:40:00,VIC1,3877.35048,3790.68039,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:45:00,VIC1,4003.00378,3881.43924,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
2024-09-04 17:50:00,VIC1,3947.26379,3986.76645,4471.0,9,1,0,10,4330.0,360.0,10,10,0,True
