time,direction,_merge
2025-02-01 00:10:00,upper,left_only
2025-04-01 00:05:00,upper,left_only
2025-04-22 10:45:00,upper,right_only
2025-04-30 08:05:00,upper,right_only
2025-04-30 08:10:00,upper,left_only
2025-06-14 23:35:00,lower,left_only
2025-07-16 00:55:00,lower,left_only
2025-07-22 13:35:00,upper,left_only
2025-12-02 15:25:00,lower,left_only
2026-02-01 00:05:00,upper,left_only
2026-02-01 00:25:00,upper,left_only
2026-02-01 00:30:00,upper,right_only
2026-02-01 02:55:00,upper,right_only
2026-02-13 13:45:00,upper,right_only
2026-02-13 13:50:00,upper,left_only
2026-02-18 09:40:00,lower,right_only
2026-04-24 07:55:00,upper,left_only
2026-06-01 00:05:00,lower,left_only
2026-06-20 21:00:00,lower,right_only
2026-07-01 00:15:00,upper,left_only
2026-07-06 09:05:00,lower,left_only
2026-07-13 11:30:00,upper,right_only
2026-07-31 17:00:00,upper,right_only
2026-08-05 01:10:00,lower,left_only
2026-08-05 01:15:00,lower,right_only
