event_id,constraint,version_key,equation,description,limit_type,exact_version,Z_note
VSA-lower-20240917T2325,V>>SMF2_SMF1_NIL_R2,V>>SMF2_SMF1_NIL_R2|2024-09-11|1,-0.761 * F_V_SA +0.859 * P[NBK11B] +0.859 * P[NBKB3B] +0.859 * P[NBKW1S] +0.612 * P[NBL21L] +0.612 * P[NBSF1L] +0.612 * P[NBSF2S] +0.113 * P[NCLS1C] +0.117 * P[NDNH1H] +0.117 * P[NDNS1D] -0.996 * P[NMUR8] +0.0724 * P[NNRN1A] +0.117 * P[NRB23R] +0.117 * P[NRBB1R] -0.117 * P[NRBB2R] +0.117 * P[NRBB3R] +0.117 * P[NRDP3D] +0.436 * P[VART1A] +0.547 * P[VAT21L] +0.547 * P[VAT22L] +0.529 * P[VBA23B] +0.528 * P[VBAW1Y] +0.56 * P[VBBT1B] +0.56 * P[VBBT2B] +0.401 * P[VBGT1B] +0.401 * P[VBGT2B] -0.401 * P[VBGT3B] +0.401 * P[VBGT4B] +0.425 * P[VCB33R] +0.424 * P[VCWL1C] -0.712 * P[VDPS] +0.576 * P[VELT1M] +0.576 * P[VELT2M] +0.576 * P[VELT3E] -0.217 * P[VEPS1] -0.217 * P[VEPS2] -0.728 * P[VGN21G] -0.728 * P[VGNS1G] -0.728 * P[VGNS2W] +0.761 * P[VGPT1G] +0.761 * P[VGPT2G] +0.761 * P[VGPT3G] +0.621 * P[VGTW1M] +0.761 * P[VHGT1S] +0.316 * P[VHOG1K] -1 * P[VHUM] +0.752 * P[VHW23H] +0.752 * P[VJLGA1] +0.752 * P[VJLGA2] +0.752 * P[VJLGA3] +0.752 * P[VJLGA4] +0.752 * P[VJLGB1] +0.752 * P[VJLGB2] +0.752 * P[VJLGB3] +0.135 * P[VKMT1K] +0.752 * P[VLYP010] +0.752 * P[VLYP011] +0.752 * P[VLYP012] +0.752 * P[VLYP07] +0.752 * P[VLYP08] +0.752 * P[VLYP09] +0.752 * P[VLYP1] +0.752 * P[VLYP2] +0.752 * P[VLYP3] +0.752 * P[VLYP4] +0.752 * P[VLYP5] +0.752 * P[VLYP6] +0.761 * P[VM051D] +0.761 * P[VM052D] +0.761 * P[VM053D] +0.761 * P[VM0P1O] +0.761 * P[VM0P2O] -0.712 * P[VMKP1] +0.656 * P[VMLB1V] -0.656 * P[VMLB2V] +0.656 * P[VMLB3V] +0.253 * P[VMRT1M] +0.253 * P[VMRT2M] +0.752 * P[VMWT12] +0.752 * P[VMWT2] +0.752 * P[VMWT3] +0.752 * P[VMWT9B] +0.266 * P[VNPS] -0.0841 * P[VRCS1K] -0.0841 * P[VRCS2Y] -0.625 * P[VSHS1N] -0.625 * P[VSHS2G] -0.625 * P[VSHS2W] -0.236 * P[VSM71C] +0.589 * P[VTG21M] +0.589 * P[VTG61S] +0.589 * P[VTGT3A] +0.761 * P[VTR11H] +0.761 * P[VTR31R] +0.761 * P[VTRT1M] -0.236 * P[VTTS1] -0.712 * P[VWKP1] -0.712 * P[VWKP2] +0.279 * P[VYP21] +0.279 * P[VYP22] +0.279 * P[VYP23] +0.279 * P[VYP24] +0.752 * F[T-V-MNSP1] +0.0841 * F[V-S-MNSP1] +0.983 * F[VIC1-NSW1] + Z_unrepresented <= RHS(t),"Out = South Morang 500/330kV F2 transformer, avoid pre-contingent O/L of the remaining South Morang F1 500/330kV transformer, radial mode, YWPS unit 1 on 220kV,  feedback",Thermal,True,Z includes unsupported non-energy/region terms if present; not assumed zero
VSA-lower-20240917T2325,V>>SMF2_SMF1_NIL_R5,V>>SMF2_SMF1_NIL_R5|2024-09-11|1,-0.761 * F_V_SA +0.859 * P[NBKB3B] +0.859 * P[NBK11B] +0.859 * P[NBKW1S] +0.612 * P[NBL21L] +0.612 * P[NBSF1L] +0.612 * P[NBSF2S] +0.113 * P[NCLS1C] +0.117 * P[NDNH1H] +0.117 * P[NDNS1D] -0.996 * P[NMUR8] +0.0724 * P[NNRN1A] +0.117 * P[NRB23R] +0.117 * P[NRBB1R] -0.117 * P[NRBB2R] +0.117 * P[NRBB3R] +0.117 * P[NRDP3D] +0.436 * P[VART1A] +0.547 * P[VAT21L] +0.547 * P[VAT22L] +0.529 * P[VBA23B] +0.528 * P[VBAW1Y] +0.56 * P[VBBT1B] +0.56 * P[VBBT2B] +0.401 * P[VBGT1B] +0.401 * P[VBGT2B] -0.401 * P[VBGT3B] +0.401 * P[VBGT4B] +0.425 * P[VCB33R] +0.424 * P[VCWL1C] -0.712 * P[VDPS] +0.576 * P[VELT1M] +0.576 * P[VELT2M] +0.576 * P[VELT3E] -0.217 * P[VEPS1] -0.217 * P[VEPS2] -0.728 * P[VGN21G] -0.728 * P[VGNS1G] -0.728 * P[VGNS2W] +0.761 * P[VGPT1G] +0.761 * P[VGPT2G] +0.761 * P[VGPT3G] +0.621 * P[VGTW1M] +0.761 * P[VHGT1S] +0.316 * P[VHOG1K] -1 * P[VHUM] +0.752 * P[VHW23H] +0.752 * P[VJLGA1] +0.752 * P[VJLGA2] +0.752 * P[VJLGA3] +0.752 * P[VJLGA4] +0.752 * P[VJLGB1] +0.752 * P[VJLGB2] +0.752 * P[VJLGB3] +0.135 * P[VKMT1K] +0.752 * P[VLYP010] +0.752 * P[VLYP011] +0.752 * P[VLYP012] +0.752 * P[VLYP07] +0.752 * P[VLYP08] +0.752 * P[VLYP09] +0.752 * P[VLYP1] +0.752 * P[VLYP2] +0.752 * P[VLYP3] +0.752 * P[VLYP4] +0.752 * P[VLYP5] +0.752 * P[VLYP6] +0.761 * P[VM051D] +0.761 * P[VM052D] +0.761 * P[VM053D] +0.761 * P[VM0P1O] +0.761 * P[VM0P2O] -0.712 * P[VMKP1] +0.656 * P[VMLB1V] -0.656 * P[VMLB2V] +0.656 * P[VMLB3V] +0.253 * P[VMRT1M] +0.253 * P[VMRT2M] +0.752 * P[VMWT12] +0.752 * P[VMWT2] +0.752 * P[VMWT3] +0.752 * P[VMWT9B] +0.266 * P[VNPS] -0.0841 * P[VRCS1K] -0.0841 * P[VRCS2Y] -0.625 * P[VSHS1N] -0.625 * P[VSHS2G] -0.625 * P[VSHS2W] -0.236 * P[VSM71C] +0.589 * P[VTG21M] +0.589 * P[VTG61S] +0.589 * P[VTGT3A] +0.761 * P[VTR11H] +0.761 * P[VTR31R] +0.761 * P[VTRT1M] -0.236 * P[VTTS1] -0.712 * P[VWKP1] -0.712 * P[VWKP2] +0.752 * P[VYP21] +0.279 * P[VYP22] +0.279 * P[VYP23] +0.279 * P[VYP24] +0.752 * F[T-V-MNSP1] +0.0841 * F[V-S-MNSP1] +0.983 * F[VIC1-NSW1] + Z_unrepresented <= RHS(t),"Out = South Morang 500/330kV F2 transformer, avoid pre-contingent O/L of the remaining South Morang F1 500/330kV transformer, radial mode, YWPS unit 1 on 500kV,  feedback",Thermal,True,Z includes unsupported non-energy/region terms if present; not assumed zero
VSA-lower-20241017T0705,V>>NIL_ELML_BAML2,V>>NIL_ELML_BAML2|2024-10-03|1,-0.0806 * F_V_SA +0.249 * P[NBK11B] +0.249 * P[NBKB3B] +0.249 * P[NBKW1S] +0.177 * P[NBL21L] +0.177 * P[NBSF1L] +0.177 * P[NBSF2S] +0.626 * P[VART1A] +0.646 * P[VBA23B] +0.645 * P[VBAW1Y] +0.605 * P[VBGT4B] +0.538 * P[VBBT1B] +0.538 * P[VBBT2B] +0.605 * P[VBGT1B] +0.619 * P[VCWL1C] +1 * P[VELT1M] +1 * P[VELT2M] +1 * P[VELT3E] +0.126 * P[VGN21G] +0.123 * P[VGNS1G] +0.123 * P[VGNS2W] +0.143 * P[VGTW1M] +0.554 * P[VHOG1K] +0.395 * P[VKGB3G] +0.395 * P[VKGS1G] +0.395 * P[VKGS2C] +0.452 * P[VKMT1K] +0.519 * P[VMRT1M] +0.519 * P[VMRT2M] +0.326 * P[VRCS1K] +0.326 * P[VRCS2Y] +0.169 * P[VSHS1N] +0.169 * P[VSHS2G] +0.169 * P[VSHS2W] +0.378 * P[VTG21M] +0.355 * P[VTG61S] +0.355 * P[VTGT3A] +0.345 * P[VWES1B] +0.345 * P[VWES2W] -0.326 * F[V-S-MNSP1] + Z_unrepresented <= RHS(t),"Out= Nil, avoid O/L Elaine to Moorabool 220kV line on trip of Ballarat to Moorabool No.2 220kV line, Feedback",Thermal,True,Z includes unsupported non-energy/region terms if present; not assumed zero
VSA-lower-20241017T0705,V^^V_NIL_KGTS,V^^V_NIL_KGTS|2024-10-10|1,-0.215 * F_V_SA +0.682 * P[NBK11B] +0.682 * P[NBKB3B] +0.682 * P[NBKW1S] +0.485 * P[NBL21L] +0.485 * P[NBSF1L] +0.485 * P[NBSF2S] +0.0881 * P[NCLS1C] +0.0915 * P[NDNH1H] +0.0915 * P[NDNS1D] +0.0915 * P[NRB23R] +0.0915 * P[NRBB1R] -0.0915 * P[NRBB2R] +0.0915 * P[NRBB3R] +0.0915 * P[NRDP3D] +0.096 * P[VART1A] +0.14 * P[VBGT1B] +0.14 * P[VBGT4B] +0.111 * P[VCWL1C] -0.076 * P[VGN21G] -0.0735 * P[VGNS1G] -0.0735 * P[VGNS2W] +0.243 * P[VHOG1K] -0.883 * P[VKGB3G] -0.883 * P[VKGS1G] -0.883 * P[VKGS2C] +0.467 * P[VKMT1K] +0.322 * P[VMRT1M] +0.322 * P[VMRT2M] +0.736 * P[VRCS1K] +0.736 * P[VRCS2Y] -0.117 * P[VSHS1N] -0.117 * P[VSHS2G] -0.117 * P[VSHS2W] +1 * P[VWES1B] +1 * P[VWES2W] -0.736 * F[V-S-MNSP1] + Z_unrepresented <= RHS(t),"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",Voltage Stability,True,Z includes unsupported non-energy/region terms if present; not assumed zero
VSA-lower-20241017T0705,V^^V_BDBU_SWVIC,V^^V_BDBU_SWVIC|2024-09-25|1,-1 * F_V_SA +1 * P[VHGT1S] +1 * P[VM051D] +1 * P[VM052D] +1 * P[VM053D] +1 * P[VM0P1O] +1 * P[VM0P2O] +1 * P[VTR11H] +1 * P[VTR31R] +1 * P[VTRT1M] + Z_unrepresented <= RHS(t),"Out = Bundey to Buronga (6F) 330kV line, manage flow towards Moorabool across Haunted Gully to Cressy and Mortlake to Cressy 500kV lines to avoid voltage instability for the loss of Haunted Gully to Cressy 500kV line and both APD potlines ",Voltage Stability,True,Z includes unsupported non-energy/region terms if present; not assumed zero
VSA-lower-20241017T0920,V>>NIL_ELML_BAML2,V>>NIL_ELML_BAML2|2024-10-03|1,-0.0806 * F_V_SA +0.249 * P[NBK11B] +0.249 * P[NBKB3B] +0.249 * P[NBKW1S] +0.177 * P[NBL21L] +0.177 * P[NBSF1L] +0.177 * P[NBSF2S] +0.626 * P[VART1A] +0.646 * P[VBA23B] +0.645 * P[VBAW1Y] +0.605 * P[VBGT4B] +0.538 * P[VBBT1B] +0.538 * P[VBBT2B] +0.605 * P[VBGT1B] +0.619 * P[VCWL1C] +1 * P[VELT1M] +1 * P[VELT2M] +1 * P[VELT3E] +0.126 * P[VGN21G] +0.123 * P[VGNS1G] +0.123 * P[VGNS2W] +0.143 * P[VGTW1M] +0.554 * P[VHOG1K] +0.395 * P[VKGB3G] +0.395 * P[VKGS1G] +0.395 * P[VKGS2C] +0.452 * P[VKMT1K] +0.519 * P[VMRT1M] +0.519 * P[VMRT2M] +0.326 * P[VRCS1K] +0.326 * P[VRCS2Y] +0.169 * P[VSHS1N] +0.169 * P[VSHS2G] +0.169 * P[VSHS2W] +0.378 * P[VTG21M] +0.355 * P[VTG61S] +0.355 * P[VTGT3A] +0.345 * P[VWES1B] +0.345 * P[VWES2W] -0.326 * F[V-S-MNSP1] + Z_unrepresented <= RHS(t),"Out= Nil, avoid O/L Elaine to Moorabool 220kV line on trip of Ballarat to Moorabool No.2 220kV line, Feedback",Thermal,True,Z includes unsupported non-energy/region terms if present; not assumed zero
VSA-lower-20241017T0920,V^^V_NIL_KGTS,V^^V_NIL_KGTS|2024-10-10|1,-0.215 * F_V_SA +0.682 * P[NBK11B] +0.682 * P[NBKB3B] +0.682 * P[NBKW1S] +0.485 * P[NBL21L] +0.485 * P[NBSF1L] +0.485 * P[NBSF2S] +0.0881 * P[NCLS1C] +0.0915 * P[NDNH1H] +0.0915 * P[NDNS1D] +0.0915 * P[NRB23R] +0.0915 * P[NRBB1R] -0.0915 * P[NRBB2R] +0.0915 * P[NRBB3R] +0.0915 * P[NRDP3D] +0.096 * P[VART1A] +0.14 * P[VBGT1B] +0.14 * P[VBGT4B] +0.111 * P[VCWL1C] -0.076 * P[VGN21G] -0.0735 * P[VGNS1G] -0.0735 * P[VGNS2W] +0.243 * P[VHOG1K] -0.883 * P[VKGB3G] -0.883 * P[VKGS1G] -0.883 * P[VKGS2C] +0.467 * P[VKMT1K] +0.322 * P[VMRT1M] +0.322 * P[VMRT2M] +0.736 * P[VRCS1K] +0.736 * P[VRCS2Y] -0.117 * P[VSHS1N] -0.117 * P[VSHS2G] -0.117 * P[VSHS2W] +1 * P[VWES1B] +1 * P[VWES2W] -0.736 * F[V-S-MNSP1] + Z_unrepresented <= RHS(t),"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",Voltage Stability,True,Z includes unsupported non-energy/region terms if present; not assumed zero
VSA-lower-20241017T0920,V^^V_BDBU_SWVIC,V^^V_BDBU_SWVIC|2024-09-25|1,-1 * F_V_SA +1 * P[VHGT1S] +1 * P[VM051D] +1 * P[VM052D] +1 * P[VM053D] +1 * P[VM0P1O] +1 * P[VM0P2O] +1 * P[VTR11H] +1 * P[VTR31R] +1 * P[VTRT1M] + Z_unrepresented <= RHS(t),"Out = Bundey to Buronga (6F) 330kV line, manage flow towards Moorabool across Haunted Gully to Cressy and Mortlake to Cressy 500kV lines to avoid voltage instability for the loss of Haunted Gully to Cressy 500kV line and both APD potlines ",Voltage Stability,True,Z includes unsupported non-energy/region terms if present; not assumed zero
VSA-lower-20241105T1500,S:V_550_HY_TEST,S:V_550_HY_TEST|2022-10-20|1,unknown IC factor * F_V_SA + Z_unrepresented nan RHS(t),,,False,Z includes unsupported non-energy/region terms if present; not assumed zero
VSA-lower-20241105T1500,V^^V_NIL_KGTS,V^^V_NIL_KGTS|2024-10-31|1,-0.215 * F_V_SA +0.682 * P[NBK11B] +0.682 * P[NBKB3B] +0.682 * P[NBKW1S] +0.485 * P[NBL21L] +0.485 * P[NBSF1L] +0.485 * P[NBSF2S] +0.0881 * P[NCLS1C] +0.0915 * P[NDNH1H] +0.0915 * P[NDNS1D] +0.0915 * P[NRB23R] +0.0915 * P[NRBB3R] +0.0915 * P[NRDP3D] +0.096 * P[VART1A] +0.14 * P[VBGT1B] +0.14 * P[VBGT4B] +0.111 * P[VCWL1C] -0.076 * P[VGN21G] -0.0735 * P[VGN61M] -0.0735 * P[VGNS1G] -0.0735 * P[VGNS2W] +0.243 * P[VHOG1K] -0.883 * P[VKGB3G] -0.883 * P[VKGP1K] -0.883 * P[VKGS1G] -0.883 * P[VKGS2C] +0.467 * P[VKMT1K] +0.322 * P[VMRT1M] +0.322 * P[VMRT2M] +0.736 * P[VRCS1K] +0.736 * P[VRCS2Y] -0.117 * P[VSHS1N] -0.117 * P[VSHS2G] -0.117 * P[VSHS2W] +1 * P[VWES1B] +1 * P[VWES2W] -0.736 * F[V-S-MNSP1] + Z_unrepresented <= RHS(t),"Out= Nil, avoid voltage collapse for loss of Horsham - Murra Warra - Kiamal 220kV line. Murraylink VFRB disabled. Swamp if Murraylink VFRB enabled.",Voltage Stability,True,Z includes unsupported non-energy/region terms if present; not assumed zero
