DUID,net_mw,tightening_mw,relief_mw,events
KESSB1,2102.2086403458725,5741.330939876267,3639.1222995303942,41
LIMOSF11,1111.9812966918926,5122.0239051158815,4010.042608423989,47
KIAMSF1,1265.1007697755301,3805.2390798921597,2540.1383101166302,51
SUNRSF1,1462.6022384249463,3469.7821739774263,2007.17993555248,47
BLYTHB1,1631.2397823470214,3036.579273318501,1405.3394909714796,12
WEMENSF1,582.7560813855866,2934.561359305338,2351.8052779197515,49
BANN1,845.7359319821724,2857.3332700183364,2011.5973380361638,49
LIMBESS1,426.0098142138075,2790.381693862383,2364.3718796485755,24
BRYB1WF1,1004.639147396558,2490.7600053000997,1486.1208579035415,19
YATSF1,1052.1578890338037,2404.4825864527243,1352.3246974189206,51
HPR1,793.6902403695714,2160.7831463592815,1367.0929059897098,18
GSWF1B1,905.8723869225157,2087.314489338205,1181.4421024156895,18
KARSF1,1201.8042431700187,1924.1838022051818,722.3795590351632,51
GSWF1A,510.8847533870402,1887.4071656092576,1376.5224122222176,18
STWF1,-304.9912825875047,1835.560822295457,2140.5521048829614,47
MUWAWF1,612.0954916901677,1835.1755245380814,1223.0800328479138,51
BROKENH1,496.3599030483267,1440.0670949645382,943.7071919162115,47
MUWAWF2,-668.3280340097843,1342.6151764992524,2010.9432105090368,51
MURRAY,1143.615719915285,1322.3609675397274,178.7452476244423,20
GANNSF1,-18.209202947797866,1313.4167608650905,1331.6259638128881,49
BRYB2WF2,163.06905242113106,1278.5189634994263,1115.449911078295,19
BULGANA1,-666.1158616794814,1166.4463993139586,1832.56226099344,38
LIMOSF21,262.9767499739452,1028.2258982602134,765.2491482862683,47
CROWLWF1,-391.19186032159865,932.997932684111,1324.1897930057096,38
SNOWTWN1,572.6789769015171,893.8044114126097,321.12543451109264,17
GLRWNSF1,192.04159742433396,825.8488542446114,633.8072568202775,34
MOORAWF1,390.1035292182968,808.0742684691725,417.97073925087585,18
ARWF1,-611.07658521306,800.6063303130196,1411.6829155260798,38
WGWF1,396.76481001962196,760.9092245174493,364.1444144978274,18
KERNGSP1,-0.9939138099972679,728.4205045894028,729.4144183994,45
PAREPW1,65.60476072036596,693.3564814850915,627.7517207647255,17
CRWARP1,-143.80724178722608,686.1908296760072,829.9980714632331,16
NBHWF1,222.66846922244494,671.112773380531,448.4443041580861,18
VBB1,261.4386261240051,668.0741667463897,406.6355406223845,16
NUMURSF1,102.91659398868485,640.8408167414133,537.9242227527284,34
MRTLSWF1,-144.0314189034167,611.3540894371761,755.3855083405928,19
DARLSF1,153.7943018560083,610.1152479265572,456.3209460705489,27
BULBES1,-48.00048259310005,584.0537505677826,632.0542331608826,38
HALLWF2,214.0956548914237,508.64654553217594,294.55089064075224,18
WPWF,68.57879901409397,503.93951652286773,435.36071750877375,17
RANGEB1,-248.42695915157248,503.75458692766546,752.1815460792379,14
MERCER01,-238.87374818722705,490.6005980801619,729.474346267389,18
RIVNB2,9.504214972615898,485.43532997445664,475.93111500184074,18
GLENSF1,58.00080577446971,469.92415171979695,411.92334594532724,33
HALLWF1,205.22329435421477,458.51320792557334,253.28991357135857,18
MACARTH1,11.052504130345552,453.5755175268827,442.5230133965371,22
GIRGSF,18.119475300277028,435.7285153583997,417.6090400581228,33
STOCKYD1,228.81172178264177,435.6030343059653,206.79131252332354,11
HILLSTN1,12.04798471020632,430.55122567681906,418.5032409666128,24
GANNB1,-19.82804731628152,402.1982645189185,422.0263118352001,49
ELAINWF1,147.77322403838596,380.79044670303944,233.01722266465347,18
WINTSF1,-18.383250998008318,361.03507856095575,379.41832955896405,33
BNGSF2,-60.187727501788316,353.49494783882466,413.68267534061306,17
HDWF3,66.28244478104627,350.9262512884525,284.6438065074063,18
RYANCWF1,55.49961366894633,346.4956975867992,290.99608391785284,21
COLEASF1,39.45708554603767,343.21813844959775,303.7610529035601,27
WUNUSF1,11.41241170893757,340.10316719164086,328.69075548270337,29
VBBL1,183.61103810775296,323.25886990801575,139.64783180026282,1
BHB1,-151.2863583257235,319.13945667885343,470.425815004577,47
HDWF2,11.599750100204119,316.6584293799378,305.0586792797337,18
YENDWF1,-385.5684283748323,311.4974138918123,697.0658422666446,23
OAKLAND1,-16.630797486706378,286.4982443592434,303.12904184594976,19
HDWF1,-12.05317589026993,277.6882199288143,289.74139581908423,18
COHUNSF1,76.10627445814652,273.10195585911816,196.9956814009716,49
WATERLWF,56.011829667747335,265.8252182051435,209.8133885373962,15
HD1WF1,-236.63589957394888,255.44837102831076,492.08427060225966,21
KIATAWF1,-149.6372836577858,250.14547462977959,399.78275828756534,51
BALB1,164.1686331277638,249.38763560813624,85.21900248037244,23
TEMPB1,67.54091404301923,245.01208707382398,177.47117303080475,10
GPWFEST3,216.00746617569803,242.76156363528233,26.7540974595843,5
PAREPS1,-9.055941009049349,235.24465903078152,244.30060003983084,17
BLUFF1,100.55632970104354,231.823290766299,131.26696106525546,18
LGAPWF1,70.04227146695396,230.83732811405025,160.7950566470963,17
DPNTB1,3.9840904959303542,220.6817287502445,216.69763825431414,18
HBESS1,-2.9436690025442402,213.99961626527735,216.9432852678216,15
MOKOSF1,0.9154670416040788,206.36381899217855,205.44835195057445,29
GPWFWST1,-250.8003607885894,185.4650729792148,436.2654337678042,2
LGAPWF2,73.06211224201392,182.52973277156485,109.46762052955094,17
LOYYB2,-14.422276729968175,171.66223969026046,186.08451642022865,4
SNOWNTH1,114.78834135170099,167.18143478404565,52.39309343234468,12
SNOWSTH1,46.24617436609923,161.89733015148713,115.65115578538787,12
CATHROCK,-48.29530413902268,155.73694847846096,204.03225261748364,17
BNGSF1,-33.721211886705824,154.67110674138206,188.39231862808788,17
MTGELWF1,19.325244787231334,148.59726709532578,129.27202230809445,19
SALTCRK1,-74.82950653950286,147.55322234372971,222.3827288832326,19
MREHA3,107.38997090069284,143.1867376443418,35.79676674364896,3
BALDHWF1,71.00720478222225,130.25195478453554,59.24475000231329,15
MREHA1,-137.17417499454845,125.28868360277136,262.46285859731984,3
LOYYB1,-7.748057610143569,125.09553346428422,132.84359107442776,4
LKBONNY2,52.8938388972558,121.92639397085145,69.03255507359566,21
DUNDWF1,44.0706092374359,117.04386390460566,72.97325466716977,11
GPWFEST2,-111.4386080870065,109.4880804309687,220.9266885179752,5
GPWFEST1,-94.47997294125229,106.90987882326121,201.3898517645135,5
CLEMGPWF,26.019457096196305,100.10835160525667,74.08889450906037,17
MTMILLAR,-132.00306535517163,95.82312154235099,227.8261868975226,17
DUNDWF3,42.544270247886445,93.88607920410249,51.34180895621605,11
LBB1,-11.103824256681206,90.6181197584703,101.7219440151515,21
MREHA2,-120.35755544519222,81.97459584295612,202.33215128814834,3
CHYTWF1,24.129092873221133,78.54146421913023,54.41237134590911,14
RESS1,-30.38951479625682,70.53842628208784,100.92794107834467,20
LKBONNY1,19.92482149291425,69.64628193123113,49.72146043831688,21
CNUNDAWF,42.3537557044616,60.10420473398189,17.750449029520293,21
LKBONNY3,5.548770539851132,44.40160953446144,38.85283899461031,21
DALNTH1,-22.828447123504255,43.92791803060862,66.75636515411287,17
DUNDWF2,10.91855756954018,38.481797263711385,27.56323969417121,11
MWPS3PV1,23.098667272859107,36.009328263006495,12.910660990147388,18
MWPS4PV1,5.515783025553934,33.39868746576934,27.882904440215412,18
MWPS1PV1,-20.24280729155218,31.515359350724697,51.75816664227687,18
VBBG1,-1.7763568394002505e-15,29.30880420499343,29.30880420499343,1
MWPS2PV1,18.447601304035715,28.739685206539527,10.292083902503807,18
LVES1,24.660944206008583,24.660944206008583,-0.0,2
WKIEWA1,-39.9420445386442,24.32914190203377,64.27118644067797,15
GPWFWST2,-175.07481628324194,20.00782494226328,195.08264122550523,2
MCKAY1,19.148936170212767,19.148936170212767,-0.0,15
LYA3,-111.8215498892918,18.762123311432273,130.58367320072406,4
LYA1,-107.46961855881969,18.410303915900105,125.87992247471979,4
LYA4,-92.07320006677458,17.150224651773982,109.22342471854856,4
EILDON1,17.109067017082783,17.109067017082783,-0.0,3
RESS1L,-10.639534883720932,13.193023255813953,23.832558139534886,2
LYA2,-50.65754617608411,13.16686780551901,63.824413981603115,4
TB2B1,-3.488388480000001,11.120000000000001,14.608388480000002,7
TBSF1,8.594416690000003,10.778930610000002,2.18451392,7
TB2SF1,4.203282,10.302518,6.099236,7
WKIEWA2,9.24026439121779,9.240264391217789,-0.0,12
MORTLK11,7.185903983656793,7.185903983656793,-0.0,11
CRWASF1,-13.396553096234307,6.008048619246863,19.40460171548117,6
FINLYSF1,-20.741015348675035,6.002535948396097,26.743551297071132,6
PIBESS1,3.3602901273034806,5.861913558265824,2.5016234309623435,15
JLA03,3.7606382978723407,3.7606382978723407,-0.0,4
JLA02,3.7606382978723407,3.7606382978723407,-0.0,4
JLA01,3.7606382978723407,3.7606382978723407,-0.0,4
MAPS2PV1,3.6780657585825027,3.746485758582503,0.06842000000000006,3
MAPS3PV1,3.3861592248062022,3.484099224806202,0.09793999999999999,3
LANCSF1,2.985174225941421,2.9851742259414213,-0.0,7
LADBROK1,-15.59090909090909,1.75,17.34090909090909,20
GOESF1,-9.10891454965358,1.7160277136258644,10.824942263279443,6
MORTLK12,1.0,1.0,-0.0,11
AVLSF1,-14.314204690987124,0.15231630901287554,14.466520999999998,3
MBPS2PV1,-0.6446590465116278,0.08724000000000001,0.7318990465116278,7
MANNSF2,-0.6316200000000001,0.03992999999999979,0.6715499999999999,3
ANGAST1,0.0,0.0,-0.0,13
AGLHAL,0.0,0.0,-0.0,18
AGLSOM,0.0,0.0,-0.0,3
CGBESS01,0.0,0.0,-0.0,2
BULBESG1,0.0,0.0,-0.0,1
