season_year,season,direction,events,median_drop_mw,near_mpc_events,mpc_events,valid_hours,events_per_1000h,season_label
2024,Spring,lower,321,274.31813999999997,0,0,2184.0,146.97802197802199,2024 Spring
2024,Spring,upper,390,195.39773499999998,0,0,2184.0,178.57142857142858,2024 Spring
2025,Autumn,lower,431,260.93798000000004,0,0,2208.0,195.19927536231884,2025 Autumn
2025,Autumn,upper,441,219.41872,0,0,2208.0,199.72826086956522,2025 Autumn
2025,Spring,lower,610,259.96362,0,0,2184.0,279.3040293040293,2025 Spring
2025,Spring,upper,513,280.51982,0,0,2184.0,234.8901098901099,2025 Spring
2025,Summer,lower,411,356.71245,0,0,2160.0,190.27777777777777,2025 Summer
2025,Summer,upper,378,266.60423,2,0,2160.0,175.0,2025 Summer
2025,Winter,lower,518,167.03934499999997,0,0,2208.0,234.6014492753623,2025 Winter
2025,Winter,upper,724,295.506935,1,0,2208.0,327.8985507246377,2025 Winter
2026,Autumn,lower,574,223.29704999999998,0,0,2208.0,259.963768115942,2026 Autumn
2026,Autumn,upper,436,189.78454499999998,0,0,2208.0,197.46376811594203,2026 Autumn
2026,Summer,lower,488,307.97119499999997,0,0,2160.0,225.92592592592592,2026 Summer
2026,Summer,upper,447,241.06846000000002,0,0,2160.0,206.94444444444446,2026 Summer
2026,Winter,lower,517,209.77365999999998,0,0,2208.0,234.1485507246377,2026 Winter
2026,Winter,upper,532,208.41556500000004,4,2,2208.0,240.94202898550725,2026 Winter
