month,direction,threshold_mw,positive_falls
2024-08,upper,,21
2024-09,upper,131.39364700000007,3158
2024-10,upper,122.97243,3826
2024-11,upper,155.6241,3293
2024-12,upper,213.80179800000028,3314
2025-01,upper,200.1500219999999,3290
2025-02,upper,222.31727499999997,3352
2025-03,upper,202.5880520000001,3219
2025-04,upper,123.96194599999995,3787
2025-05,upper,159.086125,4416
2025-06,upper,281.61367000000007,4346
2025-07,upper,127.45564,4371
2025-08,upper,169.52420099999998,4510
2025-09,upper,196.338682,4195
2025-10,upper,184.53307900000004,4164
2025-11,upper,265.29214,3916
2025-12,upper,196.428785,4356
2026-01,upper,161.983094,4415
2026-02,upper,214.535278,4050
2026-03,upper,167.064406,4087
2026-04,upper,127.471456,3972
2026-05,upper,156.747496,3770
2026-06,upper,187.71878200000003,4042
2026-07,upper,135.61560499999996,4472
2026-08,upper,159.999264,4413
2026-09,upper,,1
2024-08,lower,,11
2024-09,lower,145.761205,2426
2024-10,lower,229.518666,2985
2024-11,lower,241.8782780000003,2699
2024-12,lower,256.19691800000004,3079
2025-01,lower,248.30226800000003,3307
2025-02,lower,325.25487,3651
2025-03,lower,258.14219,3707
2025-04,lower,165.223478,4085
2025-05,lower,168.09272000000004,4457
2025-06,lower,129.41101700000002,4342
2025-07,lower,125.77279200000004,4343
2025-08,lower,149.42642300000006,4568
2025-09,lower,169.00970999999993,4441
2025-10,lower,211.36677800000004,4417
2025-11,lower,211.80703,4236
2025-12,lower,256.38203500000003,4384
2026-01,lower,202.834965,4386
2026-02,lower,251.84298,3971
2026-03,lower,224.276324,4442
2026-04,lower,156.884857,4394
2026-05,lower,123.26881,4366
2026-06,lower,126.78975400000004,4408
2026-07,lower,185.03895,4441
2026-08,lower,160.29418600000005,4213
2026-09,lower,,0
