time,region,rrp,contraction_events,linked_events
2025-06-12 19:25:00,VIC1,17499.91,VSA-upper-20250612T1830,1
2025-06-12 19:55:00,VIC1,17500.0,,0
2025-06-26 20:45:00,VIC1,15909.60546,,0
2024-09-06 09:55:00,SA1,17499.98,,0
2024-10-17 10:25:00,SA1,17500.0,VSA-lower-20241017T0930;VSA-lower-20241017T0955;VSA-lower-20241017T1010;VSA-upper-20241017T1050;VSA-upper-20241017T1115,5
2024-10-22 14:55:00,SA1,17500.0,,0
2024-12-15 14:30:00,SA1,17406.0,VSA-lower-20241215T1515;VSA-upper-20241215T1450,2
2025-02-01 18:00:00,SA1,17411.99,VSA-upper-20250201T1720;VSA-upper-20250201T1810,2
2025-02-01 18:10:00,SA1,17407.99,VSA-upper-20250201T1720;VSA-upper-20250201T1810,2
2025-02-12 18:45:00,SA1,17500.0,VSA-lower-20250212T1830;VSA-lower-20250212T1900,2
2025-02-12 19:00:00,SA1,17500.0,VSA-lower-20250212T1830;VSA-lower-20250212T1900,2
2025-06-12 19:25:00,SA1,16374.83797,VSA-upper-20250612T1830,1
2025-06-12 19:55:00,SA1,16963.65286,,0
2025-12-28 22:45:00,SA1,20299.99,,0
2026-01-06 19:30:00,SA1,20217.17,VSA-lower-20260106T1915;VSA-lower-20260106T2010,2
2026-01-06 19:40:00,SA1,20217.17,VSA-lower-20260106T1915;VSA-lower-20260106T2010,2
2026-01-18 19:00:00,SA1,20217.17,VSA-lower-20260118T1820;VSA-lower-20260118T1855;VSA-lower-20260118T1910,3
2026-01-18 19:30:00,SA1,20300.0,VSA-lower-20260118T1855;VSA-lower-20260118T1910,2
2026-01-26 19:10:00,SA1,19440.55,VSA-lower-20260126T1900,1
2026-01-26 20:20:00,SA1,19440.55,,0
2026-01-26 21:35:00,SA1,19445.56,,0
2026-02-07 05:30:00,SA1,20300.0,,0
2026-06-21 19:45:00,SA1,20299.98,VSA-lower-20260621T2030;VSA-upper-20260621T1955;VSA-upper-20260621T2010;VSA-upper-20260621T2035,4
2026-06-21 20:10:00,SA1,20217.17,VSA-lower-20260621T2030;VSA-upper-20260621T1955;VSA-upper-20260621T2010;VSA-upper-20260621T2035;VSA-upper-20260621T2050,5
2026-06-22 07:20:00,SA1,20300.0,VSA-lower-20260622T0640;VSA-upper-20260622T0630;VSA-upper-20260622T0720,3
