ic,name,direction,direction_label,intervals,start,end,flow_median,flow_p05,flow_p95,capacity_median,capacity_p10,tight_capacity_p10,headroom_median,restricted_rate,forced_rate,missing_capacity
N-Q-MNSP1,Directlink,forward,NSW → QLD,52608,2023-09-01 00:30:00,2026-09-01,-17.0,-115.83085416666667,80.43853641666654,38.8504075,-40.6140335,-54.23865699999996,53.826440833333336,0.3867852798053528,0.27123251216545013,0
N-Q-MNSP1,Directlink,reverse,QLD → NSW,52608,2023-09-01 00:30:00,2026-09-01,17.0,-80.43853641666666,115.83085416666663,84.4418375,6.241286500000006,-14.113907999999995,78.56028166666667,0.21034823600973235,0.09198220802919709,0
NSW1-QLD1,QNI,forward,NSW → QLD,52608,2023-09-01 00:30:00,2026-09-01,-270.21260083333334,-995.3076734166666,513.2561624166655,553.7353133333334,67.9162293333334,34.237354,689.15004,0.22008059610705596,0.065180200729927,0
NSW1-QLD1,QNI,reverse,QLD → NSW,52608,2023-09-01 00:30:00,2026-09-01,270.21260083333334,-513.2561624166666,995.3076734166666,964.1445483333332,349.17024033333337,285.95170600000006,564.9025300000001,0.1385720802919708,0.005531478102189781,0
T-V-MNSP1,Basslink,forward,TAS → VIC,52608,2023-09-01 00:30:00,2026-09-01,-134.47791,-469.9648373333333,417.7011994166665,-120.00103,-242.2333355,-261.5,130.88910916666666,0.6942860401459854,0.5897772201946472,0
T-V-MNSP1,Basslink,reverse,VIC → TAS,52608,2023-09-01 00:30:00,2026-09-01,134.47791,-417.70119941666667,469.9648373333333,302.1743466666667,-182.55501066666665,-198.67191999999997,35.52399166666662,0.4139484489051095,0.21970042579075424,0
V-S-MNSP1,Murraylink,forward,VIC → SA,52608,2023-09-01 00:30:00,2026-09-01,41.177211666666665,-133.85607441666667,171.58419233333333,109.66666666666667,-51.17001016666666,-77.35844999999995,8.708298333333333,0.3583675486618005,0.1656021897810219,0
V-S-MNSP1,Murraylink,reverse,SA → VIC,52608,2023-09-01 00:30:00,2026-09-01,-41.177211666666665,-171.58419233333333,133.85607441666653,0.0,-154.40450466666667,-163.41483,40.55052,0.6154577250608273,0.4290412104622871,0
V-SA,Heywood,forward,VIC → SA,52608,2023-09-01 00:30:00,2026-09-01,50.32201583333334,-492.11466674999997,559.2454669166664,419.8697608333333,26.650721166666678,-41.6297939999999,262.60889833333334,0.2881500912408759,0.08211678832116788,0
V-SA,Heywood,reverse,SA → VIC,52608,2023-09-01 00:30:00,2026-09-01,-50.32201583333334,-559.2454669166666,492.11466674999974,460.0,2.8876473333333386,-61.61265499999998,363.32167166666665,0.2854698905109489,0.09831204379562043,0
VIC1-NSW1,VNI,forward,VIC → NSW,52608,2023-09-01 00:30:00,2026-09-01,210.8787941666667,-534.1074743333332,1082.1242999166661,756.1302825,-54.34616833333332,-193.00502699999996,230.49394666666672,0.2507793491484185,0.12870666058394162,0
VIC1-NSW1,VNI,reverse,NSW → VIC,52608,2023-09-01 00:30:00,2026-09-01,-210.8787941666667,-1082.1242999166666,534.1074743333331,455.2296225,71.86089600000003,-0.0,696.9205141666666,0.233481599756691,0.05480155109489051,0
