ic,name,direction,constraint,DUID,contribution_rows,active_intervals,total_abs_impact,p95_abs_impact,total_tightening,p95_tightening,total_relief,contraction_rows,forced_rows,sensitivity_median,sensitivity_max_abs,mean_abs_impact,mean_tightening,tightening_rank,impact_rank,relief_rank,season_blocks
N-Q-MNSP1,Directlink,lower,N>>NIL_85_86_S,METZSF1,4648,4648,60845.98736555676,55.402059459459466,24825.378078324324,30.703275675675673,36020.60928723243,677,1650,1.0237837837837838,1.0237837837837838,13.09078902012839,5.3410882268339765,3.0,3.0,3.0,6
N-Q-MNSP1,Directlink,lower,N>>NIL_85_86_S,MOREESF1,4648,4648,11593.078647027027,11.023297297297296,5190.387659459459,6.955351351351351,6402.690987567567,677,1650,0.49189189189189186,0.49189189189189186,2.4942079705307716,1.1166926978183003,7.0,6.0,6.0,6
N-Q-MNSP1,Directlink,lower,N>>NIL_85_86_S,NESBESS1,1083,1083,2336.225459459459,21.621621621621617,1326.4957297297296,0.0,1009.7297297297297,156,104,1.081081081081081,1.081081081081081,2.1571795562875895,1.2248344688178483,8.0,8.0,8.0,2
N-Q-MNSP1,Directlink,lower,N>>NIL_85_86_S,NESBESS2,1083,1083,0.0,0.0,0.0,0.0,0.0,156,104,1.081081081081081,1.081081081081081,0.0,0.0,9.0,9.0,9.0,2
N-Q-MNSP1,Directlink,lower,N>>NIL_85_86_S,NEWENSF1,4648,4648,118795.67406486486,106.64135135135133,63197.47489729729,79.1243243243243,55598.19916756756,677,1650,1.081081081081081,1.081081081081081,25.558449669721355,13.596702860864305,2.0,2.0,2.0,6
N-Q-MNSP1,Directlink,lower,N>>NIL_85_86_S,NEWENSF2,4648,4648,122656.21042162161,108.1081081081081,65846.79623783783,81.37729729729729,56809.414183783774,677,1650,1.081081081081081,1.081081081081081,26.38902978089966,14.166694543424661,1.0,1.0,1.0,6
N-Q-MNSP1,Directlink,lower,N>>NIL_85_86_S,SAPHWF1,4648,4648,48442.2470196,38.968894054054054,23086.363212972974,26.454801081081076,25355.883806627025,677,1650,1.067027027027027,1.067027027027027,10.422170184939759,4.966945613806578,4.0,4.0,4.0,6
N-Q-MNSP1,Directlink,lower,N>>NIL_85_86_S,WRSF1,4648,4648,10081.47765971892,8.862561081081079,5209.380922821621,5.867557837837837,4872.096736897297,677,1650,0.907027027027027,0.907027027027027,2.1689926118156024,1.1207790281457877,6.0,7.0,7.0,6
N-Q-MNSP1,Directlink,lower,N>>NIL_85_86_S,WRWF1,4648,4648,30817.942222778376,24.28927675675676,15005.76841428108,17.14099675675676,15812.173808497297,677,1650,0.907027027027027,0.907027027027027,6.630366226931664,3.228435545241196,5.0,5.0,5.0,6
N-Q-MNSP1,Directlink,lower,N>>NIL_86_85_S,METZSF1,3909,3909,51191.24162804696,47.27450373532551,30384.3571316222,40.381371398078976,20806.884496424762,609,1354,1.023479188900747,1.023479188900747,13.09573845690636,7.772923287700742,3.0,4.0,5.0,8
N-Q-MNSP1,Directlink,lower,N>>NIL_86_85_S,MOREESF1,3909,3909,11097.33758153682,10.976424759871932,7077.931175880469,9.19540021344717,4019.4064056563498,609,1354,0.49199573105656347,0.49199573105656347,2.8389198213192173,1.8106756653569887,6.0,6.0,6.0,8
N-Q-MNSP1,Directlink,lower,N>>NIL_86_85_S,NESBESS1,629,629,3342.582710779082,53.36179295624333,2135.538954108858,0.0,1207.043756670224,114,61,1.0672358591248665,1.0672358591248665,5.3141219567235005,3.3951334723511257,8.0,8.0,8.0,3
N-Q-MNSP1,Directlink,lower,N>>NIL_86_85_S,NESBESS2,629,629,945.5709711846317,0.0,549.6264674493062,0.0,395.9445037353255,114,61,1.0672358591248665,1.0672358591248665,1.5032924820105433,0.8738099641483406,9.0,9.0,9.0,3
N-Q-MNSP1,Directlink,lower,N>>NIL_86_85_S,NEWENSF1,3909,3909,97637.29046958378,83.49431163287086,63812.33706510138,73.62860192102455,33824.95340448239,609,1354,1.0672358591248665,1.0672358591248665,24.977562156455303,16.324465864697206,2.0,2.0,2.0,8
N-Q-MNSP1,Directlink,lower,N>>NIL_86_85_S,NEWENSF2,3909,3909,104018.61604055496,89.29028815368194,67472.93931696904,76.48879402347917,36545.67672358591,609,1354,1.0672358591248665,1.0672358591248665,26.610032243682518,17.260920776917125,1.0,1.0,1.0,8
N-Q-MNSP1,Directlink,lower,N>>NIL_86_85_S,SAPHWF1,3909,3909,55731.74918890074,46.54855923159016,22006.82816435432,29.44397011739595,33724.92102454642,609,1354,1.0672358591248665,1.0672358591248665,14.257290659734137,5.629784641686959,4.0,3.0,3.0,8
N-Q-MNSP1,Directlink,lower,N>>NIL_86_85_S,WRSF1,3909,3909,7423.624253468516,6.749199573105655,4568.667467449306,4.903148345784418,2854.95678601921,609,1354,0.9071504802561365,0.9071504802561365,1.8991108348601986,1.168756067395576,7.0,7.0,7.0,8
N-Q-MNSP1,Directlink,lower,N>>NIL_86_85_S,WRWF1,3909,3909,37501.18954268943,37.65490928495197,14658.205431696904,17.520704375667016,22842.98411099253,609,1354,0.9071504802561365,0.9071504802561365,9.593550663261558,3.7498606885896404,5.0,5.0,4.0,8
N-Q-MNSP1,Directlink,lower,N>>NIL_8U_86_S,METZSF1,1235,1235,3194.4766155816433,18.95410885805763,1459.6025750266808,5.901387406616862,1734.8740405549627,110,149,1.024546424759872,1.024546424759872,2.5866207413616547,1.1818644332199846,3.0,3.0,3.0,7
N-Q-MNSP1,Directlink,lower,N>>NIL_8U_86_S,MOREESF1,1235,1235,776.9807897011739,4.403361792956242,324.13513678762007,1.4513874066168622,452.84565291355386,110,149,0.49199573105656347,0.49199573105656347,0.6291342426730153,0.26245760063774903,6.0,6.0,4.0,7
N-Q-MNSP1,Directlink,lower,N>>NIL_8U_86_S,NEWENSF1,771,771,1169.0673548345785,9.5878068303095,1060.445390085379,9.5878068303095,108.62196474919959,71,141,-0.14621131270010673,0.14621131270010673,1.516300071121373,1.3754155513429038,4.0,4.0,6.0,5
N-Q-MNSP1,Directlink,lower,N>>NIL_8U_86_S,NEWENSF2,771,771,1104.7616251867664,9.06875667022412,1018.6386996371399,9.06875667022412,86.12292554962647,71,141,-0.14621131270010673,0.14621131270010673,1.4328944554951575,1.3211915689197664,5.0,5.0,7.0,5
N-Q-MNSP1,Directlink,lower,N>>NIL_8U_86_S,SAPHWF1,1235,1235,18922.725720384202,46.94023479188901,8826.690501600853,35.53681963713981,10096.03521878335,110,149,1.0672358591248665,1.0672358591248665,15.322045117720002,7.14711781506142,1.0,1.0,1.0,7
N-Q-MNSP1,Directlink,lower,N>>NIL_8U_86_S,WRSF1,1235,1235,416.2786462113127,2.0311099252934905,221.4444946638207,1.0849519743863374,194.83415154749198,110,149,0.9071504802561365,0.9071504802561365,0.33706772972575927,0.17930728312859975,7.0,7.0,5.0,7
N-Q-MNSP1,Directlink,lower,N>>NIL_8U_86_S,WRWF1,1235,1235,8984.918196371398,24.74071504802561,4025.286125933831,18.355282817502662,4959.632070437567,110,149,0.9071504802561365,0.9071504802561365,7.275237405968744,3.2593409926589727,2.0,2.0,2.0,7
