ic,name,direction,direction_label,season,half_hour,half_hour_label,quarter_system,n,flow_mean,flow_median,flow_p05,flow_p95,capacity_median,capacity_p10,tight_capacity_median,headroom_median,utilization_median,restricted_rate,forced_rate,season_block,calendar_quarter
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,1,00:30,season_pooled,273,-24.728094725274726,-17.0,-94.04688733333332,24.933905999999997,32.86666666666667,-31.195838333333334,14.6,54.21841,0.26548672566371684,0.4652014652014652,0.3516483516483517,,
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,2,01:00,season_pooled,273,-24.71987962759463,-17.0,-90.04759866666664,18.51472266666662,38.81666666666667,-30.19381166666666,18.8,55.703595,0.2412553211318306,0.4542124542124542,0.36996336996337,,
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,3,01:30,season_pooled,273,-23.607813901098904,-17.0,-88.12493,19.472723999999996,33.653780000000005,-29.0,9.0,50.87715666666667,0.2053559182314174,0.46886446886446886,0.38461538461538464,,
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,4,02:00,season_pooled,273,-22.976472344322342,-17.0,-90.97332766666666,22.45167766666662,32.23590333333333,-29.0,16.83517,55.95446833333333,0.21237098338333799,0.48717948717948717,0.39194139194139194,,
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,5,02:30,season_pooled,273,-23.2488025946276,-17.0,-81.16364866666667,19.968411333333318,28.371955,-29.0,14.82541,55.31666666666666,0.2601624237739691,0.4981684981684982,0.38095238095238093,,
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,6,03:00,season_pooled,273,-24.239838284493285,-17.0,-88.96133499999999,20.19999999999997,32.71666666666667,-29.0,9.0,58.724333333333334,0.2129588839054235,0.47985347985347987,0.38461538461538464,,
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,7,03:30,season_pooled,273,-23.876367954822953,-17.0,-83.49531466666664,23.399999999999938,32.31666666666667,-29.0,17.0,60.009675,0.2991618624023349,0.4835164835164835,0.39194139194139194,,
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,8,04:00,season_pooled,273,-23.866675873015872,-17.0,-93.38413200000001,23.46339266666666,29.133333333333336,-29.0,16.99999,59.49977333333332,0.31903749215531224,0.48717948717948717,0.40293040293040294,,
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,9,04:30,season_pooled,273,-22.943803009768008,-17.0,-78.06666666666666,23.664864666666666,31.433333333333334,-29.0,6.8,52.86515333333333,0.24608580834955365,0.47985347985347987,0.39194139194139194,,
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,10,05:00,season_pooled,273,-21.890795610500614,-17.0,-74.6,23.960258666666654,25.000001666666666,-29.0,6.5,41.65,0.347247875877355,0.5091575091575091,0.41025641025641024,,
