ic,name,direction,direction_label,enso_state,n,months,oni_median,flow_median,capacity_median,capacity_p10,headroom_median,restricted_rate,forced_rate
N-Q-MNSP1,Directlink,forward,NSW → QLD,El Niño,11663,8,1.7,-29.0,-12.65,-68.49466366666667,18.02929333333333,0.6181942896338849,0.5155620337820458
N-Q-MNSP1,Directlink,forward,NSW → QLD,Neutral,39456,27,-0.1,-13.583333333333334,44.27276583333334,-32.016666666666666,62.172338333333336,0.33052007299270075,0.20838402270884024
N-Q-MNSP1,Directlink,reverse,QLD → NSW,El Niño,11663,8,1.7,29.0,97.83333333333333,34.94354633333333,79.0,0.11480751093200721,0.03566835291091486
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Neutral,39456,27,-0.1,13.583333333333334,80.78333333333333,-3.9329783333333332,78.38777416666666,0.23803730738037307,0.10523114355231143
NSW1-QLD1,QNI,forward,NSW → QLD,El Niño,11663,8,1.7,-98.29205,568.930575,317.33189566666664,639.4568883333334,0.0635342536225671,0.008402640829975135
NSW1-QLD1,QNI,forward,NSW → QLD,Neutral,39456,27,-0.1,-291.44527416666665,535.9894758333332,27.073284166666667,678.0714958333333,0.273367802108678,0.08414436334144364
NSW1-QLD1,QNI,reverse,QLD → NSW,El Niño,11663,8,1.7,98.29205,950.8788283333333,619.3669950000001,852.7294833333333,0.03429649318357198,0.0011146360284660893
NSW1-QLD1,QNI,reverse,QLD → NSW,Neutral,39456,27,-0.1,291.44527416666665,963.3033783333333,286.06705166666666,492.40801333333326,0.17459955393349555,0.007045823195458232
T-V-MNSP1,Basslink,forward,TAS → VIC,El Niño,11663,8,1.7,-394.32931833333333,-207.82466,-239.19667433333333,188.75938666666664,0.7799022549944268,0.7462059504415673
T-V-MNSP1,Basslink,forward,TAS → VIC,Neutral,39456,27,-0.1,-90.31384916666667,-80.00381833333333,-245.485705,125.0,0.6824564071370641,0.5540095296025953
T-V-MNSP1,Basslink,reverse,VIC → TAS,El Niño,11663,8,1.7,394.32931833333333,409.7165333333333,-187.70121866666665,0.0005550000000198452,0.25465146188802196,0.2050072880048015
T-V-MNSP1,Basslink,reverse,VIC → TAS,Neutral,39456,27,-0.1,90.31384916666667,267.6946908333333,-169.06072999999998,55.43601583333334,0.45022303325223034,0.20769971613949717
V-S-MNSP1,Murraylink,forward,VIC → SA,El Niño,11663,8,1.7,52.163621666666664,117.5,-8.333333333333334e-06,1.6666666624587378e-06,0.38232015776386863,0.1165223355911858
V-S-MNSP1,Murraylink,forward,VIC → SA,Neutral,39456,27,-0.1,39.0,108.5,-67.66666666666667,16.512494166666666,0.3487682481751825,0.18238037307380373
V-S-MNSP1,Murraylink,reverse,SA → VIC,El Niño,11663,8,1.7,-52.163621666666664,0.0,-161.28874233333335,10.333316666666676,0.7451770556460602,0.49172597101946325
V-S-MNSP1,Murraylink,reverse,SA → VIC,Neutral,39456,27,-0.1,-39.0,11.0,-152.2380275,48.49756000000001,0.5740318329278183,0.4132958231954582
V-SA,Heywood,forward,VIC → SA,El Niño,11663,8,1.7,28.355716666666666,433.28,103.67308533333333,339.04022499999996,0.2762582525936723,0.04647174826374003
V-SA,Heywood,forward,VIC → SA,Neutral,39456,27,-0.1,56.86445666666667,412.5930158333333,11.532625833333334,239.10315166666666,0.2900192619626926,0.09200121654501217
V-SA,Heywood,reverse,SA → VIC,El Niño,11663,8,1.7,-28.355716666666666,550.0,436.85544500000003,537.9346583333333,0.061476464031552776,0.009431535625482294
V-SA,Heywood,reverse,SA → VIC,Neutral,39456,27,-0.1,-56.86445666666667,379.60800416666666,-39.49305916666667,310.98166249999997,0.34828669910786697,0.12292173560421736
VIC1-NSW1,VNI,forward,VIC → NSW,El Niño,11663,8,1.7,246.64877,717.7213433333333,-146.97175733333333,120.60036500000001,0.3144988424933551,0.1740547029066278
VIC1-NSW1,VNI,forward,VIC → NSW,Neutral,39456,27,-0.1,201.68736416666667,765.221665,-27.03915,268.0286183333333,0.23099148418491483,0.1151662611516626
VIC1-NSW1,VNI,reverse,NSW → VIC,El Niño,11663,8,1.7,-246.64877,555.0061366666667,112.42846133333335,830.4924333333333,0.19420389265197632,0.040469861956614936
VIC1-NSW1,VNI,reverse,NSW → VIC,Neutral,39456,27,-0.1,-201.68736416666667,432.21024166666666,62.73000833333333,660.4259258333334,0.24731346309813462,0.05943329278183293
