ic,name,study_year,episodes,withdrawn_share,non_withdrawn,invoked_share,actual_window_share,start_shift_h_p50,end_shift_h_p50,early_return_share,overrun_share,lead_days_p50
N-Q-MNSP1,Directlink,1,127,0.18110236220472442,104,0.9903846153846154,1.0,0.15,-0.7,0.46153846153846156,0.057692307692307696,17.86346064814815
N-Q-MNSP1,Directlink,2,128,0.296875,90,1.0,1.0,0.10833333333333334,-0.95,0.4777777777777778,0.06666666666666667,14.763078703703703
NSW1-QLD1,QNI,1,201,0.22885572139303484,155,0.9935483870967742,1.0,0.06666666666666667,-0.9333333333333333,0.4838709677419355,0.03225806451612903,12.287847222222222
NSW1-QLD1,QNI,2,201,0.24875621890547264,151,0.9867549668874173,0.9867549668874173,0.11666666666666667,-0.4166666666666667,0.3825503355704698,0.087248322147651,15.809479166666666
T-V-MNSP1,Basslink,1,136,0.45588235294117646,74,1.0,0.9864864864864865,0.08333333333333333,-0.6,0.410958904109589,0.0410958904109589,14.162222222222223
T-V-MNSP1,Basslink,2,107,0.2523364485981308,80,1.0,0.9375,0.08333333333333333,-0.38333333333333336,0.3466666666666667,0.05333333333333334,15.697777777777778
V-S-MNSP1,Murraylink,1,419,0.36992840095465396,264,0.9962121212121212,0.9545454545454546,0.13333333333333333,-0.8583333333333334,0.45634920634920634,0.047619047619047616,14.285972222222222
V-S-MNSP1,Murraylink,2,365,0.3095890410958904,252,1.0,0.9325396825396826,0.11666666666666667,-0.5166666666666667,0.39574468085106385,0.03829787234042553,14.737175925925927
V-SA,Heywood,1,456,0.3618421052631579,291,1.0,0.9621993127147767,0.08333333333333333,-0.4166666666666667,0.36428571428571427,0.05357142857142857,12.685474537037038
V-SA,Heywood,2,345,0.3130434782608696,237,0.9957805907172996,0.9535864978902954,0.06666666666666667,-0.5,0.3893805309734513,0.035398230088495575,16.170810185185186
VIC1-NSW1,VNI,1,385,0.36103896103896105,246,0.9959349593495935,0.9512195121951219,0.13333333333333333,-0.825,0.4444444444444444,0.0641025641025641,12.791145833333333
VIC1-NSW1,VNI,2,295,0.3389830508474576,195,1.0,0.9538461538461539,0.11666666666666667,-0.7,0.42473118279569894,0.043010752688172046,19.978136574074075
