n_treated,n_matched,match_rate,treated_hours,treated_days,exact_share,effect_capacity,treated_capacity,control_capacity,effect_headroom,treated_headroom,control_headroom,effect_directional_flow,treated_directional_flow,control_directional_flow,effect_at_limit,treated_at_limit,control_at_limit,effect_restricted,treated_restricted,control_restricted,effect_forced_direction,treated_forced_direction,control_forced_direction,effect_tight_capacity,treated_tight_capacity,control_tight_capacity,effect_tightening,treated_tightening,control_tightening,effect_relief,treated_relief,control_relief,effect_capacity_pct,ci_lo_capacity,ci_hi_capacity,ci_lo_headroom,ci_hi_headroom,ci_lo_directional_flow,ci_hi_directional_flow,ci_lo_at_limit,ci_hi_at_limit,smd_before_temperature_mean,smd_after_temperature_mean,smd_before_vre_difference,smd_after_vre_difference,smd_before_residual_difference,smd_after_residual_difference,smd_before_half_hour,smd_after_half_hour,smd_before_other_count,smd_after_other_count,max_abs_smd_after,share_exact,share_count,share_coarse,ic,name,direction,GENCONSETID,state,share_of_invoked
9,9,1.0,4.5,1,0.1111111111111111,372.2598991666667,830.02855,457.7686508333333,188.87507916666658,835.9987433333334,601.3381233333333,248.90873916666663,13.35749166666667,-315.1818133333333,0.0,0.0,0.0,-0.5,0.0,0.5,0.0,0.0,0.0,374.65785000000005,814.7399,440.08205,66.1964033524406,293.83574209945004,223.93922922922923,226.05726276276283,438.84994281623443,184.16845378407143,61.693244041050995,372.2598991666667,372.2598991666667,188.87507916666658,188.87507916666658,248.90873916666663,248.90873916666663,0.0,0.0,1.9035476199244015,-0.038347165231810316,0.16673229852793212,-0.8528777607077154,-1.0924573682110927,-0.49799145862106975,0.0504267918412314,-0.016165548047157863,0.08894906803618773,0.0,0.8528777607077154,0.1111111111111111,0.6666666666666666,0.2222222222222222,NSW1-QLD1,QNI,forward,CA_BRIS_569B1432,booked_only,
9,9,1.0,4.5,1,0.1111111111111111,-73.78441166666676,437.9835666666667,619.9548966666667,268.0334166666665,622.6988033333332,311.39053166666656,-409.24116666666663,-13.35749166666667,393.4589766666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-121.94432,419.87894,541.82326,328.1234049492899,410.75402090263697,113.52486720521621,107.39567748478699,186.69489858012173,79.286607505071,-7.805349832359343,-73.78441166666676,-73.78441166666676,268.0334166666665,268.0334166666665,-409.24116666666663,-409.24116666666663,0.0,0.0,1.9035476199244015,-0.27566216168790747,0.16673229852793212,-1.1564947439727422,-1.0924573682110927,-0.5059849399204287,0.0504267918412314,-0.011148653825626052,0.08894906803618773,0.0,1.1564947439727422,0.1111111111111111,0.5555555555555556,0.3333333333333333,NSW1-QLD1,QNI,reverse,CA_BRIS_569B1432,booked_only,
108,101,0.9351851851851852,54.0,3,0.5643564356435643,-32.556968333333316,565.61132,537.6738216666666,-148.1348516666667,625.7090316666668,684.839595,7.781046666666725,-370.2574833333333,-256.1859058333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.12479000000002,539.86515,531.295205,7.581566380710697,488.36578927005064,446.34007920558383,68.18935873604059,536.9165296507615,366.0159356791878,-5.768046107279369,-382.28611,83.60730166666667,-259.01283666666666,315.7553416666666,-226.97658333333328,111.39912833333335,0.0,0.0,-1.2172169698439894,0.14626471536048258,0.6767785785949619,0.21807869875099734,0.742966740931799,-0.32050072447131783,0.07360078782931623,0.011859657308798656,0.09333131684255164,0.0,0.32050072447131783,0.5643564356435643,0.1188118811881188,0.31683168316831684,NSW1-QLD1,QNI,forward,CA_BRIS_57A00625,invoked_unbooked,1.0
108,101,0.9351851851851852,54.0,3,0.5643564356435643,55.31671000000006,1137.5352333333333,1131.8513458333332,60.270885000000135,805.4675266666668,744.7758366666667,-7.781046666666725,370.2574833333333,256.1859058333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1108.34511,1087.0,0.0,0.0,0.0,0.0,0.0,0.0,5.141382159301088,-54.3744833333335,86.47647333333339,-16.819888333333324,205.94921499999987,-113.61112666666668,226.97658333333328,0.0,0.0,-1.2172169698439894,0.14626471536048258,0.6767785785949619,0.21807869875099734,0.742966740931799,-0.32050072447131783,0.07360078782931623,0.011859657308798656,0.09333131684255164,0.0,0.32050072447131783,0.5643564356435643,0.1188118811881188,0.31683168316831684,NSW1-QLD1,QNI,reverse,CA_BRIS_57A00625,invoked_unbooked,1.0
20,18,0.9,10.0,2,1.0,-266.71194833333334,412.94416750000005,660.364845,-250.36489999999995,457.41032499999994,704.0021616666668,-16.356004166666672,-55.0879175,-99.52595333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-262.72321,360.93821,557.24615,533.5773515766497,556.23531,125.91993759060912,955.8929227373096,1196.3392399999998,267.04520736040604,-55.85525698225228,-354.6848066666666,-155.98575333333315,-438.74788500000005,-248.23082833333336,-18.679640000000006,-14.032368333333334,0.0,0.0,-0.8810374423005539,-0.6246742523438387,-0.3182664588641424,0.048432971773431734,-0.7534768767391941,-0.12543526801522595,-0.16930122871225434,-0.006714741633963535,0.08953571073916208,0.0,0.6246742523438387,1.0,0.0,0.0,NSW1-QLD1,QNI,forward,CA_BRIS_582D74B3,invoked_unbooked,1.0
20,18,0.9,10.0,2,1.0,-2.136884166666732,1118.206865,1122.6470533333334,25.51568791666665,1081.9877325,979.0000829166668,16.356004166666672,55.0879175,99.52595333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4580550000000585,1103.25601,1115.620895,0.0,0.0,0.0,0.0,0.0,0.0,-0.25147390017745713,-60.749591666666674,116.54144166666686,10.521532500000035,97.86180166666679,14.032368333333334,18.679640000000006,0.0,0.0,-0.8810374423005539,-0.6246742523438387,-0.3182664588641424,0.048432971773431734,-0.7534768767391941,-0.12543526801522595,-0.16930122871225434,-0.006714741633963535,0.08953571073916208,0.0,0.6246742523438387,1.0,0.0,0.0,NSW1-QLD1,QNI,reverse,CA_BRIS_582D74B3,invoked_unbooked,1.0
54,54,1.0,27.0,3,0.09259259259259259,82.6055541666667,671.3228866666666,524.9680641666666,-56.96507666666679,950.5995383333333,977.9354983333333,182.18829416666662,-236.281335,-472.45340583333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.05208000000002,639.748605,472.49014,225.99988122985178,409.90474934759925,179.66485820152295,288.3612537609604,432.5849407985387,88.2602801908142,14.635043419041645,24.911446666666677,161.7762633333333,-377.4774666666667,67.74416666666662,-151.71278833333335,452.4840266666666,0.0,0.0,-1.0056768945115535,-0.03413713983782109,0.5257359832172915,0.21242618785755255,0.36048785222628627,-0.1412086493716507,0.02052904132751388,-0.003332842980701358,0.09111345466008795,0.0,0.21242618785755255,0.09259259259259259,0.7592592592592593,0.14814814814814814,NSW1-QLD1,QNI,forward,CA_BRIS_59712B29,booked_only,
54,54,1.0,27.0,3,0.09259259259259259,21.54378250000002,1104.0206,1071.7603645833333,184.41869916666673,781.4900816666666,571.0637200000001,-204.25605333333337,236.281335,545.4654941666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.616539999999986,1093.0,1052.135345,0.0,0.0,0.0,0.0,0.0,0.0,2.0023753941505738,-508.6535908333334,21.621380000000045,-274.5032416666666,563.0548349999999,-470.7497016666666,148.59158499999995,0.0,1.0,-1.0056768945115535,-0.008816799382208997,0.5257359832172915,0.34465722299249335,0.36048785222628627,-0.2574078747323795,0.02052904132751388,-0.0013696614989183952,0.09111345466008795,0.0,0.34465722299249335,0.09259259259259259,0.6481481481481481,0.25925925925925924,NSW1-QLD1,QNI,reverse,CA_BRIS_59712B29,booked_only,
4,1,0.25,2.0,1,0.0,-115.12507666666681,656.6808516666666,771.8059283333334,-243.83014916666679,219.7425849999999,463.5727341666667,128.70507250000009,436.9382666666667,308.23319416666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-349.817205,416.76307,766.580275,6580.264272035585,7249.92922440652,669.6649523709351,4257.406787163475,4740.790152233683,483.3833650702079,-19.07924937910518,,,,,,,,,1.8712388475536936,-0.23517071473025733,2.8592908747063945,2.330080942245479,-4.297193524591194,-2.2746273389379534,0.508817114216463,-0.10174599759965504,0.08884784918407743,0.0,2.330080942245479,0.0,0.0,1.0,NSW1-QLD1,QNI,forward,CA_SYDS_566A36E5,invoked_unbooked,1.0
4,1,0.25,2.0,1,0.0,192.60470666666686,985.7777850000001,793.1730783333333,321.3097791666669,1422.7160516666668,1101.4062725,-128.70507250000009,-436.9382666666667,-308.23319416666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.18245999999988,911.42847,776.2460100000001,553.6440632887312,659.480187853067,105.83612456433578,-178.87844826767764,628.1846294793153,807.0630777469929,20.3748607725424,,,,,,,,,1.8712388475536936,-0.23517071473025733,2.8592908747063945,2.330080942245479,-4.297193524591194,-2.2746273389379534,0.508817114216463,-0.10174599759965504,0.08884784918407743,0.0,2.330080942245479,0.0,0.0,1.0,NSW1-QLD1,QNI,reverse,CA_SYDS_566A36E5,invoked_unbooked,1.0
