n_treated,n_matched,match_rate,treated_hours,treated_days,exact_share,effect_capacity,treated_capacity,control_capacity,effect_headroom,treated_headroom,control_headroom,effect_directional_flow,treated_directional_flow,control_directional_flow,effect_restricted,treated_restricted,control_restricted,effect_forced_direction,treated_forced_direction,control_forced_direction,effect_tight_capacity,treated_tight_capacity,control_tight_capacity,effect_tightening,treated_tightening,control_tightening,effect_relief,treated_relief,control_relief,effect_capacity_pct,ci_lo_capacity,ci_hi_capacity,ci_lo_headroom,ci_hi_headroom,ci_lo_directional_flow,ci_hi_directional_flow,smd_before_temperature_mean,smd_after_temperature_mean,smd_before_vre_difference,smd_after_vre_difference,smd_before_residual_difference,smd_after_residual_difference,smd_before_half_hour,smd_after_half_hour,smd_before_other_count,smd_after_other_count,max_abs_smd_after,share_exact,share_count,share_coarse,placebo_n,placebo_effect_capacity,placebo_ci_lo,placebo_ci_hi,placebo_clean,ic,name,direction,level,key,GENCONSETID,episodes,lead_share,tier,treated_at_limit,control_at_limit,effect_at_limit
7,7,1.0,3.5,1.0,0.0,109.52083000000005,716.3430733333333,636.1676166666666,-417.7687083333333,-1.6666666624587378e-06,545.6960966666666,532.9791216666666,716.3430783333333,183.36395666666667,0.0,0.0,0.0,0.0,0.0,0.0,81.63522999999998,671.90201,590.26678,878.5923959822753,2760.3695891466423,1514.9266785255195,893.8523891227524,2464.0245889772027,1076.8440686944161,18.15047849068315,109.52083000000005,109.52083000000005,-417.7687083333333,-417.7687083333333,532.9791216666666,532.9791216666666,2.043920175891225,-0.04366944090564129,0.4794020217361511,-0.7056785793781971,-3.4636712439787973,-2.2990435843027934,0.9600358051127846,0.004570424859875492,0.08893759591799529,0.0,2.2990435843027934,0.0,0.5714285714285714,0.42857142857142855,14.0,24.1242850000001,11.7343616666667,318.0062916666667,False,NSW1-QLD1,QNI,forward,K2,CA_BRIS_569B1432,CA_BRIS_569B1432,1,1.0,unsupported,0.7142857142857143,0.0,0.7142857142857143
7,7,1.0,3.5,1.0,0.0,-61.66363333333334,829.73266,930.1856550000001,531.7931816666669,1567.0967300000002,1035.3035483333333,-476.28677166666665,-716.3430783333333,-197.36146000000002,0.0,0.0,0.0,0.0,0.0,0.0,-172.12750000000005,731.20005,920.56051,319.11322239989744,613.6443358042897,314.0417281947262,905.7830243170607,1093.7188042359248,189.48990466531438,-6.523142479950664,-61.66363333333334,-61.66363333333334,531.7931816666669,531.7931816666669,-476.28677166666665,-476.28677166666665,2.043920175891225,-0.06695980938865002,0.4794020217361511,-0.7355977775001146,-3.4636712439787973,-2.2548565464573627,0.9600358051127846,0.005773168244052913,0.08893759591799529,0.0,2.2548565464573627,0.0,0.5714285714285714,0.42857142857142855,14.0,120.7152016666667,-41.6068283333334,352.9866916666666,True,NSW1-QLD1,QNI,reverse,K2,CA_BRIS_569B1432,CA_BRIS_569B1432,1,0.0,unsupported,0.0,0.0,0.0
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSW1-QLD1,QNI,forward,K2,CA_BRIS_57A00625,CA_BRIS_57A00625,0,,unsupported,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSW1-QLD1,QNI,reverse,K2,CA_BRIS_57A00625,CA_BRIS_57A00625,0,,unsupported,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSW1-QLD1,QNI,forward,K2,CA_BRIS_582D74B3,CA_BRIS_582D74B3,0,,unsupported,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSW1-QLD1,QNI,reverse,K2,CA_BRIS_582D74B3,CA_BRIS_582D74B3,0,,unsupported,,,
55,55,1.0,27.5,2.0,0.16363636363636364,119.44018249999988,668.6554783333333,533.0466483333333,29.61953666666659,1243.7358633333333,1262.3127583333335,27.8284799999999,-665.2666483333334,-714.2955066666667,0.0,0.0,0.0,0.0,0.0,0.0,106.38983000000007,651.11118,470.33562,161.00014245824633,430.3829602192067,23.656416849999996,159.90754196889353,415.7240825782883,24.214238999999996,21.160953092075744,102.02040166666677,140.52083333333337,-148.25801666666644,121.04359333333332,-76.0813516666667,206.44975999999997,-1.0668474006948314,0.013675044377890414,-0.9135155336616503,-0.2242682149154704,1.2381643986344137,0.010447648700817333,-0.02374215890922328,-0.0038813460311484253,0.09104281415683957,0.0,0.2242682149154704,0.16363636363636364,0.6363636363636364,0.2,110.0,59.18093916666666,-80.45557416666657,87.87114833333328,True,NSW1-QLD1,QNI,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,1,0.0,unsupported,0.0,0.0,0.0
55,55,1.0,27.5,2.0,0.16363636363636364,-122.28190333333328,1034.5280966666667,1120.7890916666668,-35.683081666666624,355.92290333333324,270.4108125000001,-54.48520083333335,665.2666483333334,762.217295,0.0,0.0,0.0,0.0,0.0,0.0,-105.20417999999995,844.19218,1094.08853,0.0,0.0,0.0,0.0,0.0,0.0,-11.365426400148875,-161.1214183333334,-8.565399999999954,-150.81994916666667,176.50069249999984,-207.4651750000001,16.94850166666663,-1.0668474006948314,0.02483438763817276,-0.9135155336616503,-0.20710932033181928,1.2381643986344137,-0.03428052032555636,-0.02374215890922328,-0.06893902398348561,0.09104281415683957,0.0,0.20710932033181928,0.16363636363636364,0.6363636363636364,0.2,110.0,-10.814492500000028,-66.19254500000011,52.771773333333385,True,NSW1-QLD1,QNI,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,1,0.2909090909090909,unsupported,0.12727272727272726,0.1,0.027272727272727254
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSW1-QLD1,QNI,forward,K2,CA_SYDS_566A36E5,CA_SYDS_566A36E5,0,,unsupported,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSW1-QLD1,QNI,reverse,K2,CA_SYDS_566A36E5,CA_SYDS_566A36E5,0,,unsupported,,,
