ic,name,direction,GENCONSETID,effect_capacity,effect_directional_flow,effect_headroom,ci_lo_directional_flow,ci_hi_directional_flow,flow_pass_through,headroom_absorbed,episodes,treated_hours,effect_at_limit,treated_at_limit,control_at_limit
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,-36.652375,-13.144375,-18.061046666666655,-23.17871870833333,-3.76627666666667,0.35862273590729116,0.49276606677375356,35,846.0,-0.0025046963055729565,0.12711333750782716,0.12961803381340012
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,11.678231666666676,13.144375,0.2703166666666732,3.996302125,23.5,,,35,846.0,-0.010958046336881633,0.1509079524107702,0.16186599874765184
N-Q-MNSP1,Directlink,forward,N-ARTW_86,-21.191974166666665,-7.5,-0.2306841666666699,-49.49091895833334,0.0,,,12,384.0,-0.10224274406332455,0.03825857519788918,0.14050131926121373
N-Q-MNSP1,Directlink,reverse,N-ARTW_86,11.589299166666656,6.922791666666667,-0.6489791666666633,0.0,49.49091895833334,,,12,384.0,0.1616094986807388,0.370712401055409,0.2091029023746702
N-Q-MNSP1,Directlink,forward,N-AVMA_17,2.247710833333336,7.4833333333333325,0.811083333333336,1.333333333333334,11.167719145833331,,,10,722.0,0.019200626959247652,0.13322884012539185,0.1140282131661442
N-Q-MNSP1,Directlink,reverse,N-AVMA_17,0.16025250000000568,-7.333333333333334,0.21666666666666856,-11.004166666666666,-1.3333333333333321,,,10,722.0,-0.07523510971786834,0.08072100313479624,0.15595611285266459
N-Q-MNSP1,Directlink,forward,N-CHKS_ONE,13.261638333333337,9.333333333333336,0.3826483333333215,2.664583333333331,17.116666666666667,,,10,202.5,0.08354114713216958,0.17955112219451372,0.09600997506234414
N-Q-MNSP1,Directlink,forward,N-DTMN_8_15M,-0.7832833333333298,2.1499999999999995,-0.31653666666665004,-3.1078100833333338,9.0,,,9,383.0,0.15752461322081576,0.21940928270042195,0.06188466947960619
N-Q-MNSP1,Directlink,reverse,N-DTMN_8_15M,-4.553865000000001,-2.0792783333333276,-0.0006233333333405255,-9.0,3.002673583333331,,,9,383.0,0.02250351617440227,0.2559774964838256,0.23347398030942335
N-Q-MNSP1,Directlink,forward,N-LDTM_82,1.7166149999999973,1.0767216666666677,0.23705916666665416,-1.5,4.0,,,13,1450.5,0.013420089467263113,0.12281415209434729,0.10939406262708418
N-Q-MNSP1,Directlink,reverse,N-LDTM_82,0.4166666666666714,-0.6666666666666679,0.0,-3.6175533333333334,1.6821958333333349,,,13,1450.5,0.01667344448962993,0.1642944286295242,0.14762098413989427
N-Q-MNSP1,Directlink,forward,N-LDTW_84,21.925416666666663,24.35135333333333,-3.3333333391283304e-06,8.0,48.237590000000004,,,7,226.5,0.027459954233409613,0.07780320366132723,0.05034324942791762
N-Q-MNSP1,Directlink,reverse,N-LDTW_84,-44.11819,-24.35135333333333,-0.3215466666666611,-48.237590000000004,-8.0,0.5519572161354156,0.0072883014164148874,7,226.5,-0.0022883295194507935,0.3112128146453089,0.3135011441647597
N-Q-MNSP1,Directlink,forward,N-TWUL_85,-12.798216666666647,-1.5347633333333448,-2.7524200000000008,-7.865285,4.929144604166661,,,5,343.0,0.045454545454545456,0.16363636363636364,0.11818181818181818
N-Q-MNSP1,Directlink,reverse,N-TWUL_85,-26.124665,1.16526,-6.906465000000008,-6.196535000000001,7.5,-0.04460382554187776,0.264365686603063,5,343.0,0.21983471074380168,0.33553719008264465,0.11570247933884298
N-Q-MNSP1,Directlink,forward,N-X_9U6_9G2,18.208765833333334,10.006506666666667,1.0125787499999888,-2.666666666666666,145.222005,,,5,39.5,0.032894736842105254,0.15789473684210525,0.125
N-Q-MNSP1,Directlink,reverse,N-X_9U6_9G2,-14.416509166666664,-8.0,-0.6820633333333319,-145.222005,-0.6666666666666679,,,5,39.5,0.04605263157894736,0.15789473684210525,0.1118421052631579
N-Q-MNSP1,Directlink,reverse,N-X_ARKK_CH_CB892A,14.216666666666669,8.166666666666666,0.4333333333333371,-0.8241233333333327,13.511818874999989,,,14,114.5,0.017777777777777767,0.12,0.10222222222222223
N-Q-MNSP1,Directlink,forward,N-X_AVMA_SSWW,-0.1825716666666608,-9.756256666666665,0.5833333333333144,-16.414451666666665,-0.16744333333332406,,,10,102.5,-0.04093567251461988,0.22807017543859648,0.26900584795321636
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_SSWW,9.216666666666654,9.756256666666665,0.35713500000001375,0.16743545833332477,16.107329916666657,,,10,102.5,-0.05847953216374269,0.08771929824561403,0.14619883040935672
N-Q-MNSP1,Directlink,forward,N-X_LPSS_MPWW,-0.2709549999999936,3.066666666666668,-0.14999999999999147,-10.89012020833334,12.60318199999998,,,5,535.0,0.023143164693218518,0.10333692142088267,0.08019375672766416
N-Q-MNSP1,Directlink,reverse,N-X_LPSS_MPWW,3.316666666666677,-2.6797183333333336,4.9999999873762135e-06,-13.009152499999999,12.314499041666663,,,5,535.0,-0.06942949407965554,0.11517761033369214,0.18460710441334768
N-Q-MNSP1,Directlink,forward,Q-BKBM,-0.10744000000001108,-14.566350000000007,3.836595000000006,-24.855293333333336,-4.414148333333333,,,14,480.5,-0.0743321718931475,0.1521486643437863,0.2264808362369338
