ic,GENCONSETID,DUID,duid_region,dispatch_type,sensitivity,example_equation
N-Q-MNSP1,CA_BRIS_57A00625,WRWF1,NSW1,GENERATOR,0.4641,CA_BRIS_57A00625_1
N-Q-MNSP1,CA_BRIS_57A00625,WRSF1,NSW1,GENERATOR,0.4641,CA_BRIS_57A00625_1
N-Q-MNSP1,CA_BRIS_57A00625,SAPHWF1,NSW1,GENERATOR,0.438,CA_BRIS_57A00625_1
N-Q-MNSP1,CA_BRIS_57A00625,NEWENSF1,NSW1,GENERATOR,0.4173,CA_BRIS_57A00625_1
N-Q-MNSP1,CA_BRIS_57A00625,NEWENSF2,NSW1,GENERATOR,0.4173,CA_BRIS_57A00625_1
N-Q-MNSP1,CA_BRIS_57A00625,METZSF1,NSW1,GENERATOR,0.411,CA_BRIS_57A00625_1
N-Q-MNSP1,CA_BRIS_57A00625,MOREESF1,NSW1,GENERATOR,0.3695,CA_BRIS_57A00625_1
N-Q-MNSP1,CA_BRIS_57A00625,GNNDHSF1,NSW1,GENERATOR,0.3041,CA_BRIS_57A00625_1
N-Q-MNSP1,CA_BRIS_57A00625,HEZ1,NSW1,GENERATOR,-0.0823,CA_BRIS_57A00625_1
N-Q-MNSP1,CA_BRIS_59712B29,METZSF1,NSW1,GENERATOR,0.6977,CA_BRIS_59712B29_1
N-Q-MNSP1,CA_BRIS_59712B29,WRSF1,NSW1,GENERATOR,0.6975,CA_BRIS_59712B29_1
N-Q-MNSP1,CA_BRIS_59712B29,WRWF1,NSW1,GENERATOR,0.6975,CA_BRIS_59712B29_1
N-Q-MNSP1,CA_BRIS_59712B29,SAPHWF1,NSW1,GENERATOR,0.595,CA_BRIS_59712B29_1
N-Q-MNSP1,CA_BRIS_59712B29,NEWENSF2,NSW1,GENERATOR,0.5657,CA_BRIS_59712B29_1
N-Q-MNSP1,CA_BRIS_59712B29,NEWENSF1,NSW1,GENERATOR,0.5657,CA_BRIS_59712B29_1
N-Q-MNSP1,CA_BRIS_59712B29,MOREESF1,NSW1,GENERATOR,0.556,CA_BRIS_59712B29_1
N-Q-MNSP1,CA_BRIS_59712B29,GNNDHSF1,NSW1,GENERATOR,0.4206,CA_BRIS_59712B29_1
N-Q-MNSP1,CA_SYDS_566A36E5,CALLNL2,QLD1,GENERATOR,-11.26126126126126,CA_SYDS_566A36E5_1
N-Q-MNSP1,CA_SYDS_566A36E5,CPP_3,QLD1,GENERATOR,-11.26126126126126,CA_SYDS_566A36E5_1
N-Q-MNSP1,CA_SYDS_566A36E5,CPP_4,QLD1,GENERATOR,-11.26126126126126,CA_SYDS_566A36E5_1
N-Q-MNSP1,CA_SYDS_566A36E5,CALLNL3,QLD1,GENERATOR,-11.26126126126126,CA_SYDS_566A36E5_1
N-Q-MNSP1,CA_SYDS_566A36E5,CALL_B_2,QLD1,GENERATOR,-11.26126126126126,CA_SYDS_566A36E5_1
N-Q-MNSP1,CA_SYDS_566A36E5,CALL_B_1,QLD1,GENERATOR,-11.26126126126126,CA_SYDS_566A36E5_1
N-Q-MNSP1,CA_SYDS_566A36E5,MOUSF1,QLD1,GENERATOR,-10.829954954954955,CA_SYDS_566A36E5_1
N-Q-MNSP1,CA_SYDS_566A36E5,EMERASF1,QLD1,GENERATOR,-9.097972972972972,CA_SYDS_566A36E5_1
N-Q-MNSP1,CA_SYDS_566A36E5,MIDDLSF1,QLD1,GENERATOR,-9.024774774774775,CA_SYDS_566A36E5_1
N-Q-MNSP1,CA_SYDS_566A36E5,BARCALDN,QLD1,GENERATOR,-9.019144144144143,CA_SYDS_566A36E5_1
N-Q-MNSP1,CA_SYDS_59839EB2,METZSF1,NSW1,GENERATOR,0.7041,CA_SYDS_59839EB2_2
N-Q-MNSP1,CA_SYDS_59839EB2,WRWF1,NSW1,GENERATOR,0.7038,CA_SYDS_59839EB2_2
N-Q-MNSP1,CA_SYDS_59839EB2,WRSF1,NSW1,GENERATOR,0.7038,CA_SYDS_59839EB2_2
N-Q-MNSP1,CA_SYDS_59839EB2,SAPHWF1,NSW1,GENERATOR,0.6035,CA_SYDS_59839EB2_1
N-Q-MNSP1,CA_SYDS_59839EB2,NEWENSF2,NSW1,GENERATOR,0.5749,CA_SYDS_59839EB2_1
N-Q-MNSP1,CA_SYDS_59839EB2,NEWENSF1,NSW1,GENERATOR,0.5749,CA_SYDS_59839EB2_1
N-Q-MNSP1,CA_SYDS_59839EB2,MOREESF1,NSW1,GENERATOR,0.5654,CA_SYDS_59839EB2_1
N-Q-MNSP1,CA_SYDS_59839EB2,GNNDHSF1,NSW1,GENERATOR,0.4328,CA_SYDS_59839EB2_2
N-Q-MNSP1,N-96L_96R_CB4102,WRWF1,NSW1,GENERATOR,-0.1065,N>>96L_96R_96C_87
N-Q-MNSP1,N-96L_96R_CB4102,WRSF1,NSW1,GENERATOR,-0.1065,N>>96L_96R_96C_87
N-Q-MNSP1,N-96L_96R_CB4102,MOREESF1,NSW1,GENERATOR,-0.08176,N>>96L_96R_96C_87
N-Q-MNSP1,N-96L_96R_CB4102,SAPHWF1,NSW1,GENERATOR,-0.07661,N>>96L_96R_96C_87
N-Q-MNSP1,N-96L_96R_CB4102,NEWENSF2,NSW1,GENERATOR,-0.07277,N>>96L_96R_96C_87
N-Q-MNSP1,N-96L_96R_CB4102,NEWENSF1,NSW1,GENERATOR,-0.07277,N>>96L_96R_96C_87
N-Q-MNSP1,N-ARTW_86,SAPHWF1,NSW1,GENERATOR,1.0,F_NVS++86_R5
N-Q-MNSP1,N-ARTW_86,NESBESS1,NSW1,BIDIRECTIONAL,1.0,F_NVS++86_R5
N-Q-MNSP1,N-ARTW_86,NESBESS2,NSW1,BIDIRECTIONAL,1.0,F_NVS++86_R5
N-Q-MNSP1,N-ARTW_86,NEWENSF1,NSW1,GENERATOR,1.0,F_NVS++86_R5
