ic,direction,asset,asset_description,voltage_kv,substation,region,area_label,families,episodes_listed,electrically_near,plants_within_50km,published_level,published_key,tier,effect_capacity,effect_capacity_pct,ci_lo_capacity,ci_hi_capacity,effect_at_limit,effect_directional_flow,effect_headroom,treated_capacity,control_capacity,treated_hours,episodes,match_rate,name
N-Q-MNSP1,forward,4/LINE/4,CollctorWF-Marulan 4 330kV LINE,330.0,,,,N-AVMA_17|N-X_4+17_WG_CLOSE,2,ER03 (+6.71); ER04 (+6.71); TARALGA1 (+4.15); TALWA1 (+4.15); TALWB1 (+4.15); CROOKWF3 (+4.14),,K2,N-AVMA_17,supported,2.247710833333336,4.3528157620061565,-2.7206994583333337,7.469225500000001,0.019200626959247652,7.4833333333333325,0.811083333333336,48.16598833333333,45.29814833333333,722.0,10.0,0.8836565096952909,Directlink
N-Q-MNSP1,reverse,4/LINE/4,CollctorWF-Marulan 4 330kV LINE,330.0,,,,N-AVMA_17|N-X_4+17_WG_CLOSE,2,ER03 (+6.71); ER04 (+6.71); TARALGA1 (+4.15); TALWA1 (+4.15); TALWB1 (+4.15); CROOKWF3 (+4.14),,K2,N-AVMA_17,supported,0.16025250000000568,0.19497628840504153,-4.799999999999997,6.402884749999997,-0.07523510971786834,-7.333333333333334,0.21666666666666856,78.38333333333333,79.14166666666667,722.0,10.0,0.8836565096952909,Directlink
N-Q-MNSP1,forward,ALSTONVL/CB/5B1,Alstonvill AVE5B1 66kV CB,66.0,Alstonville 66/11kV,NSW1,east of Lismore (16 km),N-X_9U6_9G2,1,,,K2,N-X_9U6_9G2,supported,18.208765833333334,33.971548470044866,-5.520648333333327,104.76578416666666,0.032894736842105254,10.006506666666667,1.0125787499999888,65.10189416666665,46.803822499999995,39.5,5.0,0.9620253164556962,Directlink
N-Q-MNSP1,reverse,ALSTONVL/CB/5B1,Alstonvill AVE5B1 66kV CB,66.0,Alstonville 66/11kV,NSW1,east of Lismore (16 km),N-X_9U6_9G2,1,,,K2,N-X_9U6_9G2,supported,-14.416509166666664,-15.383088618620185,-154.45227,1.4446866666666693,0.04605263157894736,-8.0,-0.6820633333333319,80.05394416666667,89.12496333333334,39.5,5.0,0.9620253164556962,Directlink
N-Q-MNSP1,forward,ARMIDALE/BUS/4B1,Armidale 1 132kV BUS,132.0,Armidale 330kV,NSW1,central Armidale,N-X_ARKK_CH_CB892A,1,METZSF1 (-0.36); SAPHWF1 (-0.24); NEWENSF1 (-0.23); NEWENSF2 (-0.23); NESBESS1 (-0.23); NESBESS2 (-0.23),Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K3,ARMIDALE,supported,-21.192715,-39.777524447428966,-41.372998583333334,-5.865829999999995,0.0,-9.642605833333333,-5.000000015797923e-06,1.1333333333333353,48.758365,408.0,24.0,0.9056372549019608,Directlink
N-Q-MNSP1,reverse,ARMIDALE/BUS/4B1,Armidale 1 132kV BUS,132.0,Armidale 330kV,NSW1,central Armidale,N-X_ARKK_CH_CB892A,1,METZSF1 (-0.36); SAPHWF1 (-0.24); NEWENSF1 (-0.23); NEWENSF2 (-0.23); NESBESS1 (-0.23); NESBESS2 (-0.23),Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K2,N-X_ARKK_CH_CB892A,supported,14.216666666666669,15.914179104477617,4.234753333333334,17.791028333333344,0.017777777777777767,8.166666666666666,0.4333333333333371,90.35000000000001,79.9,114.5,14.0,0.982532751091703,Directlink
N-Q-MNSP1,forward,ARMIDALE/BUS/512,Armidale 1 330kV BUS,330.0,Armidale 330kV,NSW1,central Armidale,N-ARTW_86,2,SAPHWF1 (+1.00); NESBESS1 (+1.00); NESBESS2 (+1.00); NEWENSF1 (+1.00); NEWENSF2 (+1.00),Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K2,N-ARTW_86,supported,-21.191974166666665,-39.84321856056909,-45.005995,-3.7121417500000113,-0.10224274406332455,-7.5,-0.2306841666666699,6.641666666666666,47.46695833333333,384.0,12.0,0.9869791666666666,Directlink
N-Q-MNSP1,reverse,ARMIDALE/BUS/512,Armidale 1 330kV BUS,330.0,Armidale 330kV,NSW1,central Armidale,N-ARTW_86,2,SAPHWF1 (+1.00); NESBESS1 (+1.00); NESBESS2 (+1.00); NEWENSF1 (+1.00); NEWENSF2 (+1.00),Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K2,N-ARTW_86,supported,11.589299166666656,12.925658094851716,0.6684508333333312,37.28716333333333,0.1616094986807388,6.922791666666667,-0.6489791666666633,70.40004666666667,67.83057833333334,384.0,12.0,0.9869791666666666,Directlink
N-Q-MNSP1,forward,ARMIDALE/LINE/86,Tamworth Armidale 86 330kV LINE,330.0,Armidale 330kV,NSW1,central Armidale,N-ARTW_86,7,SAPHWF1 (+1.00); NESBESS1 (+1.00); NESBESS2 (+1.00); NEWENSF1 (+1.00); NEWENSF2 (+1.00),Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K1xK2,ARMIDALE/LINE/86 × N-ARTW_86,supported,-34.853970000000004,-63.76930837300851,-68.67861079166667,-19.333425,0.0,-14.516666666666666,-0.6674050000000005,-9.0,52.60126333333333,278.0,6.0,0.987410071942446,Directlink
N-Q-MNSP1,reverse,ARMIDALE/LINE/86,Tamworth Armidale 86 330kV LINE,330.0,Armidale 330kV,NSW1,central Armidale,N-ARTW_86,7,SAPHWF1 (+1.00); NESBESS1 (+1.00); NESBESS2 (+1.00); NEWENSF1 (+1.00); NEWENSF2 (+1.00),Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K1xK2,ARMIDALE/LINE/86 × N-ARTW_86,supported,20.20204416666668,22.61422854477614,0.8000000000000114,53.96666666666668,0.0,14.516666666666666,-9.010775833333334,61.22351666666666,59.224250000000005,278.0,6.0,0.987410071942446,Directlink
N-Q-MNSP1,forward,ARMIDALE/LINE/965,Armidale Kempsey 965 132kV LINE,132.0,Armidale 330kV,NSW1,central Armidale,CA_BRIS_59712B29,1,METZSF1 (+0.70); WRSF1 (+0.70); WRWF1 (+0.70); SAPHWF1 (+0.59); NEWENSF2 (+0.57); NEWENSF1 (+0.57),Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K3,ARMIDALE,supported,-21.192715,-39.777524447428966,-41.372998583333334,-5.865829999999995,0.0,-9.642605833333333,-5.000000015797923e-06,1.1333333333333353,48.758365,408.0,24.0,0.9056372549019608,Directlink
N-Q-MNSP1,reverse,ARMIDALE/LINE/965,Armidale Kempsey 965 132kV LINE,132.0,Armidale 330kV,NSW1,central Armidale,CA_BRIS_59712B29,1,METZSF1 (+0.70); WRSF1 (+0.70); WRWF1 (+0.70); SAPHWF1 (+0.59); NEWENSF2 (+0.57); NEWENSF1 (+0.57),Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K3,ARMIDALE,supported,19.049999999999997,21.244674939803676,4.074516666666664,40.08333333333334,0.0,10.5,-0.11653833333335228,82.5,73.61136166666667,408.0,24.0,0.9056372549019608,Directlink
N-Q-MNSP1,forward,ARMIDALE/LINE/966,Armidale Koolkhan 966 132kV LINE,132.0,Armidale 330kV,NSW1,central Armidale,N-X_ARKK_CH_CB892A,12,METZSF1 (-0.36); SAPHWF1 (-0.24); NEWENSF1 (-0.23); NEWENSF2 (-0.23); NESBESS1 (-0.23); NESBESS2 (-0.23),Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K1xK2,ARMIDALE/LINE/966 × N-X_ARKK_CH_CB892A,supported,11.469580833333335,20.984904648451277,-11.708641791666667,32.56605166666667,0.0,-9.0,5.682147499999999,62.48712499999999,39.237590000000004,85.0,11.0,0.9764705882352941,Directlink
N-Q-MNSP1,reverse,ARMIDALE/LINE/966,Armidale Koolkhan 966 132kV LINE,132.0,Armidale 330kV,NSW1,central Armidale,N-X_ARKK_CH_CB892A,12,METZSF1 (-0.36); SAPHWF1 (-0.24); NEWENSF1 (-0.23); NEWENSF2 (-0.23); NESBESS1 (-0.23); NESBESS2 (-0.23),Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K1xK2,ARMIDALE/LINE/966 × N-X_ARKK_CH_CB892A,supported,15.750790000000002,17.567561274475928,3.8333316666666803,19.01916666666662,0.0,9.0,0.6499999999999986,94.89166666666668,84.22512833333333,85.0,11.0,0.9764705882352941,Directlink
N-Q-MNSP1,forward,ARMIDALE/LINE/96T,Armidale Glen_Innes 96T 132kV LINE,132.0,Armidale 330kV,NSW1,central Armidale,N-X_96T+9UG+9U2,3,,Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K3,ARMIDALE,supported,-21.192715,-39.777524447428966,-41.372998583333334,-5.865829999999995,0.0,-9.642605833333333,-5.000000015797923e-06,1.1333333333333353,48.758365,408.0,24.0,0.9056372549019608,Directlink
N-Q-MNSP1,reverse,ARMIDALE/LINE/96T,Armidale Glen_Innes 96T 132kV LINE,132.0,Armidale 330kV,NSW1,central Armidale,N-X_96T+9UG+9U2,3,,Petersons Solar Farm (4 km); UNE Solar Farm (9 km); New England Solar Farm (14 km); Metz Solar Farm (14 km); Oaky Power Station (34 km),K3,ARMIDALE,supported,19.049999999999997,21.244674939803676,4.074516666666664,40.08333333333334,0.0,10.5,-0.11653833333335228,82.5,73.61136166666667,408.0,24.0,0.9056372549019608,Directlink
N-Q-MNSP1,forward,AVON/LINE/10,Avon 330kV Dapto 10 330kV LINE,330.0,Avon 330kV,NSW1,central Wollongong,N-X_10+76,1,TALWB1 (+6.02); TALWA1 (+6.02); SHGEN (+5.69); SHGEN2 (+5.69); SHPUMP (-5.69); WOODLWN1 (+4.66),Tallawarra Power Station (10 km); Kangaroo Valley Pumping and Power Station (39 km); Bendeela Pumping and Power Station (41 km),K3,AVON,supported,1.1773174999999991,2.5233334453622414,-3.1581700000000055,8.052306666666663,0.0,8.0,0.4187466666666708,43.969698333333326,42.29902333333333,625.0,11.0,0.9632,Directlink
N-Q-MNSP1,reverse,AVON/LINE/10,Avon 330kV Dapto 10 330kV LINE,330.0,Avon 330kV,NSW1,central Wollongong,N-X_10+76,1,TALWB1 (+6.02); TALWA1 (+6.02); SHGEN (+5.69); SHGEN2 (+5.69); SHPUMP (-5.69); WOODLWN1 (+4.66),Tallawarra Power Station (10 km); Kangaroo Valley Pumping and Power Station (39 km); Bendeela Pumping and Power Station (41 km),K3,AVON,supported,2.875000000000007,3.1950361177996003,-3.0500016666666667,9.551249999999996,0.0,-8.0,0.2499999999999858,78.54166666666667,73.80833333333334,625.0,11.0,0.9632,Directlink
N-Q-MNSP1,forward,AVON/LINE/17,Avon-Macarthur 17 330kV LINE,330.0,Avon 330kV,NSW1,central Wollongong,N-AVMA_17|N-X_4+17_WG_CLOSE|N-X_AVMA_KCTX|N-X_AVMA_SSWW,12,ER04 (+6.71); ER03 (+6.71); TARALGA1 (+4.15); TALWB1 (+4.15); TALWA1 (+4.15); CROOKWF3 (+4.14),Tallawarra Power Station (10 km); Kangaroo Valley Pumping and Power Station (39 km); Bendeela Pumping and Power Station (41 km),K1xK2,AVON/LINE/17 × N-AVMA_17,supported,1.7607116666666727,3.513624330282265,-2.5617016666666714,9.333333333333336,0.0,10.325534999999999,0.0,46.279865,45.230351666666664,576.0,10.0,0.8880208333333334,Directlink
N-Q-MNSP1,reverse,AVON/LINE/17,Avon-Macarthur 17 330kV LINE,330.0,Avon 330kV,NSW1,central Wollongong,N-AVMA_17|N-X_4+17_WG_CLOSE|N-X_AVMA_KCTX|N-X_AVMA_SSWW,12,ER04 (+6.71); ER03 (+6.71); TARALGA1 (+4.15); TALWB1 (+4.15); TALWA1 (+4.15); CROOKWF3 (+4.14),Tallawarra Power Station (10 km); Kangaroo Valley Pumping and Power Station (39 km); Bendeela Pumping and Power Station (41 km),K1xK2,AVON/LINE/17 × N-AVMA_17,supported,-1.3833333333333542,-1.5485074626865907,-7.955416666666669,4.26666666666668,0.0,-10.205538333333333,0.2333333333333485,78.11666666666666,79.93333333333334,576.0,10.0,0.8880208333333334,Directlink
N-Q-MNSP1,forward,COFFS/LINE/9W8,CoffsH330-BoambeeS 9W8 132kV LINE,132.0,Coffs Harbour 330kV,NSW1,,N-CHKS_ONE,1,METZSF1 (+1.27); WRSF1 (+1.15); WRWF1 (+1.15); MOREESF1 (+0.91); SAPHWF1 (+0.88); NEWENSF1 (+0.84),,K2,N-CHKS_ONE,supported,13.261638333333337,24.93724197006295,5.655286666666676,30.87420670833331,0.08354114713216958,9.333333333333336,0.3826483333333215,58.43349333333333,44.217121666666664,202.5,10.0,0.9901234567901235,Directlink
N-Q-MNSP1,reverse,COFFS/LINE/9W8,CoffsH330-BoambeeS 9W8 132kV LINE,132.0,Coffs Harbour 330kV,NSW1,,N-CHKS_ONE,1,METZSF1 (+1.27); WRSF1 (+1.15); WRWF1 (+1.15); MOREESF1 (+0.91); SAPHWF1 (+0.88); NEWENSF1 (+0.84),,none,,unsupported,,,,,,,,,,,,,Directlink
