ic,name,direction,level,key,families,layer,GENCONSETID,tier,n_units,treated_hours,own_treated,own_control,own_diff,own_ci_lo,own_ci_hi,treated_coverage,any_treated,any_control,any_diff,any_ci_lo,any_ci_hi,class_own_set_treated,class_own_set_control,class_other_outage_set_treated,class_other_outage_set_control,class_system_normal_other_treated,class_system_normal_other_control,class_fcas_treated,class_fcas_control,class_ramp_discretionary_treated,class_ramp_discretionary_control,top1_treated,top1_treated_share,top1_control_share,top1_control,top1_control_share_c,top1_control_share_t
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,setter,CA_BRIS_5667C22F,unsupported,48,24.0,0.892361111111111,0.0,0.892361111111111,0.7708333333333333,0.9531249999999999,1.0,1.0,1.0,0.0,0.0,0.0,0.8923611111111116,0.0,0.024305555555555552,0.2704861111111111,0.08333333333333334,0.7234953703703701,0.0,0.0,0.0,0.0060185185185185185,CA_BRIS_5667C22F_1,0.8923611111111116,0.0,N>>NIL_33_34,0.7075810185185184,0.07986111111111112
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,setter,CA_BRIS_5667C22F,unsupported,48,24.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3854166666666666,0.36666666666666664,0.5694444444444443,0.6284722222222222,0.0,0.0,0.04513888888888888,0.004861111111111111,N>>NIL_964_88_S,0.5347222222222221,0.38640046296296304,N>>NIL_964_88_S,0.38640046296296304,0.5347222222222221
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,setter,CA_BRIS_593C7214,unsupported,5,2.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Q^NIL_GC,1.0,1.0,Q^NIL_GC,1.0,1.0
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,setter,CA_BRIS_593C7214,unsupported,5,2.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9199999999999999,0.0,0.08000000000000002,0.0,0.0,0.0,0.0,CA_BRIS_593C7214_1,1.0,0.0,Q>GBMU_MDSSSPD_GBMU,0.9199999999999999,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,setter,CA_BRIS_59712B29,unsupported,55,27.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,0.0,Q^NIL_GC,1.0000000000000002,1.0000000000000002,Q^NIL_GC,1.0000000000000002,1.0000000000000002
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,setter,CA_BRIS_59712B29,unsupported,55,27.5,0.27878787878787875,0.0,0.27878787878787875,0.10416666666666664,0.41397849462365593,1.0,1.0,1.0,0.0,0.0,0.0,0.27878787878787886,0.0,0.7212121212121213,0.5401010101010102,0.0,0.45989898989899,0.0,0.0,0.0,0.0,Q>GBMU_MDSSSPD_GBMU,0.7212121212121213,0.5104040404040405,Q>GBMU_MDSSSPD_GBMU,0.5104040404040405,0.7212121212121213
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,setter,CA_SYDS_57B55E34,unsupported,41,20.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000004,1.0000000000000004,0.0,0.0,0.0,0.0,Q^NIL_GC,1.0000000000000004,1.0000000000000004,Q^NIL_GC,1.0000000000000004,1.0000000000000004
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,setter,CA_SYDS_57B55E34,unsupported,41,20.5,0.7560975609756098,0.0,0.7560975609756098,0.6609195402298851,0.9861111111111112,1.0,1.0,1.0,0.0,0.0,0.0,0.75609756097561,0.0,0.044715447154471545,0.12845528455284555,0.1991869918699187,0.8626016260162604,0.0,0.0,0.0,0.008943089430894308,CA_SYDS_57B55E34_1,0.75609756097561,0.0,N>>NIL_967_89_S,0.6524390243902443,0.13414634146341464
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,setter,CA_SYDS_59839EB2,indicative,56,28.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000000000000001,1.000000000000001,0.0,0.0,0.0,0.0,Q^NIL_GC,1.000000000000001,1.000000000000001,Q^NIL_GC,1.000000000000001,1.000000000000001
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,setter,CA_SYDS_59839EB2,indicative,56,28.0,0.40476190476190477,0.0,0.40476190476190477,0.26666666666666666,0.5161290322580645,1.0,1.0,1.0,0.0,0.0,0.0,0.4047619047619047,0.0,0.0,0.22767857142857134,0.5952380952380951,0.7687499999999999,0.0,0.0,0.0,0.0035714285714285713,N>>NIL_967_89_S,0.4464285714285713,0.46309523809523806,N>>NIL_967_89_S,0.46309523809523806,0.4464285714285713
