source,target,direction,families,median_effect,share_ci_excludes_zero
Basslink,Directlink,forward,4,-4.640178333333337,0.25
Basslink,Directlink,reverse,5,-0.36666666666666714,0.6
Basslink,Heywood,forward,2,-35.05275750000002,0.0
Basslink,Heywood,reverse,2,-0.7071379166666816,0.0
Basslink,Murraylink,forward,2,2.7423066666666642,0.0
Basslink,Murraylink,reverse,2,-10.330170833333327,0.0
Basslink,QNI,forward,2,-44.987988333333305,0.0
Basslink,QNI,reverse,5,-2.045174999999972,0.4
Basslink,VNI,forward,3,-106.6306858333333,0.6666666666666666
Basslink,VNI,reverse,2,-15.911194166666618,0.0
Directlink,Basslink,forward,13,0.0,0.0
Directlink,Basslink,reverse,12,-2.716685000000025,0.0
Directlink,Heywood,forward,9,-0.47589416666667717,0.0
Directlink,Heywood,reverse,16,0.0,0.0625
Directlink,Murraylink,forward,10,0.7391566666666805,0.3
Directlink,Murraylink,reverse,9,0.0,0.1111111111111111
Directlink,QNI,forward,4,11.069701666666685,0.0
Directlink,QNI,reverse,3,66.91655499999999,1.0
Directlink,VNI,forward,8,-45.77614479166664,0.625
Directlink,VNI,reverse,7,-20.336561250000074,0.14285714285714285
Heywood,Basslink,forward,23,0.0,0.17391304347826086
Heywood,Basslink,reverse,24,0.0,0.08333333333333333
Heywood,Directlink,forward,19,-3.9594500000000004,0.3157894736842105
Heywood,Directlink,reverse,21,2.3000000000000114,0.3333333333333333
Heywood,Murraylink,forward,8,1.8810779166666656,0.125
Heywood,Murraylink,reverse,9,-4.3954124999999955,0.1111111111111111
Heywood,QNI,forward,21,0.0,0.2857142857142857
Heywood,QNI,reverse,24,21.200987083333303,0.4166666666666667
Heywood,VNI,forward,13,-27.922295000000076,0.07692307692307693
Heywood,VNI,reverse,12,-2.308444166666688,0.25
Murraylink,Basslink,forward,33,0.0,0.09090909090909091
Murraylink,Basslink,reverse,33,0.0,0.12121212121212122
Murraylink,Directlink,forward,32,0.037599999999997635,0.21875
Murraylink,Directlink,reverse,32,1.5330033333333333,0.3125
Murraylink,Heywood,forward,22,23.77740166666659,0.2727272727272727
Murraylink,Heywood,reverse,23,9.062703333333332,0.17391304347826086
Murraylink,QNI,forward,33,0.0,0.3333333333333333
Murraylink,QNI,reverse,32,5.35537000000005,0.34375
Murraylink,VNI,forward,14,34.6067533333334,0.07142857142857142
Murraylink,VNI,reverse,12,-33.404664374999925,0.3333333333333333
QNI,Basslink,forward,19,0.0,0.10526315789473684
QNI,Basslink,reverse,18,0.0,0.1111111111111111
QNI,Directlink,forward,7,-17.561293749999997,0.7142857142857143
QNI,Directlink,reverse,6,6.4749566666666585,0.6666666666666666
QNI,Heywood,forward,12,-2.2611545833333366,0.08333333333333333
QNI,Heywood,reverse,17,0.0,0.058823529411764705
QNI,Murraylink,forward,14,0.0,0.21428571428571427
QNI,Murraylink,reverse,14,0.5416666666666679,0.14285714285714285
QNI,VNI,forward,16,-6.8284035416666455,0.3125
QNI,VNI,reverse,11,-0.6713366666665479,0.18181818181818182
VNI,Basslink,forward,23,0.8969741666666664,0.08695652173913043
VNI,Basslink,reverse,23,-3.3888008333333204,0.13043478260869565
VNI,Directlink,forward,20,-0.1166666666666707,0.15
VNI,Directlink,reverse,20,1.6038808333333403,0.4
VNI,Heywood,forward,15,25.266496666666626,0.4
VNI,Heywood,reverse,19,2.086879999999951,0.10526315789473684
VNI,Murraylink,forward,2,-31.952477916666673,0.5
VNI,Murraylink,reverse,3,9.773401249999992,0.6666666666666666
VNI,QNI,forward,22,-1.5876941666666653,0.36363636363636365
VNI,QNI,reverse,19,7.174336666666704,0.2631578947368421
