source,target,direction,GENCONSETID,effect_capacity,ci_lo,ci_hi
VNI,QNI,forward,I-BURC,-19.088300000000004,-65.01707641666661,12.050929999999994
Murraylink,QNI,forward,I-BURC,-19.088300000000004,-65.01707641666661,12.050929999999994
Murraylink,QNI,forward,I-BURC_X1,3.118549999999999,-18.291785833333336,35.622056666666595
Murraylink,QNI,reverse,I-BURC_X1,32.920655000000124,-15.647618666666668,76.0199829166666
Murraylink,QNI,forward,I-SVML_044,28.162897500000014,-127.40241666666668,128.65940999999998
Murraylink,QNI,reverse,I-SVML_044,3.5364033333333964,-81.18559833333336,44.38656308333326
Murraylink,QNI,forward,I-SVML_088,57.66957500000001,-126.25028999999995,181.9540016666666
Murraylink,QNI,reverse,I-SVML_088,-77.93353833333333,-144.3077266666666,79.11827333333338
Murraylink,QNI,forward,I-SVML_132,-35.17706208333336,-131.16963499999997,12.840524083333188
Murraylink,QNI,reverse,I-SVML_132,-40.15186041666669,-114.25507833333347,-19.054804999999988
Murraylink,QNI,forward,I-VSML_044,28.162897500000014,-127.40241666666668,128.65940999999998
Murraylink,QNI,reverse,I-VSML_044,3.5364033333333964,-81.18559833333336,44.38656308333326
Murraylink,QNI,forward,I-VSML_088,57.66957500000001,-126.25028999999995,181.9540016666666
Murraylink,QNI,reverse,I-VSML_088,-77.93353833333333,-144.3077266666666,79.11827333333338
Murraylink,QNI,forward,I-VSML_132,-35.17706208333336,-131.16963499999997,12.840524083333188
Murraylink,QNI,reverse,I-VSML_132,-40.15186041666669,-114.25507833333347,-19.054804999999988
Murraylink,QNI,forward,I-VSML_176,-5.30328499999996,-167.80139337499998,108.80578054166675
Murraylink,QNI,reverse,I-VSML_176,7.659994999999753,-81.32401500000003,76.93763833333333
VNI,QNI,forward,I-X_BDBU+HYSE,117.86269833333336,32.32174250000014,162.2350866666667
Heywood,QNI,forward,I-X_BDBU+HYSE,117.86269833333336,32.32174250000014,162.2350866666667
Murraylink,QNI,forward,I-X_BDBU+HYSE,117.86269833333336,32.32174250000014,162.2350866666667
VNI,QNI,reverse,I-X_BDBU+HYSE,-32.0,-32.57729333333327,-1.3279750000000377
Heywood,QNI,reverse,I-X_BDBU+HYSE,-32.0,-32.57729333333327,-1.3279750000000377
Murraylink,QNI,reverse,I-X_BDBU+HYSE,-32.0,-32.57729333333327,-1.3279750000000377
Directlink,QNI,forward,N-96L_96R_CB4102,13.332546666666666,-11.753847833333337,75.30379327083328
Directlink,QNI,reverse,N-96L_96R_CB4102,68.0,31.75068004166666,133.94010566666665
VNI,QNI,forward,N-BABU,3.6582616666667036,-16.08395500000006,19.677760104166527
Heywood,QNI,forward,N-BABU,3.6582616666667036,-16.08395500000006,19.677760104166527
Murraylink,QNI,forward,N-BABU,3.6582616666667036,-16.08395500000006,19.677760104166527
VNI,QNI,forward,N-BADP,-12.960676666666657,-21.116508333333314,-1.45240112500001
Murraylink,QNI,forward,N-BADP,-12.960676666666657,-21.116508333333314,-1.45240112500001
Murraylink,QNI,forward,N-CLDE_99L_C,-7.899709166666675,-29.74033416666667,17.172775000000016
Murraylink,QNI,reverse,N-CLDE_99L_C,-13.676827499999987,-82.94673499999996,31.583991666666662
