ic,direction,state,season,half_hours,capacity_p10,capacity_median,capacity_p90,flow_median,headroom_median,at_limit_share,restricted_share,name
N-Q-MNSP1,forward,booked_only,Autumn,419,11.794334666666666,55.5,70.83333333333333,-15.666666666666666,75.49725666666667,0.03818615751789976,0.13126491646778043,Directlink
N-Q-MNSP1,forward,booked_only,Spring,562,-9.001397,58.76399500000001,90.94380766666669,-4.5,64.941245,0.14590747330960854,0.19217081850533807,Directlink
N-Q-MNSP1,forward,booked_only,Summer,685,2.9402406666666674,36.81666666666667,71.39084866666668,0.0,33.91666666666667,0.1781021897810219,0.3386861313868613,Directlink
N-Q-MNSP1,forward,booked_only,Winter,847,13.2,53.28333333333333,77.34970799999999,-18.408168333333332,78.45,0.030696576151121605,0.14639905548996457,Directlink
N-Q-MNSP1,forward,clear,Autumn,5436,-29.225,48.061743333333325,75.3447275,-15.5,69.1929475,0.0851729212656365,0.24392935982339956,Directlink
N-Q-MNSP1,forward,clear,Spring,5023,-29.0,44.31125,87.52670500000006,-9.0,65.37837999999999,0.20824208640254827,0.3669122038622337,Directlink
N-Q-MNSP1,forward,clear,Summer,6238,-44.84333216666667,45.12406583333333,78.3333935,-5.8292658333333325,32.46964666666666,0.20006412311638347,0.36437960884899007,Directlink
N-Q-MNSP1,forward,clear,Winter,1728,-17.91833333333333,49.92716583333333,77.7999505,-25.0,78.48356166666667,0.05787037037037037,0.20601851851851852,Directlink
N-Q-MNSP1,forward,invoked_leading,Autumn,50,-6.658555166666667,56.27452583333333,96.16922766666666,-13.033333333333335,46.159934166666666,0.16,0.26,Directlink
N-Q-MNSP1,forward,invoked_leading,Spring,319,-14.867360666666668,48.77261333333333,96.44853733333333,-11.666666666666666,58.34712,0.16927899686520376,0.3103448275862069,Directlink
N-Q-MNSP1,forward,invoked_leading,Summer,307,-50.16515533333333,46.28758,95.389038,3.47094,19.48379333333333,0.21498371335504887,0.3517915309446254,Directlink
N-Q-MNSP1,forward,invoked_leading,Winter,49,-0.0004816666666666665,34.51692833333333,67.84342433333333,-10.166666666666666,75.27607333333333,0.16326530612244897,0.4897959183673469,Directlink
N-Q-MNSP1,forward,invoked_nonleading,Autumn,2908,-59.22043816666667,36.219427499999995,71.23099766666668,-14.323898333333332,62.95417333333334,0.0921595598349381,0.3885832187070151,Directlink
N-Q-MNSP1,forward,invoked_nonleading,Spring,2822,-37.21206833333333,30.316666666666666,84.89233949999999,-11.139800833333334,43.216566666666665,0.18143160878809356,0.48157335223245923,Directlink
N-Q-MNSP1,forward,invoked_nonleading,Summer,1395,-2.453268666666664,50.40026833333334,80.01329966666668,0.0,45.53821666666667,0.16129032258064516,0.2709677419354839,Directlink
N-Q-MNSP1,forward,invoked_nonleading,Winter,6201,-27.866666666666664,45.46704166666667,85.34285666666666,-21.0,73.37183499999999,0.11901306240928883,0.32075471698113206,Directlink
N-Q-MNSP1,forward,partial,Autumn,19,-74.09643266666667,39.233765,64.323805,-24.53333333333333,66.46222,0.15789473684210525,0.3684210526315789,Directlink
N-Q-MNSP1,forward,partial,Spring,10,-13.838606833333333,39.733333333333334,79.13353149999999,-46.30833333333334,73.61762416666667,0.1,0.3,Directlink
N-Q-MNSP1,forward,partial,Summer,15,-60.909999,32.583333333333336,91.16561066666665,-14.549999999999999,5.46485666666667,0.2,0.4666666666666667,Directlink
N-Q-MNSP1,forward,partial,Winter,7,-3.9745086666666656,43.60718166666667,51.256057000000006,-29.0,74.77315833333334,0.0,0.2857142857142857,Directlink
N-Q-MNSP1,reverse,booked_only,Autumn,419,54.73021766666667,88.39999999999999,104.82666666666667,15.666666666666666,78.44958666666666,0.06443914081145585,0.0883054892601432,Directlink
N-Q-MNSP1,reverse,booked_only,Spring,562,-13.853252833333332,80.95,117.12,4.5,79.35833333333335,0.0693950177935943,0.19217081850533807,Directlink
N-Q-MNSP1,reverse,booked_only,Summer,685,12.109999666666681,75.25,92.28666666666669,-0.0,79.61666666666666,0.058394160583941604,0.145985401459854,Directlink
N-Q-MNSP1,reverse,booked_only,Winter,847,39.37861133333334,95.89999999999999,128.57999999999998,18.408168333333332,79.58333333333334,0.07083825265643448,0.10979929161747344,Directlink
N-Q-MNSP1,reverse,clear,Autumn,5436,22.94166583333333,88.69166666666666,127.7662775,15.5,79.25,0.14937454010301693,0.16537895511405445,Directlink
N-Q-MNSP1,reverse,clear,Spring,5023,-15.496102,79.60000000000001,128.41,9.0,77.86666666666667,0.18972725462870793,0.22596058132590086,Directlink
N-Q-MNSP1,reverse,clear,Summer,6238,-6.0716711666666665,64.14175166666666,118.26964716666669,5.8292658333333325,78.1333875,0.2401410708560436,0.2790958640589933,Directlink
N-Q-MNSP1,reverse,clear,Winter,1728,6.95176966666667,101.65000000000002,142.84980616666664,25.0,79.11982833333334,0.10358796296296297,0.14756944444444445,Directlink
N-Q-MNSP1,reverse,invoked_leading,Autumn,1144,53.57557333333333,89.84159666666667,138.87453833333333,15.666666666666666,78.47753416666666,0.10751748251748251,0.07342657342657342,Directlink
N-Q-MNSP1,reverse,invoked_leading,Spring,252,-12.329382,84.35,128.32898183333333,9.0,77.25833333333334,0.16666666666666666,0.27380952380952384,Directlink
N-Q-MNSP1,reverse,invoked_leading,Summer,288,-10.093630666666664,69.54813083333335,115.97000000000003,-1.5253475,78.67172333333333,0.03819444444444445,0.2881944444444444,Directlink
