SUBSTATIONID,substation_name,region,owner,osm_id,osm_name,lat,lon,method,confidence
T34_MRNB,Moranbah 132kV,QLD1,Powerlink,way/205014147,Moranbah,-21.9865353,148.0248601,name_match,medium
T20_BUND,Bundaberg 132kV,QLD1,Powerlink,way/175017770,Bundaberg Substation,-24.9171564,152.299739,name_match,medium
SSBHD,Burleigh 110kV,QLD1,Powerlink,,,,,unmatched,
T139_BDN,Burton Downs 132kV,QLD1,Powerlink,way/205012494,Burton Downs,-21.6917672,148.210347,name_match,medium
T11_CBLT,Caboolture 110kV,QLD1,Powerlink,way/25159931,Caboolture Substation,-27.065145,152.9630525,name_match,medium
T81_CADE,Cades County 110kV,QLD1,Powerlink,,,,,unmatched,
T51_CRNS,Cairns 132kV,QLD1,Powerlink,way/194550807,Cairns Substation,-16.9462564,145.7549771,name_match,medium
CRNS_CTY,Cairns City,QLD1,Powerlink,way/308211031,Cairns City Substation,-16.9266534,145.7767533,name_match,medium
T101_CMD,Callemondah 132kV,QLD1,Powerlink,,,,,unmatched,
T22_CALL,Callide 132kV,QLD1,Powerlink,,,,,unmatched,
R3_BULLI,Bulli Creek 330kV,QLD1,Powerlink,way/172887193,Bulli Creek Substation,-27.9210334,150.8432416,name_match,medium
CAL_A_PS,Callide A Ps 132kV,QLD1,Powerlink,,,,,unmatched,
CAL_C_PS,Callide C Ps 275kV,QLD1,Powerlink,,,,,unmatched,
H24_CALV,Calvale 275kV,QLD1,Powerlink,way/119995150,Calvale Substation,-24.3424399,150.6270737,name_match,medium
T134_CDW,Cardwell 132kV,QLD1,Powerlink,way/196680355,Cardwell,-18.3400567,146.0468276,name_match,medium
H32_CHLM,Chalumbin 275kV,QLD1,Powerlink,way/196583889,Chalumbin Substation,-17.8007227,145.5265615,name_match,medium
SSCST,Charlotte St. 110kV,QLD1,Powerlink,,,,,unmatched,
T13_CHIN,Chinchilla 132kV,QLD1,Powerlink,way/171588475,Chinchilla Substation,-26.7446,150.645209,name_match,medium
T93_CLS,Clare South 132kV,QLD1,Powerlink,way/171845369,Clare South,-19.83836,147.2126162,name_match,medium
T71_CLMT,Clermont 132kV,QLD1,Powerlink,way/469420118,Clermont,-22.8496747,147.6109302,name_match,medium
SSCVL,Cleveland 110kV,QLD1,Powerlink,way/26230748,Cleveland Substation,-27.5465487,153.2528721,name_match,medium
CAL_B_PS,Callide B Ps 275kV,QLD1,Powerlink,,,,,unmatched,
T37_COLL,Collinsville 132kV,QLD1,Powerlink,,,,,unmatched,
SSBPN,Browns Plains,QLD1,Powerlink,relation/19869907,Browns Plains Zone Substation,-27.6627801,153.0375307,name_match,medium
SSBBH,Broadbeach,QLD1,Powerlink,way/460151996,Broadbeach substation,-28.0259057,153.4298652,name_match,medium
T150_ASH,Alan Sheriff  132kV,QLD1,Powerlink,,,,,unmatched,
SSAST,Ann Street City 110kV,QLD1,Powerlink,,,,,unmatched,
T30_ASHW,Ashgrove West 110kV,QLD1,Powerlink,way/22368872,Ashgrove West Substation,-27.4509936,152.9722406,name_match,medium
SSQR42,Bald Hills 110kV,QLD1,Powerlink,way/1056365301,Bald Hills substation,-27.3285653,153.0153816,name_match,medium
T31_BRAL,Baralaba 132kV,QLD1,Powerlink,way/205297490,Baralaba,-24.190808,149.8741859,name_match,medium
T72_BARC,Barcaldine 132kV,QLD1,Powerlink,way/164418528,Barcaldine,-23.5514111,145.3123405,name_match,medium
BCDE_PS,Barcaldine Ps,QLD1,Powerlink,,,,,unmatched,
T54_BG_H,Barron Gorge Ps 132kV,QLD1,Powerlink,,,,,unmatched,
H20_BSND,Broadsound 275kV,QLD1,Powerlink,way/121646942,Broadsound Substation,-22.8207415,149.4040362,name_match,medium
T108_BNL,Beenleigh 110kV,QLD1,Powerlink,way/142359087,Beenleigh Substation,-27.7246863,153.208178,name_match,medium
T26_BILO,Biloela 132kV,QLD1,Powerlink,way/171573029,Biloela,-24.4015401,150.5079003,name_match,medium
T32_BWTR,Blackwater 132kV,QLD1,Powerlink,way/94905412,Blackwater Transmission Substation,-23.5875239,148.826004,name_match,medium
H10_BCMB,Bouldercombe 275kV,QLD1,Powerlink,way/171486427,Bouldercombe Substation,-23.5370551,150.4871373,name_match,medium
H8_BOYNE,Boyne Island 275kV,QLD1,Powerlink,,,,,unmatched,
R2_BRAE,Braemar 330kV/275kv,QLD1,Powerlink,way/170842253,Braemar Substation,-27.1147927,150.9001585,name_match,medium
SSBRD,Brendale 110kV,QLD1,Powerlink,way/328300146,Brendale Zone Substation,-27.3258347,152.9710238,name_match,medium
SSBWH,Beerwah,QLD1,Powerlink,,,,,unmatched,
COLL_PS,Collinsville Ps 132kV,QLD1,Powerlink,,,,,unmatched,
T70_CORY,Cooroy 132kV,QLD1,Powerlink,,,,,unmatched,
T107_COP,Coppabella 132kV,QLD1,Powerlink,way/178240025,Coppabella,-21.9131228,148.352862,name_match,medium
T36_INVA,Invicta Mill 132kV,QLD1,Powerlink,way/610270962,Invicta Mill Substation,-19.5173335,147.1074183,name_match,medium
T131_ISI,Isis 132kV,QLD1,Powerlink,way/173551375,Isis Zone substation,-25.2552171,152.3668531,name_match,medium
T53_KAM,Kamerunga 132kV,QLD1,Powerlink,way/194550809,Kamerunga Substation,-16.8661107,145.6875419,name_match,medium
KAR_H_PS,Kareeya Ps 132kV,QLD1,Powerlink,,,,,unmatched,
T67_KMIS,Kemmis 132kV,QLD1,Powerlink,way/205012488,Kemmis Substation,-21.5735092,148.3844324,name_match,medium
T77_KIDS,Kidston 132kV,QLD1,Powerlink,way/218593824,Kidston,-18.8745611,144.1431409,name_match,medium
T12_KILK,Kilkivan 132kV,QLD1,Powerlink,,,,,unmatched,
KINGAROY,Kingaroy 66kV,QLD1,Powerlink,way/253930085,Kingaroy,-26.5402765,151.8565423,name_match,medium
H15_LILY,Lilyvale 275kV,QLD1,Powerlink,way/171843734,Lilyvale Substation,-23.1294306,148.4282265,name_match,medium
T50_INFL,Innisfail 132kV,QLD1,Powerlink,way/173224446,Innisfail Transmission Substation,-17.5351432,145.9732235,name_match,medium
T78_LOCK,Lockrose 110kV,QLD1,Powerlink,way/66035178,Lockrose Substation,-27.4994001,152.4526414,name_match,medium
SSLBS,Lytton 110kV,QLD1,Powerlink,way/44418993,Lytton Bulk Supply Substation,-27.4343023,153.1425913,name_match,medium
T38_MKAY,Mackay 132kV,QLD1,Powerlink,way/373381185,Mackay,-21.1451591,149.1588231,name_match,medium
SSMST,Makerston St. 110kV,QLD1,Powerlink,,,,,unmatched,
T59_MRBO,Maryborough 132kV,QLD1,Powerlink,way/173139255,Maryborough Substation,-25.4983217,152.6672943,name_match,medium
SSMLS,Mclachlan Street City,QLD1,Powerlink,,,,,unmatched,
SSMDH,Meeandah 110kV,QLD1,Powerlink,way/349728935,Meeandah substation,-27.4305831,153.1123071,name_match,medium
H14_MRDG,Middle Ridge 275kV,QLD1,Powerlink,way/172878761,Middle Ridge Substation,-27.6224674,151.9451984,name_match,medium
T95_MILL,Millchester 132kV,QLD1,Powerlink,way/469438778,Millchester,-20.1013641,146.2804796,name_match,medium
H22_LOGN,Loganlea 275kV,QLD1,Powerlink,way/46099414,Loganlea Substation,-27.6641723,153.131428,name_match,medium
T47_INGM,Ingham 132kV,QLD1,Powerlink,way/798877591,Ingham,-18.6649342,146.1561289,name_match,medium
T40_IFLT,Image Flat 132kV,QLD1,Powerlink,,,,,unmatched,
SSIBS,Ibis 110kV,QLD1,Powerlink,,,,,unmatched,
