name,direction,season,day_period,units_n,capacity_effect,at_limit_effect,flow_effect
Basslink,forward,Autumn,Evening peak,71,0.0,0.0,0.0
Basslink,forward,Autumn,Morning peak,73,0.0,0.0,0.0
Basslink,forward,Autumn,Overnight,58,0.0,0.0,0.0
Basslink,forward,Autumn,Solar period,226,-21.291666666666664,-0.004424778761061947,-13.513993333333339
Basslink,forward,Spring,Evening peak,547,8.064233333333306,0.04204753199268738,0.0
Basslink,forward,Spring,Morning peak,363,-27.786938333333325,-0.03994490358126722,-66.54203833333332
Basslink,forward,Spring,Overnight,804,-2.4054900000000004,-0.006218905472636816,-18.26254666666668
Basslink,forward,Spring,Solar period,892,4.995199999999983,0.014573991031390135,4.874959166666713
Basslink,forward,Summer,Evening peak,54,-35.01763083333332,0.0,-26.056707500000027
Basslink,forward,Summer,Morning peak,51,-21.25,0.0,-19.614906666666656
Basslink,forward,Summer,Overnight,77,-7.849996666666669,0.0,-3.1228583333333333
Basslink,forward,Summer,Solar period,112,16.050930000000008,0.0,18.999964166666672
Basslink,forward,Winter,Evening peak,482,-1.5204333333333153,0.03941908713692946,0.0
Basslink,forward,Winter,Morning peak,303,31.640531666666675,0.033003300330033,66.55807333333333
Basslink,forward,Winter,Overnight,643,0.0,0.03265940902021773,6.607501666666678
Basslink,forward,Winter,Solar period,912,1.542701666666673,0.019736842105263157,27.04948458333331
Basslink,reverse,Autumn,Evening peak,71,0.0,0.056338028169014086,0.0
Basslink,reverse,Autumn,Morning peak,73,0.0,0.1506849315068493,0.0
Basslink,reverse,Autumn,Overnight,58,0.0,0.034482758620689655,0.0
Basslink,reverse,Autumn,Solar period,226,13.102673333333286,-0.008849557522123894,13.513993333333339
Basslink,reverse,Spring,Evening peak,547,-11.001799999999946,0.011882998171846435,-2.3432441666666364
Basslink,reverse,Spring,Morning peak,363,37.4873433333334,0.046831955922865015,58.60788166666666
Basslink,reverse,Spring,Overnight,804,3.7357933333333904,-0.004975124378109453,18.351163749999984
Basslink,reverse,Spring,Solar period,892,-8.04909166666664,-0.05997757847533632,-5.475694583333336
Basslink,reverse,Summer,Evening peak,54,20.14982999999998,-0.046296296296296294,26.056707500000027
Basslink,reverse,Summer,Morning peak,51,7.679520000000011,0.0,19.614906666666656
Basslink,reverse,Summer,Overnight,77,20.83333333333333,0.0,3.1228583333333333
Basslink,reverse,Summer,Solar period,112,-37.636386666666624,0.0625,-18.999964166666672
Basslink,reverse,Winter,Evening peak,482,-3.711775000000017,-0.005186721991701245,0.0
Basslink,reverse,Winter,Morning peak,303,-51.191644999999994,-0.0049504950495049506,-62.35173000000003
Basslink,reverse,Winter,Overnight,643,-13.350259999999992,0.08709175738724728,-6.607501666666678
Basslink,reverse,Winter,Solar period,912,-20.46927666666668,0.017543859649122806,-28.05985749999997
Directlink,forward,Autumn,Evening peak,581,-2.9054033333333287,0.12306368330464716,7.428029166666667
Directlink,forward,Autumn,Morning peak,406,-7.9677195833333325,0.0332512315270936,-0.942129166666666
Directlink,forward,Autumn,Overnight,950,-0.7614662500000016,0.03263157894736842,6.634535833333338
Directlink,forward,Autumn,Solar period,1093,-14.399901666666665,-0.02058554437328454,-14.348046666666662
