ic,name,direction,direction_label,season,intervals,capacity_p10,capacity_median,capacity_p90,headroom_median,restricted_rate,forced_rate
N-Q-MNSP1,Directlink,forward,NSW → QLD,Autumn,13248,-28.09333333333333,39.93333333333333,71.46555016666667,64.62144833333335,0.2838919082125604,0.15443840579710144
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,13104,-48.195177499999986,20.805251666666667,77.14217466666668,39.50097916666667,0.5331196581196581,0.4201770451770452
N-Q-MNSP1,Directlink,forward,NSW → QLD,Summer,13008,-59.745134166666666,36.01240916666667,74.20889550000001,19.825215,0.4398831488314883,0.3305658056580566
N-Q-MNSP1,Directlink,forward,NSW → QLD,Winter,13248,-24.505,46.898741666666666,82.6298846666668,72.74940416666666,0.29279891304347827,0.18244263285024154
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Autumn,13248,28.483333333333334,88.7,130.82500000000007,79.01662583333334,0.15919384057971014,0.0632548309178744
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Spring,13104,-5.59499883333333,85.85000000000001,137.73333333333335,77.33547916666667,0.2190934065934066,0.10615079365079365
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Summer,13008,10.378586166666668,72.21666666666667,139.0383326666667,78.79360166666666,0.2134071340713407,0.08271832718327184
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Winter,13248,-11.086694499999998,88.98321166666668,127.3943996666667,78.52066666666667,0.24984903381642512,0.11579106280193237
NSW1-QLD1,QNI,forward,NSW → QLD,Autumn,13248,5.854013166666669,558.9971458333333,799.6560695000001,718.1072658333334,0.26253019323671495,0.09465579710144928
NSW1-QLD1,QNI,forward,NSW → QLD,Spring,13104,21.409989666666696,414.3847833333333,750.0,540.4615308333334,0.31936813186813184,0.08844627594627595
NSW1-QLD1,QNI,forward,NSW → QLD,Summer,13008,302.918867,600.4727266666666,827.8401416666669,516.1789450000001,0.09940036900369004,0.01937269372693727
NSW1-QLD1,QNI,forward,NSW → QLD,Winter,13248,87.22038566666666,547.2679075,817.9935263333335,1019.1048433333333,0.19791666666666666,0.057669082125603864
NSW1-QLD1,QNI,reverse,QLD → NSW,Autumn,13248,320.580237,955.7278675,1155.1917366666667,524.5751616666666,0.16651570048309178,0.0009057971014492754
NSW1-QLD1,QNI,reverse,QLD → NSW,Spring,13104,162.8703585,840.0086283333333,1104.3123150000001,357.939105,0.28456959706959706,0.01694139194139194
NSW1-QLD1,QNI,reverse,QLD → NSW,Summer,13008,587.2228906666667,944.4592883333333,1132.0653153333333,961.1295291666668,0.047355473554735544,0.004074415744157442
NSW1-QLD1,QNI,reverse,QLD → NSW,Winter,13248,745.0,1075.849375,1190.5179035,426.4684308333333,0.05578200483091787,0.00030193236714975844
T-V-MNSP1,Basslink,forward,TAS → VIC,Autumn,13248,-242.37167349999999,-157.63103166666667,309.4233345000003,139.36209083333335,0.6711956521739131,0.655042270531401
T-V-MNSP1,Basslink,forward,TAS → VIC,Spring,13104,-234.03042616666664,27.034298333333332,372.83526333333333,125.0,0.663003663003663,0.43795787545787546
T-V-MNSP1,Basslink,forward,TAS → VIC,Summer,13008,-240.03334216666664,-174.86270416666667,253.09368650000047,156.00517833333333,0.7675276752767528,0.75
T-V-MNSP1,Basslink,forward,TAS → VIC,Winter,13248,-252.77500916666665,-53.81625416666666,456.0,129.548545,0.6764039855072463,0.5173611111111112
T-V-MNSP1,Basslink,reverse,VIC → TAS,Autumn,13248,-114.3819545,341.35928083333334,451.7929158333334,39.76587833333333,0.3452596618357488,0.14326690821256038
T-V-MNSP1,Basslink,reverse,VIC → TAS,Spring,13104,-197.78229916666666,125.0,446.0927671666667,32.904144166666676,0.5528083028083028,0.3221916971916972
T-V-MNSP1,Basslink,reverse,VIC → TAS,Summer,13008,-37.51795933333333,370.7129808333334,451.5164283333334,12.732280833333334,0.27198646986469865,0.10793357933579335
T-V-MNSP1,Basslink,reverse,VIC → TAS,Winter,13248,-217.32636516666665,227.47016916666666,469.6412608333333,54.77973750000001,0.48467693236714976,0.3044987922705314
V-S-MNSP1,Murraylink,forward,VIC → SA,Autumn,13248,-29.241257666666666,113.0,165.572143,24.11169,0.32321859903381644,0.1228864734299517
V-S-MNSP1,Murraylink,forward,VIC → SA,Spring,13104,-52.395500333333324,95.66666666666667,167.3364425,0.7873991666666686,0.42467948717948717,0.18803418803418803
V-S-MNSP1,Murraylink,forward,VIC → SA,Summer,13008,-33.011664,141.67351666666667,178.01355983333335,5.000000015797923e-06,0.23470172201722017,0.13130381303813038
V-S-MNSP1,Murraylink,forward,VIC → SA,Winter,13248,-74.33333333333333,77.79716833333333,162.14893433333333,19.77205500000001,0.44935084541062803,0.21980676328502416
V-S-MNSP1,Murraylink,reverse,SA → VIC,Autumn,13248,-141.41242616666668,0.16666666666666666,110.83333333333333,68.49170166666667,0.6042421497584541,0.4098731884057971
V-S-MNSP1,Murraylink,reverse,SA → VIC,Spring,13104,-153.0650333333333,0.0,123.84209966666678,21.168215,0.6153083028083028,0.40865384615384615
V-S-MNSP1,Murraylink,reverse,SA → VIC,Summer,13008,-168.66761366666668,-26.040710833333335,100.46988150000004,29.43827916666666,0.6730473554735548,0.568650061500615
V-S-MNSP1,Murraylink,reverse,SA → VIC,Winter,13248,-92.9999965,17.0,126.002153,37.37985416666667,0.5702747584541062,0.33129528985507245
V-SA,Heywood,forward,VIC → SA,Autumn,13248,138.83957783333335,498.56,631.200751,259.15483416666666,0.2023701690821256,0.044308574879227056
V-SA,Heywood,forward,VIC → SA,Spring,13104,79.69702533333336,385.4223416666667,600.0,359.7065008333333,0.2599969474969475,0.06188949938949939
V-SA,Heywood,forward,VIC → SA,Summer,13008,31.10138716666667,410.77104583333335,600.0,238.80237166666666,0.28251845018450183,0.08302583025830258
V-SA,Heywood,forward,VIC → SA,Winter,13248,-42.49570683333333,297.05722583333335,600.0,189.932655,0.40730676328502413,0.13903985507246377
V-SA,Heywood,reverse,SA → VIC,Autumn,13248,-2.6211306666666636,445.23018833333333,550.0,481.8405716666667,0.28555253623188404,0.10129830917874397
V-SA,Heywood,reverse,SA → VIC,Spring,13104,130.592858,532.4763708333332,562.8865840000001,371.42010500000004,0.18337912087912087,0.039758852258852256
V-SA,Heywood,reverse,SA → VIC,Summer,13008,-118.69041566666667,499.09273249999995,550.0,386.0900675,0.30404366543665434,0.14683271832718328
V-SA,Heywood,reverse,SA → VIC,Winter,13248,-6.0594813333333315,274.7110225,550.0,229.78610166666667,0.368131038647343,0.10560084541062802
VIC1-NSW1,VNI,forward,VIC → NSW,Autumn,13248,-7.11671733333333,731.7679766666668,1099.7578288333334,387.4321266666668,0.2307518115942029,0.10318538647342995
VIC1-NSW1,VNI,forward,VIC → NSW,Spring,13104,-97.68648349999994,762.3956525,1171.8026471666667,84.35565833333328,0.2746489621489622,0.14827533577533578
VIC1-NSW1,VNI,forward,VIC → NSW,Summer,13008,-225.93127416666667,633.541365,1111.1582328333334,61.43816083333334,0.3779981549815498,0.2313960639606396
VIC1-NSW1,VNI,forward,VIC → NSW,Winter,13248,362.18630516666667,833.8495641666667,1210.674278,548.3528200000001,0.12228260869565218,0.034042874396135264
VIC1-NSW1,VNI,reverse,NSW → VIC,Autumn,13248,125.19030000000001,465.86596999999995,827.1267610000001,648.2636024999999,0.20531400966183574,0.029589371980676328
VIC1-NSW1,VNI,reverse,NSW → VIC,Spring,13104,79.75793983333334,490.77818749999994,952.8407811666667,859.1447283333334,0.22794566544566544,0.0496031746031746
VIC1-NSW1,VNI,reverse,NSW → VIC,Summer,13008,72.99225416666667,505.18590083333333,968.6313171666669,739.83121,0.23916051660516605,0.04059040590405904
VIC1-NSW1,VNI,reverse,NSW → VIC,Winter,13248,2.2743395000000044,385.06699833333334,730.2344986666669,519.6377358333334,0.26154891304347827,0.09910929951690821
