ic,name,direction,direction_label,season,season_block,flow_median,intervals,capacity_p10,capacity_median,capacity_p90,headroom_median,restricted_rate,forced_rate
N-Q-MNSP1,Directlink,forward,NSW → QLD,Autumn,Autumn 2024,-25.0,4416,6.125,33.99608833333333,58.858333333333334,59.4314575,0.27853260869565216,0.07518115942028986
N-Q-MNSP1,Directlink,forward,NSW → QLD,Autumn,Autumn 2025,-9.0,4416,-18.0126025,52.94121833333334,78.210385,62.947935,0.182518115942029,0.11503623188405797
N-Q-MNSP1,Directlink,forward,NSW → QLD,Autumn,Autumn 2026,-23.666666666666668,4416,-52.75716250000001,36.43944833333333,69.3051925,72.37739666666667,0.390625,0.27309782608695654
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,Spring 2023,-41.37338,4367,-65.81944666666666,-29.0,50.44237066666668,16.283445,0.8181818181818182,0.7829173345546141
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,Spring 2024,-9.0,4368,-17.0000005,53.98236416666667,96.10842550000001,52.0510675,0.30746336996337,0.1971153846153846
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,Spring 2025,-18.155099166666666,4368,-37.38833333333333,30.60903833333333,80.89150583333334,66.25833250000001,0.4739010989010989,0.2806776556776557
N-Q-MNSP1,Directlink,forward,NSW → QLD,Spring,Spring 2026,-41.33488166666667,1,38.83374166666667,38.83374166666667,38.83374166666667,80.16862333333333,0.0,0.0
N-Q-MNSP1,Directlink,forward,NSW → QLD,Summer,Summer 2023–24,-29.0,4368,-92.39860083333333,-29.0,64.16581633333334,1.9999999999999996,0.6236263736263736,0.5343406593406593
N-Q-MNSP1,Directlink,forward,NSW → QLD,Summer,Summer 2024–25,-8.833333333333334,4320,-47.79000166666666,23.669941666666666,73.6224163333333,12.980678333333334,0.5173611111111112,0.362962962962963
N-Q-MNSP1,Directlink,forward,NSW → QLD,Summer,Summer 2025–26,5.325556666666667,4320,4.6265263333333335,54.239464166666664,84.19390383333332,53.424567499999995,0.17662037037037037,0.09212962962962963
N-Q-MNSP1,Directlink,forward,NSW → QLD,Winter,Winter 2024,-14.333333333333334,4416,-24.46666666666667,45.70066,83.0839275,62.586952499999995,0.3134057971014493,0.18817934782608695
N-Q-MNSP1,Directlink,forward,NSW → QLD,Winter,Winter 2025,-19.666666666666668,4416,-25.791666666666664,47.14120916666667,84.54204083333333,73.6548675,0.3038949275362319,0.19202898550724637
N-Q-MNSP1,Directlink,forward,NSW → QLD,Winter,Winter 2026,-24.233333333333334,4416,-23.05,47.322585000000004,79.67388916666667,77.51018583333334,0.2610960144927536,0.1671195652173913
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Autumn,Autumn 2024,25.0,4416,16.697235,89.06666666666666,125.94166666666666,78.66666666666669,0.20855978260869565,0.08401268115942029
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Autumn,Autumn 2025,9.0,4416,25.7833325,85.97481416666666,104.80833333333334,79.4602525,0.1537590579710145,0.07019927536231885
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Autumn,Autumn 2026,23.666666666666668,4416,39.14201083333333,96.066515,153.09973166666666,78.483395,0.11526268115942029,0.035552536231884056
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Spring,Spring 2023,41.37338,4367,42.86666666666667,109.61666666666667,148.530001,78.26666666666665,0.10327455919395466,0.01969315319441264
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Spring,Spring 2024,9.0,4368,-38.094497499999996,79.725,111.84231366666668,78.31666666666666,0.3143315018315018,0.1813186813186813
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Spring,Spring 2025,18.155099166666666,4368,-10.6500045,78.83250000000001,133.255,65.77123333333333,0.2396978021978022,0.11744505494505494
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Spring,Spring 2026,41.33488166666667,1,121.16626000000001,121.16626000000001,121.16626000000001,79.83137833333333,0.0,0.0
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Summer,Summer 2023–24,29.0,4368,32.036666666666676,89.59166666666667,163.98166766666668,79.29843000000001,0.1227106227106227,0.02564102564102564
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Summer,Summer 2024–25,8.833333333333334,4320,-7.768343833333334,62.94166666666666,97.13333333333333,62.629234166666656,0.3141203703703704,0.11944444444444445
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Summer,Summer 2025–26,-5.325556666666667,4320,-4.186067666666665,71.16677666666666,122.25341633333333,79.27057583333334,0.20439814814814813,0.1037037037037037
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Winter,Winter 2024,14.333333333333334,4416,-10.816666666666668,82.14882916666667,119.53333333333333,78.81666666666666,0.26992753623188404,0.11798007246376811
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Winter,Winter 2025,19.666666666666668,4416,-13.808543333333335,88.99435416666667,129.1640975,78.40762416666666,0.25,0.11843297101449275
N-Q-MNSP1,Directlink,reverse,QLD → NSW,Winter,Winter 2026,24.233333333333334,4416,-8.820245,96.14150083333332,134.26635833333333,78.36637416666666,0.2296195652173913,0.11096014492753623
NSW1-QLD1,QNI,forward,NSW → QLD,Autumn,Autumn 2024,-301.1477325,4416,-41.82087333333333,536.7570866666667,750.0,738.9165741666666,0.15240036231884058,0.11231884057971014
NSW1-QLD1,QNI,forward,NSW → QLD,Autumn,Autumn 2025,-229.34685166666668,4416,463.39886250000006,640.1221016666666,842.6382375,852.7057916666666,0.04913949275362319,0.021286231884057972
NSW1-QLD1,QNI,forward,NSW → QLD,Autumn,Autumn 2026,-395.3000391666667,4416,-25.351258333333334,158.79625583333333,799.6300941666666,590.5880725,0.5860507246376812,0.1503623188405797
NSW1-QLD1,QNI,forward,NSW → QLD,Spring,Spring 2023,-310.91801000000004,4367,262.06117466666666,554.3067316666667,750.0,820.533265,0.07602473093656972,0.002976871994504236
NSW1-QLD1,QNI,forward,NSW → QLD,Spring,Spring 2024,-160.99030833333333,4368,-106.8642228333333,327.10132583333336,752.7690503333333,361.66614000000004,0.366529304029304,0.18543956043956045
NSW1-QLD1,QNI,forward,NSW → QLD,Spring,Spring 2025,-229.9161475,4368,21.952936500000003,218.34429583333332,842.7454273333333,444.46386583333333,0.5155677655677655,0.07692307692307693
NSW1-QLD1,QNI,forward,NSW → QLD,Spring,Spring 2026,-949.8135900000001,1,754.74322,754.74322,754.74322,1704.55681,0.0,0.0
NSW1-QLD1,QNI,forward,NSW → QLD,Summer,Summer 2023–24,189.53854833333332,4368,348.59966683333334,559.498705,750.0,319.09131583333334,0.0782967032967033,0.017170329670329672
NSW1-QLD1,QNI,forward,NSW → QLD,Summer,Summer 2024–25,40.669626666666666,4320,303.4212428333333,653.570125,849.4482764999999,541.1886008333333,0.09861111111111111,0.022453703703703705
NSW1-QLD1,QNI,forward,NSW → QLD,Summer,Summer 2025–26,-125.31451833333334,4320,271.35259333333335,595.3957058333333,857.1860116666667,699.0426649999999,0.12152777777777778,0.018518518518518517
NSW1-QLD1,QNI,forward,NSW → QLD,Winter,Winter 2024,-379.0724124999999,4416,231.17716166666668,535.7083375,833.3347791666667,841.6472308333334,0.1383605072463768,0.029211956521739132
NSW1-QLD1,QNI,forward,NSW → QLD,Winter,Winter 2025,-626.9555358333333,4416,130.29371833333335,559.427455,806.5635075,1104.0402666666666,0.17323369565217392,0.06091485507246377
NSW1-QLD1,QNI,forward,NSW → QLD,Winter,Winter 2026,-577.0386608333333,4416,22.881589166666664,532.6629075000001,797.7422266666667,1127.916295,0.2821557971014493,0.08288043478260869
NSW1-QLD1,QNI,reverse,QLD → NSW,Autumn,Autumn 2024,301.1477325,4416,403.7965708333333,978.2525350000001,1155.4578375,610.6906291666667,0.129981884057971,0.0
NSW1-QLD1,QNI,reverse,QLD → NSW,Autumn,Autumn 2025,229.34685166666668,4416,755.2008541666667,1035.918835,1168.4303358333334,781.36176,0.035552536231884056,0.0004528985507246377
NSW1-QLD1,QNI,reverse,QLD → NSW,Autumn,Autumn 2026,395.3000391666667,4416,173.42381666666665,614.82186,1115.6143141666666,19.549724166666664,0.3340126811594203,0.0022644927536231885
NSW1-QLD1,QNI,reverse,QLD → NSW,Spring,Spring 2023,310.91801000000004,4367,541.8852716666667,919.6589533333334,1080.4549643333335,564.33609,0.05220975498053584,0.0025188916876574307
NSW1-QLD1,QNI,reverse,QLD → NSW,Spring,Spring 2024,160.99030833333333,4368,122.66420083333334,788.9261083333333,1076.128255,344.3347633333332,0.3273809523809524,0.025412087912087912
NSW1-QLD1,QNI,reverse,QLD → NSW,Spring,Spring 2025,229.9161475,4368,123.6468255,464.42030083333333,1150.4428626666665,144.6310791666667,0.4741300366300366,0.022893772893772892
NSW1-QLD1,QNI,reverse,QLD → NSW,Spring,Spring 2026,949.8135900000001,1,1065.1188933333333,1065.1188933333333,1065.1188933333333,115.3053033333332,0.0,0.0
NSW1-QLD1,QNI,reverse,QLD → NSW,Summer,Summer 2023–24,-189.53854833333332,4368,613.7217156666667,938.2712899999999,1129.8542311666665,1154.7330233333332,0.036401098901098904,0.0004578754578754579
NSW1-QLD1,QNI,reverse,QLD → NSW,Summer,Summer 2024–25,-40.669626666666666,4320,567.1610226666667,938.8966291666666,1136.9872771666667,946.1335158333333,0.06087962962962963,0.007407407407407408
NSW1-QLD1,QNI,reverse,QLD → NSW,Summer,Summer 2025–26,125.31451833333334,4320,580.6885886666666,953.7368399999999,1126.9470851666667,799.6738366666666,0.04490740740740741,0.004398148148148148
