ic,name,direction,season,variable,regime,n,p10,p20,p80,p90,value_median,flow_median,capacity_median,tight_capacity_median,headroom_median,restricted_rate,forced_rate
N-Q-MNSP1,Directlink,forward,Spring,temperature_mean,low,2622,12.45,14.758333333333335,24.558333333333334,26.76666666666667,12.45,-29.0,12.40714,-9.0,55.48779583333333,0.5461479786422578,0.4664378337147216
N-Q-MNSP1,Directlink,forward,Spring,temperature_mean,normal,7862,12.45,14.758333333333335,24.558333333333334,26.76666666666667,19.662499999999998,-17.0,22.95343666666667,5.80983,41.81595166666666,0.5216229966929534,0.40320529127448484
N-Q-MNSP1,Directlink,forward,Spring,temperature_mean,high,2620,12.45,14.758333333333335,24.558333333333334,26.76666666666667,26.76666666666667,-22.333333333333332,19.256149166666667,0.121395,21.84132333333333,0.5545801526717558,0.4248091603053435
N-Q-MNSP1,Directlink,forward,Spring,temperature_max,low,2652,17.9,20.0,29.049999999999997,31.45,18.0,-29.0,11.350000000000001,-8.7,53.86893333333333,0.5509049773755657,0.46794871794871795
N-Q-MNSP1,Directlink,forward,Spring,temperature_max,normal,7834,17.9,20.0,29.049999999999997,31.45,24.2,-17.0,22.970103333333334,6.1,42.311727499999996,0.5214449834056676,0.4031146285422517
N-Q-MNSP1,Directlink,forward,Spring,temperature_max,high,2618,17.9,20.0,29.049999999999997,31.45,31.45,-21.1645825,19.321785,0.17791,22.225,0.5500381970970206,0.4228418640183346
N-Q-MNSP1,Directlink,forward,Spring,humidity_mean,low,2638,39.0,46.0,82.16666666666666,86.66666666666667,39.0,-29.0,-9.108334166666666,-24.799999999999997,18.58648,0.6137225170583775,0.5257771038665656
N-Q-MNSP1,Directlink,forward,Spring,humidity_mean,normal,7867,39.0,46.0,82.16666666666666,86.66666666666667,66.25,-20.333333333333332,21.349999999999998,2.9,38.550000000000004,0.5327316639125461,0.4104487098004322
N-Q-MNSP1,Directlink,forward,Spring,humidity_mean,high,2599,39.0,46.0,82.16666666666666,86.66666666666667,86.75,-17.0,37.81666666666667,17.15017,64.02783166666666,0.4524817237399,0.34243939976914195
N-Q-MNSP1,Directlink,forward,Spring,source_wind,low,2621,168.81807383333336,294.32203733333336,1233.7558370000004,1476.731238166667,168.81504833333335,-36.166666666666664,-9.00123,-26.4,40.849433333333344,0.6459366653948875,0.535673407096528
N-Q-MNSP1,Directlink,forward,Spring,source_wind,normal,7862,168.81807383333336,294.32203733333336,1233.7558370000004,1476.731238166667,694.5911841666667,-22.347935,20.648580000000003,0.0,38.69838333333334,0.5339608242177563,0.4319511574662936
N-Q-MNSP1,Directlink,forward,Spring,source_wind,high,2621,168.81807383333336,294.32203733333336,1233.7558370000004,1476.731238166667,1476.8092316666668,-5.122476666666667,40.595061666666666,25.0,41.18203333333333,0.4177794734834033,0.26936283861121707
N-Q-MNSP1,Directlink,forward,Spring,source_solar,low,3300,0.0,0.0,2170.480584666667,2543.0376186666667,0.0,-17.0,24.27303416666667,9.0,31.7902475,0.5103030303030303,0.4318181818181818
N-Q-MNSP1,Directlink,forward,Spring,source_solar,normal,7183,0.0,0.0,2170.480584666667,2543.0376186666667,385.45650333333333,-26.333333333333332,20.683333333333334,1.3,48.599999999999994,0.5382152304051232,0.412084087428651
N-Q-MNSP1,Directlink,forward,Spring,source_solar,high,2621,0.0,0.0,2170.480584666667,2543.0376186666667,2543.0991066666666,-22.950000000000003,17.55,-6.7,26.595701666666663,0.5478824876001526,0.42769935139259824
N-Q-MNSP1,Directlink,forward,Spring,source_vre,low,2621,399.0017696666667,636.0047353333334,2774.6482820000006,3227.1081148333337,398.95950166666665,-31.666666666666668,2.650000000000001,-9.0,43.99342166666666,0.6066386875238459,0.4864555513162915
N-Q-MNSP1,Directlink,forward,Spring,source_vre,normal,7862,399.0017696666667,636.0047353333334,2774.6482820000006,3227.1081148333337,1477.28143,-18.073383333333332,25.586774166666665,7.15,42.78104166666667,0.5077588399898245,0.4028237089799033
N-Q-MNSP1,Directlink,forward,Spring,source_vre,high,2621,399.0017696666667,636.0047353333334,2774.6482820000006,3227.1081148333337,3227.2074433333337,-15.837288333333333,20.75,1.0,22.300000000000004,0.535673407096528,0.405951926745517
N-Q-MNSP1,Directlink,forward,Spring,sink_vre,low,2621,337.8800661666667,476.177002,1951.05833,2266.8248940000003,337.8663666666667,-9.0,33.15,21.7,28.44846666666667,0.46432659290347195,0.36970621900038153
N-Q-MNSP1,Directlink,forward,Spring,sink_vre,normal,7862,337.8800661666667,476.177002,1951.05833,2266.8248940000003,948.7813199999999,-24.85712333333333,20.4993625,0.908315,47.165875,0.5359959297888578,0.41694225387942
N-Q-MNSP1,Directlink,forward,Spring,sink_vre,high,2621,337.8800661666667,476.177002,1951.05833,2266.8248940000003,2266.908245,-29.0,5.5,-21.1,32.158995000000004,0.5932850057230065,0.4803510110644792
N-Q-MNSP1,Directlink,forward,Spring,vre_difference,low,2621,-301.6756488333333,-63.1129359999999,1081.678257666667,1445.8398070000014,-301.7086133333333,-41.0,-5.133331666666667,-17.2,63.94628,0.6478443342235788,0.5192674551697826
N-Q-MNSP1,Directlink,forward,Spring,vre_difference,normal,7862,-301.6756488333333,-63.1129359999999,1081.678257666667,1445.8398070000014,466.09805833333337,-17.0,24.408333333333335,5.69841,37.00375416666667,0.5127194098193844,0.41083693716611547
N-Q-MNSP1,Directlink,forward,Spring,vre_difference,high,2621,-301.6756488333333,-63.1129359999999,1081.678257666667,1445.8398070000014,1446.2357450000004,-3.25,30.739663333333336,16.99999,22.73554166666667,0.47958794353300266,0.34910339565051507
N-Q-MNSP1,Directlink,forward,Spring,residual_difference,low,2621,-1031.7722848333324,-414.55676066666666,1251.8978053333346,1699.534679000001,-1032.013673333332,2.7678883333333317,32.926985,20.8,14.870946666666669,0.46012972148035103,0.31476535673407097
N-Q-MNSP1,Directlink,forward,Spring,residual_difference,normal,7862,-1031.7722848333324,-414.55676066666666,1251.8978053333346,1699.534679000001,489.6312483333327,-18.333333333333332,22.853964166666664,4.8,42.42990333333333,0.5220045789875349,0.4160518951920631
N-Q-MNSP1,Directlink,forward,Spring,residual_difference,high,2621,-1031.7722848333324,-414.55676066666666,1251.8978053333346,1699.534679000001,1699.580500000001,-40.979153333333336,-9.65,-29.0,61.01768166666666,0.6394505913773368,0.5379626096909577
N-Q-MNSP1,Directlink,forward,Spring,source_vre_ramp_1h,low,2621,-449.39646916666663,-177.34825733333307,188.02710399999992,433.9888971666663,-449.43361833333336,-18.48333333333333,21.469555,3.8,31.127083333333335,0.5421594811140786,0.40404425791682563
N-Q-MNSP1,Directlink,forward,Spring,source_vre_ramp_1h,normal,7860,-449.39646916666663,-177.34825733333307,188.02710399999992,433.9888971666663,-2.1512941666667302,-21.950445833333333,21.613077500000003,2.0,41.92357583333333,0.5282442748091603,0.4221374045801527
N-Q-MNSP1,Directlink,forward,Spring,source_vre_ramp_1h,high,2621,-449.39646916666663,-177.34825733333307,188.02710399999992,433.9888971666663,434.02278499999966,-21.10399,16.883333333333333,-0.5,40.43333333333334,0.5383441434566959,0.42998855398702784
N-Q-MNSP1,Directlink,forward,Spring,sink_vre_ramp_1h,low,2621,-372.6127043333328,-145.00854833333352,165.01083733333346,370.7848098333329,-372.63262333333273,-19.18118,18.873305,0.0,29.88560833333334,0.5543685616177032,0.4124380007630675
N-Q-MNSP1,Directlink,forward,Spring,sink_vre_ramp_1h,normal,7860,-372.6127043333328,-145.00854833333352,165.01083733333346,370.7848098333329,6.468905833333281,-17.990583333333333,25.548591666666667,9.0,40.13442416666666,0.5086513994910942,0.4033078880407125
N-Q-MNSP1,Directlink,forward,Spring,sink_vre_ramp_1h,high,2621,-372.6127043333328,-145.00854833333352,165.01083733333346,370.7848098333329,370.87060833333317,-29.0,4.733333333333333,-13.37153,46.24434666666667,0.5848912628767646,0.4780618084700496
N-Q-MNSP1,Directlink,forward,Summer,temperature_mean,low,2603,19.530833333333334,20.741666666666667,28.35,30.016666666666666,19.53333333333333,-11.5,50.75080166666667,45.90039,53.14557333333334,0.3234729158663081,0.2704571648098348
N-Q-MNSP1,Directlink,forward,Summer,temperature_mean,normal,7805,19.530833333333334,20.741666666666667,28.35,30.016666666666666,24.06666666666667,-3.0,32.370239999999995,24.68419,13.366666666666667,0.45714285714285713,0.3306854580397181
N-Q-MNSP1,Directlink,forward,Summer,temperature_mean,high,2600,19.530833333333334,20.741666666666667,28.35,30.016666666666666,30.025,-10.710936666666667,25.431874166666667,10.793845000000001,13.168972499999994,0.5046153846153846,0.3903846153846154
N-Q-MNSP1,Directlink,forward,Summer,temperature_max,low,2666,23.8,24.8,32.6,34.65,23.8,-13.0,48.354955,42.800650000000005,54.7883425,0.3327081770442611,0.27419354838709675
N-Q-MNSP1,Directlink,forward,Summer,temperature_max,normal,7766,23.8,24.8,32.6,34.65,27.9,-1.5745141666666669,33.441482500000006,25.0,13.197675000000004,0.4527427246973989,0.33492145248519184
N-Q-MNSP1,Directlink,forward,Summer,temperature_max,high,2576,23.8,24.8,32.6,34.65,34.7,-9.6029925,24.584468333333334,12.2,12.925,0.5120341614906833,0.37577639751552794
N-Q-MNSP1,Directlink,forward,Summer,humidity_mean,low,2636,46.333333333333336,53.0,83.0,86.83333333333334,46.41666666666667,-8.833333333333334,26.9248975,11.496385,12.305013333333331,0.4988619119878604,0.3896054628224583
N-Q-MNSP1,Directlink,forward,Summer,humidity_mean,normal,7788,46.333333333333336,53.0,83.0,86.83333333333334,69.58333333333333,-7.585428333333334,32.500034166666666,24.900485,17.90435083333333,0.4562146892655367,0.3350025680534155
N-Q-MNSP1,Directlink,forward,Summer,humidity_mean,high,2584,46.333333333333336,53.0,83.0,86.83333333333334,86.83333333333334,-6.0,48.2934675,41.0,37.18548083333333,0.3304953560371517,0.25696594427244585
