ic,name,direction,GENCONSETID,tier,lag_days,group,n_units,own_treated,own_control,own_diff,any_diff
N-Q-MNSP1,Directlink,forward,CA_BRIS_593C7214,unsupported,1,booked_in_advance,5,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,CA_BRIS_593C7214,unsupported,7,booked_in_advance,3,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,CA_BRIS_593C7214,unsupported,7,not_booked_in_advance,2,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,CA_BRIS_593C7214,unsupported,14,not_booked_in_advance,5,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_BRIS_593C7214,unsupported,1,booked_in_advance,5,0.33333333333333337,0.0,0.33333333333333337,0.29999999999999993
N-Q-MNSP1,Directlink,reverse,CA_BRIS_593C7214,unsupported,7,booked_in_advance,3,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222
N-Q-MNSP1,Directlink,reverse,CA_BRIS_593C7214,unsupported,7,not_booked_in_advance,2,0.5,0.0,0.5,0.41666666666666663
N-Q-MNSP1,Directlink,reverse,CA_BRIS_593C7214,unsupported,14,not_booked_in_advance,5,0.33333333333333337,0.0,0.33333333333333337,0.29999999999999993
N-Q-MNSP1,Directlink,forward,CA_BRIS_59712B29,unsupported,1,booked_in_advance,55,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,CA_BRIS_59712B29,unsupported,7,booked_in_advance,55,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,CA_BRIS_59712B29,unsupported,14,booked_in_advance,55,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_BRIS_59712B29,unsupported,1,booked_in_advance,55,0.09090909090909091,0.0,0.09090909090909091,-0.07090909090909091
N-Q-MNSP1,Directlink,reverse,CA_BRIS_59712B29,unsupported,7,booked_in_advance,55,0.09090909090909091,0.0,0.09090909090909091,-0.07090909090909091
N-Q-MNSP1,Directlink,reverse,CA_BRIS_59712B29,unsupported,14,booked_in_advance,55,0.09090909090909091,0.0,0.09090909090909091,-0.07090909090909091
N-Q-MNSP1,Directlink,forward,CA_SYDS_59839EB2,indicative,1,booked_in_advance,56,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,CA_SYDS_59839EB2,indicative,7,booked_in_advance,56,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,CA_SYDS_59839EB2,indicative,14,booked_in_advance,56,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_SYDS_59839EB2,indicative,1,booked_in_advance,56,0.23809523809523808,0.0,0.23809523809523808,0.14955357142857142
N-Q-MNSP1,Directlink,reverse,CA_SYDS_59839EB2,indicative,7,booked_in_advance,56,0.23809523809523808,0.0,0.23809523809523808,0.14955357142857142
N-Q-MNSP1,Directlink,reverse,CA_SYDS_59839EB2,indicative,14,booked_in_advance,56,0.23809523809523808,0.0,0.23809523809523808,0.14955357142857142
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,supported,1,booked_in_advance,890,0.349250936329588,0.00022471910112359551,0.3490262172284644,0.28691323345817726
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,supported,1,not_booked_in_advance,49,0.802721088435374,0.0,0.802721088435374,0.6194444444444445
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,supported,7,booked_in_advance,790,0.3434599156118143,0.00025316455696202533,0.3432067510548523,0.27977144866385373
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,supported,7,not_booked_in_advance,149,0.529082774049217,0.0,0.529082774049217,0.4341349739000745
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,supported,14,booked_in_advance,773,0.34260457093574814,0.000258732212160414,0.34234583872358776,0.2780005749604715
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,supported,14,not_booked_in_advance,131,0.6475826972010178,0.0,0.6475826972010178,0.5481764206955048
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,supported,1,booked_in_advance,890,0.018164794007490635,0.0,0.018164794007490635,0.005895755305867667
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,supported,1,not_booked_in_advance,49,0.0,0.0,0.0,-0.08412698412698413
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,supported,7,booked_in_advance,790,0.01877637130801688,0.0,0.01877637130801688,0.017936005625879037
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,supported,7,not_booked_in_advance,149,0.008948545861297539,0.0,0.008948545861297539,-0.08754660700969426
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,supported,14,booked_in_advance,773,0.019189305735230703,0.0,0.019189305735230703,0.023623688371424468
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,supported,14,not_booked_in_advance,131,0.010178117048346055,0.0,0.010178117048346055,-0.09578032230703988
N-Q-MNSP1,Directlink,forward,N-ARTW_86,supported,1,booked_in_advance,160,0.08125,0.0,0.08125,0.09013888888888888
N-Q-MNSP1,Directlink,forward,N-ARTW_86,supported,7,booked_in_advance,160,0.08125,0.0,0.08125,0.09013888888888888
N-Q-MNSP1,Directlink,forward,N-ARTW_86,supported,14,booked_in_advance,160,0.08125,0.0,0.08125,0.09013888888888888
N-Q-MNSP1,Directlink,reverse,N-ARTW_86,supported,1,booked_in_advance,160,0.07395833333333332,0.0,0.07395833333333332,-0.019340277777777783
N-Q-MNSP1,Directlink,reverse,N-ARTW_86,supported,7,booked_in_advance,160,0.07395833333333332,0.0,0.07395833333333332,-0.019340277777777783
