ic,name,direction,level,key,families,layer,GENCONSETID,tier,dimension,value,n_units,own_treated,own_control,own_diff,top_control_treated,top_control_control
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,season,Summer,48,0.9305555555555555,0.0,0.9305555555555555,0.0,0.07916666666666666
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,day_period,Evening peak,10,0.9333333333333332,0.0,0.9333333333333332,0.0,0.1
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,day_period,Morning peak,6,0.7777777777777778,0.0,0.7777777777777778,0.0,0.46666666666666673
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,day_period,Overnight,18,1.0,0.0,1.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,day_period,Solar period,14,0.9047619047619048,0.0,0.9047619047619048,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,tbin,0,1,1.0,0.0,1.0,0.0,0.0
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,tbin,1,39,0.9572649572649572,0.0,0.9572649572649572,0.0,0.0717948717948718
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,tbin,2,8,0.7916666666666666,0.0,0.7916666666666666,0.0,0.125
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,vbin,0,11,0.8787878787878788,0.0,0.8787878787878788,0.0,0.16363636363636366
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,vbin,1,33,0.9494949494949496,0.0,0.9494949494949496,0.0,0.030303030303030304
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,vbin,2,4,0.9166666666666666,0.0,0.9166666666666666,0.0,0.25
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,rbin,0,11,0.9090909090909091,0.0,0.9090909090909091,0.0,0.09090909090909091
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,rbin,1,33,0.9696969696969697,0.0,0.9696969696969697,0.0,0.06666666666666667
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,rbin,2,4,0.6666666666666666,0.0,0.6666666666666666,0.0,0.15000000000000002
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,season,Summer,48,0.0,0.0,0.0,0.0,0.03958333333333333
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,day_period,Evening peak,10,0.0,0.0,0.0,0.0,0.19
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,CA_BRIS_5667C22F,unsupported,day_period,Morning peak,6,0.0,0.0,0.0,0.0,0.0
