target_ic,target_name,direction,GENCONSETID,relation,relevant_to,tier,n_units,any_binding_treated,any_binding_control,any_binding_diff,ci_lo,ci_hi
N-Q-MNSP1,Directlink,forward,CA_BRIS_5667C22F,relevant,Directlink,unsupported,48,0.9444444444444443,0.13130787037037037,0.813136574074074,0.7703993055555556,0.8986111111111111
N-Q-MNSP1,Directlink,reverse,CA_BRIS_5667C22F,relevant,Directlink,unsupported,48,0.003472222222222222,0.04716435185185185,-0.04369212962962963,-0.13541666666666666,0.002170138888888889
N-Q-MNSP1,Directlink,forward,CA_BRIS_593C7214,relevant,Directlink,unsupported,5,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_BRIS_593C7214,relevant,Directlink,unsupported,5,0.33333333333333337,0.03333333333333333,0.29999999999999993,0.29999999999999993,0.29999999999999993
N-Q-MNSP1,Directlink,forward,CA_BRIS_59712B29,relevant,Directlink|QNI,unsupported,55,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_BRIS_59712B29,relevant,Directlink|QNI,unsupported,55,0.09090909090909091,0.16181818181818183,-0.07090909090909091,-0.16944444444444443,0.005376344086021509
N-Q-MNSP1,Directlink,forward,CA_SYDS_57B55E34,relevant,Directlink,unsupported,41,0.0,0.03048780487804878,-0.03048780487804878,-0.0638888888888889,-0.016666666666666666
N-Q-MNSP1,Directlink,reverse,CA_SYDS_57B55E34,relevant,Directlink,unsupported,41,0.11788617886178861,0.21788617886178863,-0.10000000000000002,-0.2551724137931035,0.275
N-Q-MNSP1,Directlink,forward,CA_SYDS_59839EB2,relevant,Directlink|QNI,indicative,56,0.0,0.0,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,CA_SYDS_59839EB2,relevant,Directlink|QNI,indicative,56,0.36309523809523814,0.21354166666666669,0.14955357142857142,0.04220430107526879,0.2826666666666667
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,relevant,Directlink,supported,1597,0.35817157169693176,0.07385897168301678,0.28431260001391495,0.20866838466524115,0.35712143512080785
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,relevant,Directlink,supported,1597,0.16050928824879981,0.15953523968552147,0.0009740485632783735,-0.056743241836948836,0.05254933655189936
N-Q-MNSP1,Directlink,forward,N-ARTW_86,relevant,Directlink|QNI,supported,758,0.04661389621811786,0.02704485488126649,0.019569041336851358,-0.02089021401073373,0.0718454964076396
N-Q-MNSP1,Directlink,reverse,N-ARTW_86,relevant,Directlink|QNI,supported,758,0.046613896218117845,0.1404939900322486,-0.09388009381413073,-0.1865291218637993,-0.014341694582144744
N-Q-MNSP1,Directlink,forward,N-AVMA_17,relevant,Directlink|QNI|VNI,supported,1276,0.04349529780564263,0.05304989550679205,-0.009554597701149425,-0.034040127934691786,0.014702398019404006
