ic,name,direction,GENCONSETID,tier,treated_binding_intervals,treated_median_abs_mv,treated_share_gt_100,treated_share_gt_1000,treated_share_gt_own_p90,control_binding_intervals,control_median_abs_mv,control_share_gt_100,control_share_gt_1000,control_share_gt_own_p90
N-Q-MNSP1,Directlink,forward,CA_BRIS_5667C22F,unsupported,268,34.704995,0.12313432835820895,0.0037313432835820895,0.44029850746268656,0,,,,
N-Q-MNSP1,Directlink,reverse,CA_BRIS_593C7214,unsupported,10,6.475585000000001,0.0,0.0,0.0,0,,,,
N-Q-MNSP1,Directlink,reverse,CA_BRIS_59712B29,unsupported,30,36.231465,0.03333333333333333,0.0,0.03333333333333333,0,,,,
N-Q-MNSP1,Directlink,reverse,CA_SYDS_57B55E34,unsupported,29,103.12763,0.5517241379310345,0.0,0.0,0,,,,
N-Q-MNSP1,Directlink,reverse,CA_SYDS_59839EB2,indicative,80,78.59953999999999,0.3125,0.0,0.2,0,,,,
N-Q-MNSP1,Directlink,forward,N-96L_96R_CB4102,supported,2889,8.82047,0.029421945309795777,0.005538248528902735,0.05226722049151956,9,2.91341,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,N-96L_96R_CB4102,supported,101,4.87822,0.0,0.0,0.009900990099009901,0,,,,
N-Q-MNSP1,Directlink,forward,N-ARTW_86,supported,396,1.0,0.017676767676767676,0.0,0.012626262626262626,43,51.71706,0.3488372093023256,0.0,0.32558139534883723
N-Q-MNSP1,Directlink,reverse,N-ARTW_86,supported,277,0.05,0.0,0.0,0.0,0,,,,
N-Q-MNSP1,Directlink,reverse,N-AVMA_17,supported,135,99.57805,0.4962962962962963,0.1111111111111111,0.037037037037037035,0,,,,
N-Q-MNSP1,Directlink,reverse,N-CHKS_ONE,unsupported,118,45.812635,0.1271186440677966,0.0,0.0,0,,,,
N-Q-MNSP1,Directlink,reverse,N-DTMN_8_15M,supported,19,103.36678,0.5263157894736842,0.47368421052631576,0.0,0,,,,
N-Q-MNSP1,Directlink,forward,N-LDTM_82,supported,224,37.871275,0.12053571428571429,0.004464285714285714,0.32142857142857145,0,,,,
N-Q-MNSP1,Directlink,reverse,N-LDTM_82,supported,874,46.847865,0.04233409610983982,0.0,0.18649885583524028,0,,,,
N-Q-MNSP1,Directlink,forward,N-LDTW_84,supported,498,7.5,0.024096385542168676,0.0,0.08433734939759036,2,19.40568,0.0,0.0,0.5
N-Q-MNSP1,Directlink,forward,N-TWUL_85,supported,517,5.73,0.05609284332688588,0.0,0.13346228239845262,73,17.69616,0.0684931506849315,0.0,0.0958904109589041
N-Q-MNSP1,Directlink,reverse,N-TWUL_85,supported,160,0.03,0.0,0.0,0.0,0,,,,
N-Q-MNSP1,Directlink,forward,N-X_4+17_WG_CLOSE,unsupported,0,,,,,0,,,,
N-Q-MNSP1,Directlink,reverse,N-X_4+17_WG_CLOSE,unsupported,19,204.91646,0.8947368421052632,0.2631578947368421,0.2631578947368421,51,90.33068,0.29411764705882354,0.0,0.0
N-Q-MNSP1,Directlink,forward,N-X_9U6_9G2,supported,20,1.4706199999999998,0.0,0.0,0.0,0,,,,
N-Q-MNSP1,Directlink,reverse,N-X_9U6_9G2,supported,12,13.69163,0.0,0.0,0.0,0,,,,
N-Q-MNSP1,Directlink,reverse,N-X_AVMA_SSWW,supported,68,261.41375,0.6911764705882353,0.4411764705882353,0.4411764705882353,0,,,,
N-Q-MNSP1,Directlink,forward,N-X_KCTX_LDTM,unsupported,0,,,,,0,,,,
N-Q-MNSP1,Directlink,reverse,N-X_KCTX_LDTM,unsupported,79,64.71621,0.0,0.0,0.13924050632911392,21,39.13604,0.0,0.0,0.0
N-Q-MNSP1,Directlink,reverse,N-X_LPSS_MPWW,supported,5,949.62756,1.0,0.4,0.4,0,,,,
N-Q-MNSP1,Directlink,reverse,Q-BKBM,supported,5,1.29914,0.0,0.0,0.2,0,,,,
N-Q-MNSP1,Directlink,reverse,Q-GBMU_835_836,unsupported,368,4.7303999999999995,0.14673913043478262,0.03260869565217391,0.28532608695652173,0,,,,
N-Q-MNSP1,Directlink,forward,Q-LCCP_8859,unsupported,101,118.26851,0.5346534653465347,0.1782178217821782,0.7524752475247525,0,,,,
N-Q-MNSP1,Directlink,forward,Q-RGLC_8875,supported,120,1123.63967,0.8,0.7083333333333334,0.16666666666666666,0,,,,
NSW1-QLD1,QNI,forward,CA_BRIS_569B1432,unsupported,30,161.82365,0.6666666666666666,0.0,0.0,0,,,,
NSW1-QLD1,QNI,reverse,CA_BRIS_59712B29,unsupported,30,36.231465,0.03333333333333333,0.0,0.03333333333333333,0,,,,
NSW1-QLD1,QNI,reverse,CA_SYDS_59839EB2,indicative,80,78.59953999999999,0.3125,0.0,0.2,0,,,,
NSW1-QLD1,QNI,forward,I-BCDM_ONE,unsupported,88,0.3,0.0,0.0,0.0,0,,,,
