ic,name,direction,level,key,families,layer,n_units,own_diff,own_ci_lo,own_ci_hi,placebo_clean
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,88,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_5667C22F,CA_BRIS_5667C22F,binding,88,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,binding,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_593C7214,CA_BRIS_593C7214,binding,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_BRIS_59712B29,CA_BRIS_59712B29,binding,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,82,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_57B55E34,CA_SYDS_57B55E34,binding,82,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,CA_SYDS_59839EB2,CA_SYDS_59839EB2,binding,110,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,binding,2180,-0.00031855249745158003,-0.0007256167011359889,-5.0022187489587965e-05,False
N-Q-MNSP1,Directlink,reverse,K2,N-96L_96R_CB4102,N-96L_96R_CB4102,binding,2180,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-ARTW_86,N-ARTW_86,binding,920,0.0076086956521739125,-0.00039494470774091627,0.02251496416234769,True
N-Q-MNSP1,Directlink,reverse,K2,N-ARTW_86,N-ARTW_86,binding,920,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-AVMA_17,N-AVMA_17,binding,2508,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-AVMA_17,N-AVMA_17,binding,2508,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-CHKS_ONE,N-CHKS_ONE,binding,553,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-CHKS_ONE,N-CHKS_ONE,binding,553,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-DTMN_8_15M,N-DTMN_8_15M,binding,1425,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-DTMN_8_15M,N-DTMN_8_15M,binding,1425,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-LDTM_82,N-LDTM_82,binding,2024,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-LDTM_82,N-LDTM_82,binding,2024,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-LDTW_84,N-LDTW_84,binding,563,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-LDTW_84,N-LDTW_84,binding,563,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-TWUL_85,N-TWUL_85,binding,770,0.01861471861471861,0.0,0.0454919203054043,True
N-Q-MNSP1,Directlink,reverse,K2,N-TWUL_85,N-TWUL_85,binding,770,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_10+76,N-X_10+76,binding,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_10+76,N-X_10+76,binding,10,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,binding,287,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_4+17_WG_CLOSE,N-X_4+17_WG_CLOSE,binding,287,0.0011614401858304297,0.0,0.0039844621513944216,True
N-Q-MNSP1,Directlink,forward,K2,N-X_96T+9UG+9U2,N-X_96T+9UG+9U2,binding,64,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_96T+9UG+9U2,N-X_96T+9UG+9U2,binding,64,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_9U6_9G2,N-X_9U6_9G2,binding,153,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_9U6_9G2,N-X_9U6_9G2,binding,153,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_ARKK_CH_CB892A,N-X_ARKK_CH_CB892A,binding,437,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_ARKK_CH_CB892A,N-X_ARKK_CH_CB892A,binding,437,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,binding,133,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_AVMA_KCTX,N-X_AVMA_KCTX,binding,133,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,binding,339,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_AVMA_SSWW,N-X_AVMA_SSWW,binding,339,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_KCTX_LDTM,N-X_KCTX_LDTM,binding,46,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_KCTX_LDTM,N-X_KCTX_LDTM,binding,46,-0.08007246376811593,-0.16014492753623188,0.0,True
N-Q-MNSP1,Directlink,forward,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,binding,854,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,N-X_LPSS_MPWW,N-X_LPSS_MPWW,binding,854,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-BKBM,Q-BKBM,binding,1186,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-BKBM,Q-BKBM,binding,1186,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-GBMU_835_836,Q-GBMU_835_836,binding,2060,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-GBMU_835_836,Q-GBMU_835_836,binding,2060,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-LCCP_8859,Q-LCCP_8859,binding,333,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-LCCP_8859,Q-LCCP_8859,binding,333,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,forward,K2,Q-RGLC_8875,Q-RGLC_8875,binding,425,0.0,0.0,0.0,True
N-Q-MNSP1,Directlink,reverse,K2,Q-RGLC_8875,Q-RGLC_8875,binding,425,0.0,0.0,0.0,True
